context: The Third Plate response:	Twelve
context: The Third Plate\Twelve response:	His advantage is that he never stops.
context: The Third Plate\Twelve\His advantage is that he never stops. response:	His endless curiosity and thirst for knowledge...
context: The Third Plate\Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge... response:	That allows him to take a step forward to try things that others would never even attempt.
context: The Third Plate\Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt. response:	Grab the First Seat in the Totsuki Elite Ten.
context: The Third Plate\Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten. response:	Will do!
context: The Third Plate\Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do! response:	You're one of the only chefs that I've ever acknowledged.
context: The Third Plate\Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged. response:	Hurry up and join me at the top,
context: Twelve\His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top, response:	Yukihira Soma.
context: His advantage is that he never stops.\His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma. response:	I won't join Central.
context: His endless curiosity and thirst for knowledge...\That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma.\I won't join Central. response:	I'll win this match!
context: That allows him to take a step forward to try things that others would never even attempt.\Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma.\I won't join Central.\I'll win this match! response:	Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.
context: Grab the First Seat in the Totsuki Elite Ten.\Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma.\I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you. response:	That meat...
context: Will do!\You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma.\I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat... response:	All right. I've finished removing all of the tendons.
context: You're one of the only chefs that I've ever acknowledged.\Hurry up and join me at the top,\Yukihira Soma.\I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons. response:	That's... the thigh.
context: Hurry up and join me at the top,\Yukihira Soma.\I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons.\That's... the thigh. response:	The thigh?
context: Yukihira Soma.\I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh? response:	He's covering the venison with minced onions and garlic and letting them marinate.
context: I won't join Central.\I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate. response:	He's making the meat even softer while increasing its aroma.
context: I'll win this match!\Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma. response:	But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.
context: Soma-kun... Challenging the First Seat of the Elite Ten is reckless, even for you.\That meat...\All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi. response:	He's not going to stand a chance using any standard methods.
context: That meat...\All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods. response:	Yukihira-kun, if you lose, you'll have to join Central.
context: All right. I've finished removing all of the tendons.\That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central. response:	If that happens...
context: That's... the thigh.\The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens... response:	Food Wars
context: The thigh?\He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars response:	The Third Plate
context: He's covering the venison with minced onions and garlic and letting them marinate.\He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars\The Third Plate response:	The One Who Aims for the Summit
context: He's making the meat even softer while increasing its aroma.\But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars\The Third Plate\The One Who Aims for the Summit response:	Oh, yeah. I need to get that stuff out.
context: But he's up against the very best... the Elite Ten's First Seat, Tsukasa Eishi.\He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars\The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out. response:	What's the matter, Yukihira?
context: He's not going to stand a chance using any standard methods.\Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars\The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira? response:	There's one other ingredient that my dish definitely needs.
context: Yukihira-kun, if you lose, you'll have to join Central.\If that happens...\Food Wars\The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs. response:	And it's in your bag?
context: If that happens...\Food Wars\The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag? response:	Let's see, where did I put it...
context: Food Wars\The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it... response:	This isn't it. Nope. Not this either.
context: The Third Plate\The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either. response:	Oh, here it is. Now I'm set.
context: The One Who Aims for the Summit\Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set. response:	Sweet Roasted Chestnuts We Shelled'Em
context: Oh, yeah. I need to get that stuff out.\What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em response:	Enjoy their natural sweetness
context: What's the matter, Yukihira?\There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness response:	Sweet chestnuts!
context: There's one other ingredient that my dish definitely needs.\And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts! response:	What?!
context: And it's in your bag?\Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts!\What?! response:	He's seriously thinking of doing one of his experiments now?
context: Let's see, where did I put it...\This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now? response:	Tadokoro-san, what is that? We Shelled'Em?
context: This isn't it. Nope. Not this either.\Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em? response:	U-Um, it's a snack that uses shelled chestnuts.
context: Oh, here it is. Now I'm set.\Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts. response:	Chestnuts...
context: Sweet Roasted Chestnuts We Shelled'Em\Enjoy their natural sweetness\Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts... response:	An ingredient that goes well with wild game.
context: Enjoy their natural sweetness\Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game. response:	Pairing venison with chestnuts isn't rare at all in French cuisine.
