context: Somebody! response:	Isn't there anyone around?!
context: Somebody!\Isn't there anyone around?! response:	Whoa! What's going on, Ms. Kyoko?
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko? response:	Ichijo, huh? Where are the other students?
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students? response:	Everyone's gone home for the day.
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day. response:	I'm the last one.
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one. response:	Whaaat? So I was too late.
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late. response:	Hey, I know!
context: Somebody!\Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late.\Hey, I know! response:	All right, Ichijo, do something for me.
context: Isn't there anyone around?!\Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me. response:	You look like the kind of guy who has a lot of friends.
context: Whoa! What's going on, Ms. Kyoko?\Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends. response:	The thing is, see, I was supposed to pick some students to clean the pool,
context: Ichijo, huh? Where are the other students?\Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool, response:	but it totally slipped my mind.
context: Everyone's gone home for the day.\I'm the last one.\Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind. response:	And so you see, Ichijo...
context: I'm the last one.\Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo... response:	Tomorrow, Saturday, round up some friends and clean the pool, will you?
context: Whaaat? So I was too late.\Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you? response:	Whaaat? Hold up!
context: Hey, I know!\All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up! response:	Why does it have to be me?!
context: All right, Ichijo, do something for me.\You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?! response:	I'm begging you, Ichijo!
context: You look like the kind of guy who has a lot of friends.\The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo! response:	I'm in a real bind here!
context: The thing is, see, I was supposed to pick some students to clean the pool,\but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here! response:	I'm always, always taking care of those animals on holidays, aren't I?
context: but it totally slipped my mind.\And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I? response:	So the least you can do is return the favor!
context: And so you see, Ichijo...\Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor! response:	Well...
context: Tomorrow, Saturday, round up some friends and clean the pool, will you?\Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well... response:	All right, I'm counting on you! The rest is up to you!
context: Whaaat? Hold up!\Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you! response:	Cleanup Day
context: Why does it have to be me?!\I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day response:	So?
context: I'm begging you, Ichijo!\I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day\So? response:	You were at the end of your rope, so you came crying to me?
context: I'm in a real bind here!\I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day\So?\You were at the end of your rope, so you came crying to me? response:	You really are a handful for a bean sprout!
context: I'm always, always taking care of those animals on holidays, aren't I?\So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day\So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout! response:	I owe you big time.
context: So the least you can do is return the favor!\Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day\So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time. response:	But you know what, cleaning the pool sounds kind of exciting to me!
context: Well...\All right, I'm counting on you! The rest is up to you!\Cleanup Day\So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me! response:	Sounds fun!
context: All right, I'm counting on you! The rest is up to you!\Cleanup Day\So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun! response:	Talk about thinking positive...
context: Cleanup Day\So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive... response:	Who else did you ask?
context: So?\You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive...\Who else did you ask? response:	The thing is...
context: You were at the end of your rope, so you came crying to me?\You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive...\Who else did you ask?\The thing is... response:	Basically, I called on the guys,
context: You really are a handful for a bean sprout!\I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive...\Who else did you ask?\The thing is...\Basically, I called on the guys, response:	but aside from this one they all turned me down.
context: I owe you big time.\But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive...\Who else did you ask?\The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down. response:	Looking forward to this, Kirisaki!
