context: Impudence! How dare you try to trespass into the Crown Prince's chambers? response:	Let me see His Highness! My lady is about to give birth!
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth! response:	Quickly summon someone to help my lady deliver!
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver! response:	The Crown Prince issued strict orders that nobody is to enter.
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter. response:	Sisters, my lady cannot afford to wait! Please allow me inside!
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside! response:	- Third Prince. - Third Prince.
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince. response:	Nai Nai, what has happened?
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened? response:	Third Prince, my lady is about to give birth!
context: Impudence! How dare you try to trespass into the Crown Prince's chambers?\Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth! response:	What did you say?
context: Let me see His Highness! My lady is about to give birth!\Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say? response:	Quick, get up.
context: Quickly summon someone to help my lady deliver!\The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say?\Quick, get up. response:	Take me there.
context: The Crown Prince issued strict orders that nobody is to enter.\Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say?\Quick, get up.\Take me there. response:	What about His Highness?
context: Sisters, my lady cannot afford to wait! Please allow me inside!\- Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say?\Quick, get up.\Take me there.\What about His Highness? response:	Don't worry about him. Get going!
context: - Third Prince. - Third Prince.\Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say?\Quick, get up.\Take me there.\What about His Highness?\Don't worry about him. Get going! response:	Yes.
context: Nai Nai, what has happened?\Third Prince, my lady is about to give birth!\What did you say?\Quick, get up.\Take me there.\What about His Highness?\Don't worry about him. Get going!\Yes. response:	- Quick! - Your Highness.
context: Third Prince, my lady is about to give birth!\What did you say?\Quick, get up.\Take me there.\What about His Highness?\Don't worry about him. Get going!\Yes.\- Quick! - Your Highness. response:	Medicine King, quick! You must ensure the safety of both mother and child!
context: What did you say?\Quick, get up.\Take me there.\What about His Highness?\Don't worry about him. Get going!\Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child! response:	Yes. Greetings, Your Highness.
context: Quick, get up.\Take me there.\What about His Highness?\Don't worry about him. Get going!\Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness. response:	Forget about those formalities!
context: Take me there.\What about His Highness?\Don't worry about him. Get going!\Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities! response:	Remember, you must ensure the safety of both mother and child.
context: What about His Highness?\Don't worry about him. Get going!\Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child. response:	Yes.
context: Don't worry about him. Get going!\Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes. response:	A woman in childbirth mustn't be subjected to the wind.
context: Yes.\- Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind. response:	Quick, pull down the curtains.
context: - Quick! - Your Highness.\Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains. response:	- Yes.. - Quickly!
context: Medicine King, quick! You must ensure the safety of both mother and child!\Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly! response:	- Third Prince, please step back. - Your Highness, you will be all right.
context: Yes. Greetings, Your Highness.\Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right. response:	Your Highness, Medicine King is here.
context: Forget about those formalities!\Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here. response:	You must stay safe and sound, Your Highness.
context: Remember, you must ensure the safety of both mother and child.\Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness. response:	Ye Hua.
context: Yes.\A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua. response:	Your Highness, trust me. The Crown Prince will surely come.
context: A woman in childbirth mustn't be subjected to the wind.\Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come. response:	Ye Hua! Ye Hua...
context: Quick, pull down the curtains.\- Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua... response:	Your Highness, it...
context: - Yes.. - Quickly!\- Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it... response:	Speak quickly!
context: - Third Prince, please step back. - Your Highness, you will be all right.\Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly! response:	Your Highness, this baby really is a sick child.
context: Your Highness, Medicine King is here.\You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child. response:	Your Highness, spare my life. Spare my life!
context: You must stay safe and sound, Your Highness.\Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life! response:	It was you! You harmed my son!
context: Ye Hua.\Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son! response:	Xuan Nu, you just gave birth. Why are you out of bed?
context: Your Highness, trust me. The Crown Prince will surely come.\Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed? response:	Get back in and rest.
