context: Acnologia? response:	Did Zeref really say that?
context: Acnologia?\Did Zeref really say that? response:	I'm sorry.
context: Acnologia?\Did Zeref really say that?\I'm sorry. response:	I couldn't even move...
context: Acnologia?\Did Zeref really say that?\I'm sorry.\I couldn't even move... response:	It doesn't matter now.
context: Acnologia?\Did Zeref really say that?\I'm sorry.\I couldn't even move...\It doesn't matter now. response:	If Zeref really said Acnologia...
context: Acnologia?\Did Zeref really say that?\I'm sorry.\I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia... response:	R-Retreat!
context: Acnologia?\Did Zeref really say that?\I'm sorry.\I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat! response:	All troops, retreat!
context: Acnologia?\Did Zeref really say that?\I'm sorry.\I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat!\All troops, retreat! response:	The investigation of Tenroujima is over and done with!
context: Did Zeref really say that?\I'm sorry.\I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with! response:	Rattle, rattle... Kaboom!
context: I'm sorry.\I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom! response:	What the...?! Stop that!
context: I couldn't even move...\It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that! response:	Since Laxus showed up and all... It fits the mood.
context: It doesn't matter now.\If Zeref really said Acnologia...\R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood. response:	Can you cut that out since Lily is scared of thunder?
context: If Zeref really said Acnologia...\R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder? response:	I'm not scared of it!
context: R-Retreat!\All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it! response:	Crakabadaboom!!
context: All troops, retreat!\The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!! response:	Hey, I said stop that!
context: The investigation of Tenroujima is over and done with!\Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that! response:	It's in honor of Natsu turning into a Thunder-Flame Dragon.
context: Rattle, rattle... Kaboom!\What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon. response:	Is this really all we can do?
context: What the...?! Stop that!\Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do? response:	I know how important our mission is.
context: Since Laxus showed up and all... It fits the mood.\Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is. response:	But I have a responsibility to protect my men.
context: Can you cut that out since Lily is scared of thunder?\I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men. response:	In this situation, I have no choice but to retreat.
context: I'm not scared of it!\Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat. response:	That's not what I mean.
context: Crakabadaboom!!\Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean. response:	Just leaving them there? When there are lives that could possibly be saved?
context: Hey, I said stop that!\It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved? response:	Don't be naive.
context: It's in honor of Natsu turning into a Thunder-Flame Dragon.\Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive. response:	I was like that, once.
context: Is this really all we can do?\I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once. response:	But when you compare it to maintaining the order and justice of the entire Magical World...
context: I know how important our mission is.\But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World... response:	You call this justice?!
context: But I have a responsibility to protect my men.\In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?! response:	We're just running away!
context: In this situation, I have no choice but to retreat.\That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away! response:	You wish to argue with what I call justice and ideals, Dranbalt?
context: That's not what I mean.\Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt? response:	If that will satisfy you, then...
context: Just leaving them there? When there are lives that could possibly be saved?\Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then... response:	No, that's not it... I...
context: Don't be naive.\I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I... response:	The Deepest Realm!
context: I was like that, once.\But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm! response:	Slash!
context: But when you compare it to maintaining the order and justice of the entire Magical World...\You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm!\Slash! response:	Runes!
context: You call this justice?!\We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm!\Slash!\Runes! response:	Your characters will be destroyed!
context: We're just running away!\You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm!\Slash!\Runes!\Your characters will be destroyed! response:	You think I lazily wrote runes just to protect my friends?
context: You wish to argue with what I call justice and ideals, Dranbalt?\If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm!\Slash!\Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends? response:	What?
context: If that will satisfy you, then...\No, that's not it... I...\The Deepest Realm!\Slash!\Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What? response:	I also wrote runes like this as well.
context: No, that's not it... I...\The Deepest Realm!\Slash!\Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well. response:	And I did it so you wouldn't notice.
context: The Deepest Realm!\Slash!\Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well.\And I did it so you wouldn't notice. response:	Slash!
context: Slash!\Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash! response:	It looks like you don't know the character for to learn!
context: Runes!\Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn! response:	Runes! Your characters will be...
context: Your characters will be destroyed!\You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be... response:	Your crappy roundabout runes seem infantile
context: You think I lazily wrote runes just to protect my friends?\What?\I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile response:	before my single characters and their countless meanings!
context: What?\I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings! response:	Rumble
context: I also wrote runes like this as well.\And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble response:	That is quite hard on the ears...
context: And I did it so you wouldn't notice.\Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble\That is quite hard on the ears... response:	My runes?!
context: Slash!\It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble\That is quite hard on the ears...\My runes?! response:	Slash
context: It looks like you don't know the character for to learn!\Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble\That is quite hard on the ears...\My runes?!\Slash response:	Rumble becomes resound!
context: Runes! Your characters will be...\Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble\That is quite hard on the ears...\My runes?!\Slash\Rumble becomes resound! response:	In other words, the character means more than just sound, it means expanding!
context: Your crappy roundabout runes seem infantile\before my single characters and their countless meanings!\Rumble\That is quite hard on the ears...\My runes?!\Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding! response:	So he uses characters to strengthen the effects of his characters...
context: before my single characters and their countless meanings!\Rumble\That is quite hard on the ears...\My runes?!\Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters... response:	I see. It's simple, but it has deep meaning.
context: Rumble\That is quite hard on the ears...\My runes?!\Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning. response:	But, you have not realized something.
context: That is quite hard on the ears...\My runes?!\Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something. response:	The line that connects two points...
context: My runes?!\Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points... response:	In other words, the things called words...
context: Slash\Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points...\In other words, the things called words... response:	Roundabout...
context: Rumble becomes resound!\In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points...\In other words, the things called words...\Roundabout... response:	What have they been going on about?
context: In other words, the character means more than just sound, it means expanding!\So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points...\In other words, the things called words...\Roundabout...\What have they been going on about? response:	Theory vs. Theory.
context: So he uses characters to strengthen the effects of his characters...\I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points...\In other words, the things called words...\Roundabout...\What have they been going on about?\Theory vs. Theory. response:	That's what it looks like.
context: I see. It's simple, but it has deep meaning.\But, you have not realized something.\The line that connects two points...\In other words, the things called words...\Roundabout...\What have they been going on about?\Theory vs. Theory.\That's what it looks like. response:	Isn't that arguing over pointless things?
context: But, you have not realized something.\The line that connects two points...\In other words, the things called words...\Roundabout...\What have they been going on about?\Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things? response:	He's out!
context: The line that connects two points...\In other words, the things called words...\Roundabout...\What have they been going on about?\Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things?\He's out! response:	Baryon Formation!
context: In other words, the things called words...\Roundabout...\What have they been going on about?\Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things?\He's out!\Baryon Formation! response:	Egg Wall!
context: Roundabout...\What have they been going on about?\Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things?\He's out!\Baryon Formation!\Egg Wall! response:	Beautifully fried-peron!
context: What have they been going on about?\Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things?\He's out!\Baryon Formation!\Egg Wall!\Beautifully fried-peron! response:	What the heck?!
context: Theory vs. Theory.\That's what it looks like.\Isn't that arguing over pointless things?\He's out!\Baryon Formation!\Egg Wall!\Beautifully fried-peron!\What the heck?! response:	It's time to cook you next-peron!
context: That's what it looks like.\Isn't that arguing over pointless things?\He's out!\Baryon Formation!\Egg Wall!\Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron! response:	Looks like he's having a rough time over there, too.
