context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long. response:	He- He's huge! His form is different than the one on Earth as well.
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well. response:	Thi- This is Shen...ron?
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron? response:	Thou who hast gathered the Dragonballs, now speak forth thy wish.
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish. response:	I shall grant thee any three wishes, as long as they are within my ability.
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability. response:	Awesome! He really does grant three wishes!
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes! response:	We should have expected as much from the native Shenron! It sure is generous of him!
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him! response:	What should we do? We have three wishes.
context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long.\He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes. response:	Your wishes, quickly! Don't forget about Freeza and Vegeta!
context: He- He's huge! His form is different than the one on Earth as well.\Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta! response:	Oh yeah. First...
context: Thi- This is Shen...ron?\Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First... response:	Ask him to please bring back to life everyone that the Saiyajins killed on Earth.
context: Thou who hast gathered the Dragonballs, now speak forth thy wish.\I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth. response:	All right, I got it!
context: I shall grant thee any three wishes, as long as they are within my ability.\Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it! response:	That wish cannot be granted.
context: Awesome! He really does grant three wishes!\We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted. response:	Restoring the dead to life can only be accomplished one individual at a time.
context: We should have expected as much from the native Shenron! It sure is generous of him!\What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time. response:	Oh no!
context: What should we do? We have three wishes.\Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no! response:	Apparently, he can only bring back one person at a time.
context: Your wishes, quickly! Don't forget about Freeza and Vegeta!\Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time. response:	Only one at a time!?
context: Oh yeah. First...\Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!? response:	If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...
context: Ask him to please bring back to life everyone that the Saiyajins killed on Earth.\All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo... response:	All right! I'll have myself restored to life first.
context: All right, I got it!\That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first. response:	What was that?
context: That wish cannot be granted.\Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that? response:	Well, Kaio-sama, I'll go first-
context: Restoring the dead to life can only be accomplished one individual at a time.\Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first- response:	Wait! Don't be so selfish, I'm going first!
context: Oh no!\Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first! response:	What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!
context: Apparently, he can only bring back one person at a time.\Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back! response:	That's ridiculous!
context: Only one at a time!?\If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous! response:	Everyone! Let's draw straws!
context: If they only have three wishes... and there's me, Yamcha, Chiaotzu, and Piccolo...\All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws! response:	No way! You'll use your telekinesis to cheat on us!
context: All right! I'll have myself restored to life first.\What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us! response:	How awful! I wouldn't do that!
context: What was that?\Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that! response:	Let me...
context: Well, Kaio-sama, I'll go first-\Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me... response:	Let me talk with Gohan!
context: Wait! Don't be so selfish, I'm going first!\What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me...\Let me talk with Gohan! response:	- What? - Please!
context: What are you saying!? I was the first one of us to die! Therefore, I will be the first brought back!\That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me...\Let me talk with Gohan!\- What? - Please! response:	What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.
context: That's ridiculous!\Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me...\Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability. response:	Within his ability, he says.
context: Everyone! Let's draw straws!\No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me...\Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says. response:	Quickly! If we're found out by Freeza or Vegeta, we're finished!
