context: Where are you going? response:	To school.
context: Where are you going?\To school. response:	A place for studying?
context: Where are you going?\To school.\A place for studying? response:	That's right. Other than Saturdays, I go almost every day.
context: Where are you going?\To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day. response:	Don't follow me, okay?
context: Where are you going?\To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay? response:	Tsk.
context: Where are you going?\To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk. response:	What's with that tongue clicking?
context: Where are you going?\To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk.\What's with that tongue clicking? response:	I'm bored.
context: Where are you going?\To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk.\What's with that tongue clicking?\I'm bored. response:	Watch TV then.
context: To school.\A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk.\What's with that tongue clicking?\I'm bored.\Watch TV then. response:	I'll be going then.
context: A place for studying?\That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk.\What's with that tongue clicking?\I'm bored.\Watch TV then.\I'll be going then. response:	An era where only studying is required of children?
context: That's right. Other than Saturdays, I go almost every day.\Don't follow me, okay?\Tsk.\What's with that tongue clicking?\I'm bored.\Watch TV then.\I'll be going then.\An era where only studying is required of children? response:	This has become a fine country.
context: Don't follow me, okay?\Tsk.\What's with that tongue clicking?\I'm bored.\Watch TV then.\I'll be going then.\An era where only studying is required of children?\This has become a fine country. response:	Tsugumi!
context: Tsk.\What's with that tongue clicking?\I'm bored.\Watch TV then.\I'll be going then.\An era where only studying is required of children?\This has become a fine country.\Tsugumi! response:	Oh, Jin!
context: What's with that tongue clicking?\I'm bored.\Watch TV then.\I'll be going then.\An era where only studying is required of children?\This has become a fine country.\Tsugumi!\Oh, Jin! response:	Good morning!
context: I'm bored.\Watch TV then.\I'll be going then.\An era where only studying is required of children?\This has become a fine country.\Tsugumi!\Oh, Jin!\Good morning! response:	How is Nagi-san? Is she all right?
context: Watch TV then.\I'll be going then.\An era where only studying is required of children?\This has become a fine country.\Tsugumi!\Oh, Jin!\Good morning!\How is Nagi-san? Is she all right? response:	Well, so-so.
context: I'll be going then.\An era where only studying is required of children?\This has become a fine country.\Tsugumi!\Oh, Jin!\Good morning!\How is Nagi-san? Is she all right?\Well, so-so. response:	She's at home now?
context: An era where only studying is required of children?\This has become a fine country.\Tsugumi!\Oh, Jin!\Good morning!\How is Nagi-san? Is she all right?\Well, so-so.\She's at home now? response:	What about school?
context: This has become a fine country.\Tsugumi!\Oh, Jin!\Good morning!\How is Nagi-san? Is she all right?\Well, so-so.\She's at home now?\What about school? response:	I'll think about it after I get in touch with my old man.
context: Tsugumi!\Oh, Jin!\Good morning!\How is Nagi-san? Is she all right?\Well, so-so.\She's at home now?\What about school?\I'll think about it after I get in touch with my old man. response:	Thanks for the side dishes.
context: Oh, Jin!\Good morning!\How is Nagi-san? Is she all right?\Well, so-so.\She's at home now?\What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes. response:	I'll return the tupperware at school.
context: Good morning!\How is Nagi-san? Is she all right?\Well, so-so.\She's at home now?\What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school. response:	Okay.
context: How is Nagi-san? Is she all right?\Well, so-so.\She's at home now?\What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school.\Okay. response:	How was it?
context: Well, so-so.\She's at home now?\What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school.\Okay.\How was it? response:	Which ones were delicious?
context: She's at home now?\What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school.\Okay.\How was it?\Which ones were delicious? response:	All of them were delicious... Especially...
context: What about school?\I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school.\Okay.\How was it?\Which ones were delicious?\All of them were delicious... Especially... response:	The fried vegetables were delicious.
context: I'll think about it after I get in touch with my old man.\Thanks for the side dishes.\I'll return the tupperware at school.\Okay.\How was it?\Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious. response:	Yeah.
context: Thanks for the side dishes.\I'll return the tupperware at school.\Okay.\How was it?\Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah. response:	Oh, I see...
context: I'll return the tupperware at school.\Okay.\How was it?\Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah.\Oh, I see... response:	School... huh?
context: Okay.\How was it?\Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah.\Oh, I see...\School... huh? response:	That color is no good.
context: How was it?\Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah.\Oh, I see...\School... huh?\That color is no good. response:	The harmony is all messed up.
context: Which ones were delicious?\All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah.\Oh, I see...\School... huh?\That color is no good.\The harmony is all messed up. response:	You've lost your sense of direction.
context: All of them were delicious... Especially...\The fried vegetables were delicious.\Yeah.\Oh, I see...\School... huh?\That color is no good.\The harmony is all messed up.\You've lost your sense of direction. response:	What exactly are you trying to portray?
context: The fried vegetables were delicious.\Yeah.\Oh, I see...\School... huh?\That color is no good.\The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray? response:	When your design is slipshod, using eccentric colors isn't going to help.
context: Yeah.\Oh, I see...\School... huh?\That color is no good.\The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help. response:	I've already said you're not up to oil painting yet.
context: Oh, I see...\School... huh?\That color is no good.\The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet. response:	Mikuriya, this is still beyond your ability.
context: School... huh?\That color is no good.\The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability. response:	What a waste of time, taking out so many painting equipments.
context: That color is no good.\The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments. response:	Your palette is full of paint too.
context: The harmony is all messed up.\You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too. response:	I know!
context: You've lost your sense of direction.\What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know! response:	I know I suck, okay?
context: What exactly are you trying to portray?\When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know!\I know I suck, okay? response:	But I...
context: When your design is slipshod, using eccentric colors isn't going to help.\I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know!\I know I suck, okay?\But I... response:	I understand.
context: I've already said you're not up to oil painting yet.\Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know!\I know I suck, okay?\But I...\I understand. response:	You just want to imitate him, don't you?
context: Mikuriya, this is still beyond your ability.\What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know!\I know I suck, okay?\But I...\I understand.\You just want to imitate him, don't you? response:	It's completed!
context: What a waste of time, taking out so many painting equipments.\Your palette is full of paint too.\I know!\I know I suck, okay?\But I...\I understand.\You just want to imitate him, don't you?\It's completed! response:	The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!
context: Your palette is full of paint too.\I know!\I know I suck, okay?\But I...\I understand.\You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting! response:	Amazing! To finish a painting with only a palette knife, that's so cool!
context: I know!\I know I suck, okay?\But I...\I understand.\You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool! response:	A person with a large-build sure has a bold style!
context: I know I suck, okay?\But I...\I understand.\You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style! response:	But there's a calculated beauty even beneath the boldness!
context: But I...\I understand.\You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness! response:	That pink highlight is effective.
context: I understand.\You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective. response:	Sense is needed to use pink effectively.
context: You just want to imitate him, don't you?\It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively. response:	Jin...
context: It's completed!\The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively.\Jin... response:	How's the sculpture?
context: The rookie of the Arts Club, Daitetsu-kun has finished his oil painting!\Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively.\Jin...\How's the sculpture? response:	I'm sorry. It was somewhat completed, but I broke it by accident.
context: Amazing! To finish a painting with only a palette knife, that's so cool!\A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively.\Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident. response:	I'm sorry you had to carry the tree for me...
context: A person with a large-build sure has a bold style!\But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively.\Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me... response:	I see.
context: But there's a calculated beauty even beneath the boldness!\That pink highlight is effective.\Sense is needed to use pink effectively.\Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see. response:	I want to lend you this.
context: That pink highlight is effective.\Sense is needed to use pink effectively.\Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see.\I want to lend you this. response:	It's... very cute...
context: Sense is needed to use pink effectively.\Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see.\I want to lend you this.\It's... very cute... response:	Whenever I think about it,
context: Jin...\How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see.\I want to lend you this.\It's... very cute...\Whenever I think about it, response:	Shut up!
context: How's the sculpture?\I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see.\I want to lend you this.\It's... very cute...\Whenever I think about it,\Shut up! response:	I'm trying to work here, so shut up!
context: I'm sorry. It was somewhat completed, but I broke it by accident.\I'm sorry you had to carry the tree for me...\I see.\I want to lend you this.\It's... very cute...\Whenever I think about it,\Shut up!\I'm trying to work here, so shut up! response:	Now the focus line I've drawn is off!
context: I'm sorry you had to carry the tree for me...\I see.\I want to lend you this.\It's... very cute...\Whenever I think about it,\Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off! response:	Oh my, Akiba-kun. You're here?
context: I see.\I want to lend you this.\It's... very cute...\Whenever I think about it,\Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here? response:	I am. I've been here all along.
context: I want to lend you this.\It's... very cute...\Whenever I think about it,\Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along. response:	You were so quiet, I didn't notice you.
context: It's... very cute...\Whenever I think about it,\Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you. response:	So... How's your comic coming along?
context: Whenever I think about it,\Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along? response:	Don't change the topic.
context: Shut up!\I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic. response:	Well... it's moving steadily.
context: I'm trying to work here, so shut up!\Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily. response:	Your work's still as good.
context: Now the focus line I've drawn is off!\Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily.\Your work's still as good. response:	Thank you for your compliment.
context: Oh my, Akiba-kun. You're here?\I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment. response:	Which magazine are you submitting to this time?
context: I am. I've been here all along.\You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time? response:	Monthly Issue Dejavu.
context: You were so quiet, I didn't notice you.\So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu. response:	Oh, you mean that magazine full of comics that I thought I've seen before.
context: So... How's your comic coming along?\Don't change the topic.\Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before. response:	But this comic sure gives the feeling of What exactly is going on?
context: Don't change the topic.\Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on? response:	The motive of the war is unclear, isn't it?
context: Well... it's moving steadily.\Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it? response:	The world-view is influenced by existing works. There's no originality.
