context: eye catch response:	Pre! Preparation!
context: eye catch\Pre! Preparation! response:	I'm not strong
context: eye catch\Pre! Preparation!\I'm not strong response:	But pre! Pre-parade!
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade! response:	I'll catch you someday!
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday! response:	P-re-prepare, p-re-prepare, p-re-prepare, cracking apart
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart response:	P-re-prepare, p-re-prepare, p-re-prepare
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare response:	If you're not paying attention, be prepared for a poking attack from my fingers
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers response:	I'm little, but I'll squish you; you're as tiny as a flea to me
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me response:	What I want is a plastic heart (plus, plus, but it's a minus)
context: I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus) response:	But that's boring; when I'd notice it, I'd have won against you
context: But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you response:	Love is something that's bittersweet
context: I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet response:	Simple and clear yet complex and strange stuff
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	The Face Back Then
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Face Back Then response:	School Handbook
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Face Back Then\School Handbook response:	School Handbook
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Face Back Then\School Handbook\School Handbook response:	School Handbook
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Face Back Then\School Handbook\School Handbook\School Handbook response:	School Handbook
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\The Face Back Then\School Handbook\School Handbook\School Handbook\School Handbook response:	School Handbook
context: Like putting salt\Into sweet vanilla...\The Face Back Then\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook response:	School Handbook
context: Into sweet vanilla...\The Face Back Then\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook response:	School Handbook
context: The Face Back Then\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook response:	Next Episode Preview
context: School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\Next Episode Preview response:	Kawashima Ami
context: School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\Next Episode Preview\Kawashima Ami response:	Get up already.
context: School Handbook\School Handbook\School Handbook\School Handbook\School Handbook\Next Episode Preview\Kawashima Ami\Get up already. response:	You stayed up late again, didn't you?
context: School Handbook\School Handbook\School Handbook\School Handbook\Next Episode Preview\Kawashima Ami\Get up already.\You stayed up late again, didn't you? response:	The lights were on.
context: School Handbook\School Handbook\School Handbook\Next Episode Preview\Kawashima Ami\Get up already.\You stayed up late again, didn't you?\The lights were on. response:	I confirmed this up to 2:30 AM.
context: School Handbook\School Handbook\Next Episode Preview\Kawashima Ami\Get up already.\You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM. response:	Rice is... dripping out of...
context: School Handbook\Next Episode Preview\Kawashima Ami\Get up already.\You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of... response:	If it's about breakfast, I brought it already.
context: Next Episode Preview\Kawashima Ami\Get up already.\You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already. response:	I'll warm it up for you, so go and wash your face.
context: Kawashima Ami\Get up already.\You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face. response:	Breakfast...
context: Get up already.\You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast... response:	All right, and now for the dishes and laundry...
context: You stayed up late again, didn't you?\The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry... response:	This place really is barren.
context: The lights were on.\I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry...\This place really is barren. response:	A cardboard box?
context: I confirmed this up to 2:30 AM.\Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box? response:	What's this?
context: Rice is... dripping out of...\If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box?\What's this? response:	A picture album?
context: If it's about breakfast, I brought it already.\I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box?\What's this?\A picture album? response:	This is...
context: I'll warm it up for you, so go and wash your face.\Breakfast...\All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box?\What's this?\A picture album?\This is... response:	Just what are you looking at?
context: Breakfast...\All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box?\What's this?\A picture album?\This is...\Just what are you looking at? response:	T-Taiga, this is - !
context: All right, and now for the dishes and laundry...\This place really is barren.\A cardboard box?\What's this?\A picture album?\This is...\Just what are you looking at?\T-Taiga, this is - ! response:	Yeah, that's right!
context: This place really is barren.\A cardboard box?\What's this?\A picture album?\This is...\Just what are you looking at?\T-Taiga, this is - !\Yeah, that's right! response:	They're pictures of Kitamura-kun! You have a problem with that?
context: A cardboard box?\What's this?\A picture album?\This is...\Just what are you looking at?\T-Taiga, this is - !\Yeah, that's right!\They're pictures of Kitamura-kun! You have a problem with that? response:	Even if you have a problem, there's no way in hell I'm going to listen to it.
context: What's this?\A picture album?\This is...\Just what are you looking at?\T-Taiga, this is - !\Yeah, that's right!\They're pictures of Kitamura-kun! You have a problem with that?\Even if you have a problem, there's no way in hell I'm going to listen to it. response:	This... is supposed to be Kitamura?
