context: Are you all right? response:	Do you want to go to the nurse's office?
context: Are you all right?\Do you want to go to the nurse's office? response:	Good morning.
context: Are you all right?\Do you want to go to the nurse's office?\Good morning. response:	She seems to be feeling unwell.
context: Are you all right?\Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell. response:	Take care of her.
context: Are you all right?\Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell.\Take care of her. response:	Why didn't you show up yesterday?
context: Are you all right?\Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday? response:	Weren't we going to review our behavior on Saturday?
context: Are you all right?\Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday? response:	You sure are annoying.
context: Are you all right?\Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying. response:	I did the reviewing by myself.
context: Do you want to go to the nurse's office?\Good morning.\She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself. response:	Upon asking...
context: Good morning.\She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself.\Upon asking... response:	It's hot. I'm exhausted.
context: She seems to be feeling unwell.\Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted. response:	When do we change uniforms?
context: Take care of her.\Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted.\When do we change uniforms? response:	I want to change into the summer uniform as soon as possible.
context: Why didn't you show up yesterday?\Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible. response:	Suzumiya...
context: Weren't we going to review our behavior on Saturday?\You sure are annoying.\I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya... response:	I've probably said this already...
context: You sure are annoying.\I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already... response:	How does a normal high schooler have fun?
context: I did the reviewing by myself.\Upon asking...\It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already...\How does a normal high schooler have fun? response:	Find some nice guy...
context: Upon asking...\It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy... response:	You could even call it a date.
context: It's hot. I'm exhausted.\When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date. response:	Kill two birds with one stone.
