context: I'll leave the solids to you. response:	All right!
context: I'll leave the solids to you.\All right! response:	Azuki's moving tomorrow, isn't she?
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she? response:	We have three days to bring in the finished manuscript.
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript. response:	We must use all the time we have to make it even a little better.
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better. response:	All right, I'll do my best on it.
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it. response:	I'll wait.
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait. response:	I'll wait forever.
context: I'll leave the solids to you.\All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait.\I'll wait forever. response:	Are you going to get that?
context: All right!\Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait.\I'll wait forever.\Are you going to get that? response:	Ignore it.
context: Azuki's moving tomorrow, isn't she?\We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait.\I'll wait forever.\Are you going to get that?\Ignore it. response:	It's probably someone selling newspapers or something.
context: We have three days to bring in the finished manuscript.\We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait.\I'll wait forever.\Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something. response:	Mashiro! Takagi!
context: We must use all the time we have to make it even a little better.\All right, I'll do my best on it.\I'll wait.\I'll wait forever.\Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi! response:	You're there, aren't you?!
context: All right, I'll do my best on it.\I'll wait.\I'll wait forever.\Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?! response:	It's Miyoshi.
context: I'll wait.\I'll wait forever.\Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi. response:	Ignore it.
