context: during my forlorn years in this world response:	Saitama Hundred Poets Tournament
context: during my forlorn years in this world\Saitama Hundred Poets Tournament response:	We appreciate all your help, Mrs. Oe.
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe. response:	Please! Call me Rieko!
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko! response:	Kana-chan, do we really have to wear hakama for every tournament?
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament? response:	Of course!
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course! response:	It's a Mizusawa High School Karuta Club tradition.
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition. response:	What?
context: during my forlorn years in this world\Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition.\What? response:	In that case,
context: Saitama Hundred Poets Tournament\We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition.\What?\In that case, response:	I should probably learn how to put one on by myself.
context: We appreciate all your help, Mrs. Oe.\Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition.\What?\In that case,\I should probably learn how to put one on by myself. response:	Desktomu-kun!
context: Please! Call me Rieko!\Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition.\What?\In that case,\I should probably learn how to put one on by myself.\Desktomu-kun! response:	Oe Traditional Clothing
context: Kana-chan, do we really have to wear hakama for every tournament?\Of course!\It's a Mizusawa High School Karuta Club tradition.\What?\In that case,\I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing response:	offers lessons for wearing hakama!
context: Of course!\It's a Mizusawa High School Karuta Club tradition.\What?\In that case,\I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama! response:	Oe Traditional Clothing offers a new line
context: It's a Mizusawa High School Karuta Club tradition.\What?\In that case,\I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line response:	of cotton hakama for competitive karuta!
context: What?\In that case,\I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta! response:	Er, u-uh...
context: In that case,\I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh... response:	This will be my first official match after making Class A
context: I should probably learn how to put one on by myself.\Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A response:	that isn't limited to high schoolers.
context: Desktomu-kun!\Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers. response:	First, you need to win!
context: Oe Traditional Clothing\offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win! response:	After that, your goal is to win the whole thing so you can advance in rank!
context: offers lessons for wearing hakama!\Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank! response:	Let's get serious!
context: Oe Traditional Clothing offers a new line\of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious! response:	Yeah!
context: of cotton hakama for competitive karuta!\Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah! response:	Mashima, you're fired up.
