context: <OP> response:	<Comic relief>
context: <OP>\<Comic relief> response:	<Break>
context: <OP>\<Comic relief>\<Break> response:	<Begin *LOVE*. And keeping women in the kitchen.>
context: <OP>\<Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.> response:	<Cutting board filled with *LOVE*>
context: <OP>\<Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*> response:	<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>
context: <OP>\<Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!> response:	- Change name to Arkadia, Iliya in episode 4, 7 -
context: <OP>\<Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 - response:	<B part>
context: <OP>\<Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part> response:	<He enjoyed that>
context: <Comic relief>\<Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that> response:	<Ah, spring. When ze young boy finds ze one he love.>
context: <Break>\<Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.> response:	<Man, I am hard.>
context: <Begin *LOVE*. And keeping women in the kitchen.>\<Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.> response:	<THAT FACE. HOLY SHIT. SPONTANEOUS.>
context: <Cutting board filled with *LOVE*>\<Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.> response:	<Eroi.>
context: <Private Sorami! Put down that knife! Violence against innocent civilians will result in a court-martial!>\- Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.> response:	<This episode is hot. Hot, I tell you.> ah ze toilet
context: - Change name to Arkadia, Iliya in episode 4, 7 -\<B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet response:	<The fear in her eyes-I love it.>
context: <B part>\<He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.> response:	<ED>
context: <He enjoyed that>\<Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED> response:	The brilliant glow of this sky, does it carry right into your heart?
context: <Ah, spring. When ze young boy finds ze one he love.>\<Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: <Man, I am hard.>\<THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: <THAT FACE. HOLY SHIT. SPONTANEOUS.>\<Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: <Eroi.>\<This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: <This episode is hot. Hot, I tell you.> ah ze toilet\<The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: <The fear in her eyes-I love it.>\<ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: <ED>\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	I'm going to wet myself...
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself... response:	Phone Duty - Declare a State of Emergency
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency response:	Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission? response:	That's a really long name.
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name. response:	It's an extremely important mission.
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission. response:	If we fail, we'll all receive reprimands.
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands. response:	Depending on the situation, a level-one security alert may be issued,
context: In this light pouring down onto you, play tomorrow's song\I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued, response:	and all forces in the area placed on emergency standby.
context: I'm going to wet myself...\Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby. response:	That's right. It's a heavy responsibility.
context: Phone Duty - Declare a State of Emergency\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility. response:	Wh- What kind of mission is it?
context: Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission?\That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it? response:	Well, you see...
context: That's a really long name.\It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see... response:	Phone duty.
context: It's an extremely important mission.\If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see...\Phone duty. response:	You know how this is the hotline connected to headquarters in the capital, right?
context: If we fail, we'll all receive reprimands.\Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right? response:	Has it ever rung?
context: Depending on the situation, a level-one security alert may be issued,\and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung? response:	No.
context: and all forces in the area placed on emergency standby.\That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No. response:	That's right. Thankfully.
context: That's right. It's a heavy responsibility.\Wh- What kind of mission is it?\Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No.\That's right. Thankfully. response:	So this mission...
context: Wh- What kind of mission is it?\Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No.\That's right. Thankfully.\So this mission... response:	Right. It's a good thing that the phone hasn't rung,
context: Well, you see...\Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No.\That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung, response:	but it's not a good thing if it doesn't ring when necessary.
context: Phone duty.\You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No.\That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary. response:	So once every six months, they test the line to see if it works.
context: You know how this is the hotline connected to headquarters in the capital, right?\Has it ever rung?\No.\That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works. response:	And that's the?
context: Has it ever rung?\No.\That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the? response:	Headquarters... Um...
context: No.\That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um... response:	Come on, at least remember these things.
context: That's right. Thankfully.\So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um...\Come on, at least remember these things. response:	Headquarters Confirmation High-Priority Emergency- Wait...
context: So this mission...\Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait... response:	No, it's the Headquarters Hotline Wiring Confirmation Emergency for...
context: Right. It's a good thing that the phone hasn't rung,\but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for... response:	Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.
context: but it's not a good thing if it doesn't ring when necessary.\So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission. response:	There.
context: So once every six months, they test the line to see if it works.\And that's the?\Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There. response:	Oh! Oh! Oh! Oh!
context: And that's the?\Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh! response:	Let me take care of this mission!
context: Headquarters... Um...\Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh!\Let me take care of this mission! response:	I've always wanted to try talking on a telephone!
context: Come on, at least remember these things.\Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone! response:	Is it that exciting?
context: Headquarters Confirmation High-Priority Emergency- Wait...\No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting? response:	It works pretty much the same way as the intercom in the Takemicaduchi.
context: No, it's the Headquarters Hotline Wiring Confirmation Emergency for...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi. response:	It's just that the other side is far away.
