context: Silver Thread response:	Lion King Touji Souya versus Kai Shimada 8th-Dan
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan response:	20th Lion King Tournament
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament response:	Th-This is the right place, isn't it?
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it? response:	Hesitant 17-year-old
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old response:	It's a huge hotel.
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel. response:	Hey! Kiriyama!
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama! response:	Nikaidou.
context: Silver Thread\Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama!\Nikaidou. response:	Brothers being interviewed by reporters in the waiting room.
context: Lion King Touji Souya versus Kai Shimada 8th-Dan\20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room. response:	This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.
context: 20th Lion King Tournament\Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering. response:	It must be hard on Brother and the others, with the matches starting tomorrow.
context: Th-This is the right place, isn't it?\Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow. response:	The fan gathering is from three.
context: Hesitant 17-year-old\It's a huge hotel.\Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three. response:	Once it starts, sit as close as you can to Brother in the Hall.
context: It's a huge hotel.\Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall. response:	Hey, are you sure about this?
context: Hey! Kiriyama!\Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this? response:	We have nothing to do with this, so to sit by him...
context: Nikaidou.\Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him... response:	Nothing to do with it?
context: Brothers being interviewed by reporters in the waiting room.\This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it? response:	We're in the same workshop! Plus I'm his little brother disciple!
context: This is the 20th anniversary, so on the eve tonight, there's also a fan gathering.\It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple! response:	When he's surrounded by all of these unfamiliar people
context: It must be hard on Brother and the others, with the matches starting tomorrow.\The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people response:	and steeling himself, I want to support him so he's not worn out before the first match.
