context: Help! Somebody! response:	Mr. Tsukiyama!
context: Help! Somebody!\Mr. Tsukiyama! response:	Thank goodness! Mr. Tsukiyama, help-
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help- response:	Kaneki, bon appetit!
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit! response:	Tell me, oh tell me, the way it works
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: Help! Somebody!\Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Mr. Tsukiyama!\Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Thank goodness! Mr. Tsukiyama, help-\Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: Kaneki, bon appetit!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
