context: Japanese Math Science Social Studies English response:	Ichika Nino Miku Yotsuba Itsuki
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki response:	I can't believe they all bombed nearly every subject.
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject. response:	I know we didn't have much time, but they studied a lot.
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot. response:	Futaro!
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro! response:	You need to stop talking about studying at home.
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home. response:	What kind of education approach is that?!
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?! response:	And you were the one who hooked me up with this job!
context: Japanese Math Science Social Studies English\Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job! response:	You weren't a very good student in the past either, remember?
context: Ichika Nino Miku Yotsuba Itsuki\I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember? response:	You don't need to worry so much. Itsuki-chan and the rest will change.
context: I can't believe they all bombed nearly every subject.\I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change. response:	What? Onii-chan wasn't such a study freak in the past?
context: I know we didn't have much time, but they studied a lot.\Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past? response:	This kid was a wild boy, just like me.
context: Futaro!\You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me. response:	I know you have a photo from back then in your student handbook.
context: You need to stop talking about studying at home.\What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook. response:	Let me see!
context: What kind of education approach is that?!\And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see! response:	No.
context: And you were the one who hooked me up with this job!\You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see!\No. response:	Hell no.
context: You weren't a very good student in the past either, remember?\You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see!\No.\Hell no. response:	Yoink.
context: You don't need to worry so much. Itsuki-chan and the rest will change.\What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see!\No.\Hell no.\Yoink. response:	Hey, Dad!
context: What? Onii-chan wasn't such a study freak in the past?\This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see!\No.\Hell no.\Yoink.\Hey, Dad! response:	Let me see! Let me see!
context: This kid was a wild boy, just like me.\I know you have a photo from back then in your student handbook.\Let me see!\No.\Hell no.\Yoink.\Hey, Dad!\Let me see! Let me see! response:	Take a look.
context: I know you have a photo from back then in your student handbook.\Let me see!\No.\Hell no.\Yoink.\Hey, Dad!\Let me see! Let me see!\Take a look. response:	No way.
context: Let me see!\No.\Hell no.\Yoink.\Hey, Dad!\Let me see! Let me see!\Take a look.\No way. response:	This is Onii-chan?
context: No.\Hell no.\Yoink.\Hey, Dad!\Let me see! Let me see!\Take a look.\No way.\This is Onii-chan? response:	Wow!
context: Hell no.\Yoink.\Hey, Dad!\Let me see! Let me see!\Take a look.\No way.\This is Onii-chan?\Wow! response:	That was around when you met that girl and became how you are now.
context: Yoink.\Hey, Dad!\Let me see! Let me see!\Take a look.\No way.\This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now. response:	I-I don't know what you're talking about.
context: Hey, Dad!\Let me see! Let me see!\Take a look.\No way.\This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about. response:	Hey, hey, is that your first love?
context: Let me see! Let me see!\Take a look.\No way.\This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love? response:	No, she's not.
context: Take a look.\No way.\This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love?\No, she's not. response:	The Quintessential Quintuplets
context: No way.\This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love?\No, she's not.\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: This is Onii-chan?\Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love?\No, she's not.\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: Wow!\That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love?\No, she's not.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: That was around when you met that girl and became how you are now.\I-I don't know what you're talking about.\Hey, hey, is that your first love?\No, she's not.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	What are these?
