context: It's a promise then. response:	You can't marry anyone else.
context: It's a promise then.\You can't marry anyone else. response:	I'll come and visit you when I have the time.
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time. response:	When you're all grown up, I'll marry you.
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you. response:	Ye Hua, you loved to read when you were a child.
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child. response:	Who would have expected you to be the same as your mortal self?
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self? response:	Little man.
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man. response:	You're talking to me?
context: It's a promise then.\You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me? response:	Little man.
context: You can't marry anyone else.\I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me?\Little man. response:	Who are you?
context: I'll come and visit you when I have the time.\When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me?\Little man.\Who are you? response:	Do you not know me?
context: When you're all grown up, I'll marry you.\Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me?\Little man.\Who are you?\Do you not know me? response:	Your Highness, the Crown Prince took the amnesia potion.
context: Ye Hua, you loved to read when you were a child.\Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me?\Little man.\Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion. response:	It's normal that he doesn't know you.
context: Who would have expected you to be the same as your mortal self?\Little man.\You're talking to me?\Little man.\Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you. response:	Don't be upset.
context: Little man.\You're talking to me?\Little man.\Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset. response:	It isn't that.
