context: I don't regret anything at all! I can't! response:	Because...
context: I don't regret anything at all! I can't!\Because... response:	It's strange.
context: I don't regret anything at all! I can't!\Because...\It's strange. response:	Even after...
context: I don't regret anything at all! I can't!\Because...\It's strange.\Even after... response:	so much time has passed,
context: I don't regret anything at all! I can't!\Because...\It's strange.\Even after...\so much time has passed, response:	something can save you,
context: I don't regret anything at all! I can't!\Because...\It's strange.\Even after...\so much time has passed,\something can save you, response:	coming in like a storm from a completely different direction.
context: I don't regret anything at all! I can't!\Because...\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction. response:	Hina...
context: I don't regret anything at all! I can't!\Because...\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina... response:	Thank you.
context: Because...\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you. response:	You are...
context: It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are... response:	my lifesaver.
context: Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver. response:	I promise.
context: so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise. response:	I'll stay with you.
context: something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you. response:	Rei...
context: coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you.\Rei... response:	Even if it takes the rest of my life, I will pay you back.
context: Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back. response:	Small World
context: Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back.\Small World response:	Sniff-sniff.
context: You are...\my lifesaver.\I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff. response:	Sniff-sniff.
context: my lifesaver.\I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff.\Sniff-sniff. response:	Here's dessert!
context: I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff.\Sniff-sniff.\Here's dessert! response:	It's the cherries that Kiriyama brought over.
context: I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff.\Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over. response:	Cherries!
context: Rei...\Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff.\Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries! response:	Thank you, Kiriyama.
context: Even if it takes the rest of my life, I will pay you back.\Small World\Sniff-sniff.\Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama. response:	NOM NOM
context: Small World\Sniff-sniff.\Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama.\NOM NOM response:	Delicious!
context: Sniff-sniff.\Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama.\NOM NOM\Delicious! response:	They smell sour-meow.
context: Sniff-sniff.\Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama.\NOM NOM\Delicious!\They smell sour-meow. response:	I'm not crazy about fruit.
context: Here's dessert!\It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama.\NOM NOM\Delicious!\They smell sour-meow.\I'm not crazy about fruit. response:	Huh? Are you sleepy, Momo?
context: It's the cherries that Kiriyama brought over.\Cherries!\Thank you, Kiriyama.\NOM NOM\Delicious!\They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo? response:	Maybe we should take a bath. Although it's a bit early...
context: Cherries!\Thank you, Kiriyama.\NOM NOM\Delicious!\They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early... response:	So, Hina, do you want to try playing? Shogi.
context: Thank you, Kiriyama.\NOM NOM\Delicious!\They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi. response:	SHAKE SHAKE SHAKE
context: NOM NOM\Delicious!\They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE response:	W-Will you go easy on me?
context: Delicious!\They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me? response:	SHAKE SHAKE SHAKE
context: They smell sour-meow.\I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE response:	Yes, yes, of course!
context: I'm not crazy about fruit.\Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course! response:	Then would you take it upstairs?
context: Huh? Are you sleepy, Momo?\Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs? response:	I wanna play some more...
context: Maybe we should take a bath. Although it's a bit early...\So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more... response:	I'm going to give Momo her bath.
context: So, Hina, do you want to try playing? Shogi.\SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath. response:	*Kawamoto House's bath changing room is the living room.
context: SHAKE SHAKE SHAKE\W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room. response:	I wanna play with Rei.
context: W-Will you go easy on me?\SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei. response:	Kiriyama.
context: SHAKE SHAKE SHAKE\Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama. response:	Are you sure that's all you need?
context: Yes, yes, of course!\Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama.\Are you sure that's all you need? response:	HINA
context: Then would you take it upstairs?\I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama.\Are you sure that's all you need?\HINA response:	KIRIYAMA
context: I wanna play some more...\I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama.\Are you sure that's all you need?\HINA\KIRIYAMA response:	Yeah.
context: I'm going to give Momo her bath.\*Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama.\Are you sure that's all you need?\HINA\KIRIYAMA\Yeah. response:	Are you positive? Just this much?
context: *Kawamoto House's bath changing room is the living room.\I wanna play with Rei.\Kiriyama.\Are you sure that's all you need?\HINA\KIRIYAMA\Yeah.\Are you positive? Just this much? response:	Yeah.
context: I wanna play with Rei.\Kiriyama.\Are you sure that's all you need?\HINA\KIRIYAMA\Yeah.\Are you positive? Just this much?\Yeah. response:	All right!
context: Kiriyama.\Are you sure that's all you need?\HINA\KIRIYAMA\Yeah.\Are you positive? Just this much?\Yeah.\All right! response:	Apparently the first time in Hina's room...
context: Are you sure that's all you need?\HINA\KIRIYAMA\Yeah.\Are you positive? Just this much?\Yeah.\All right!\Apparently the first time in Hina's room... response:	Then I might be able to win!
context: HINA\KIRIYAMA\Yeah.\Are you positive? Just this much?\Yeah.\All right!\Apparently the first time in Hina's room...\Then I might be able to win! response:	- Then let's get started. - Okay.
context: KIRIYAMA\Yeah.\Are you positive? Just this much?\Yeah.\All right!\Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay. response:	Why aren't I going first?
context: Yeah.\Are you positive? Just this much?\Yeah.\All right!\Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first? response:	I thought you were going easy on me.
context: Are you positive? Just this much?\Yeah.\All right!\Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me. response:	There's a rule that with handicap shogi, the player who's short of pieces goes first.
context: Yeah.\All right!\Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first. response:	What? Oh, but... okay. Go ahead.
context: All right!\Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead. response:	FIVE MINUTES LATER
context: Apparently the first time in Hina's room...\Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER response:	I-I lost.
context: Then I might be able to win!\- Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost. response:	GLOOM
