context: Master! response:	Master!
context: Master!\Master! response:	Tsubaki, the Dark Priestess.
context: Master!\Master!\Tsubaki, the Dark Priestess. response:	A priestess on the dark side specializing in curses.
context: Master!\Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses. response:	Tsubaki who desires eternal youth...
context: Master!\Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth... response:	agrees to lend Naraku her skills of malediction...
context: Master!\Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction... response:	in exchange for the Sacred Jewel.
context: Master!\Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel. response:	Using her messenger demon, Shikigami, she places a curse on me...
context: Master!\Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me... response:	and takes control of my body.
context: Master!\Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body. response:	The Shikon Jewel Shards have entered my body.
context: Tsubaki, the Dark Priestess.\A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body. response:	Kagome!
context: A priestess on the dark side specializing in curses.\Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome! response:	G-get away...
context: Tsubaki who desires eternal youth...\agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome!\G-get away... response:	What can I do?!
context: agrees to lend Naraku her skills of malediction...\in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome!\G-get away...\What can I do?! response:	Suffer... Inuyasha.
context: in exchange for the Sacred Jewel.\Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome!\G-get away...\What can I do?!\Suffer... Inuyasha. response:	Get away!
context: Using her messenger demon, Shikigami, she places a curse on me...\and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome!\G-get away...\What can I do?!\Suffer... Inuyasha.\Get away! response:	Inuyasha!
context: and takes control of my body.\The Shikon Jewel Shards have entered my body.\Kagome!\G-get away...\What can I do?!\Suffer... Inuyasha.\Get away!\Inuyasha! response:	How interesting.
context: The Shikon Jewel Shards have entered my body.\Kagome!\G-get away...\What can I do?!\Suffer... Inuyasha.\Get away!\Inuyasha!\How interesting. response:	How does it feel, Inuyasha?
context: Kagome!\G-get away...\What can I do?!\Suffer... Inuyasha.\Get away!\Inuyasha!\How interesting.\How does it feel, Inuyasha? response:	To, once again, have the woman you love aim an arrow at you.
context: G-get away...\What can I do?!\Suffer... Inuyasha.\Get away!\Inuyasha!\How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you. response:	Inuyasha!
context: What can I do?!\Suffer... Inuyasha.\Get away!\Inuyasha!\How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha! response:	K- Kikyo...
context: Suffer... Inuyasha.\Get away!\Inuyasha!\How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo... response:	Why you!
context: Get away!\Inuyasha!\How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo...\Why you! response:	Just like the time Kikyo shot and killed you...
context: Inuyasha!\How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you... response:	you can re-experience that moment 50 years ago,
context: How interesting.\How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago, response:	this time, through Kagome's hands.
context: How does it feel, Inuyasha?\To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands. response:	Feel the pain to the fullest, Inuyasha!
context: To, once again, have the woman you love aim an arrow at you.\Inuyasha!\K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha! response:	Damn! This is such a strong barrier.
