context: Kanna... response:	Tanigawa likes me?
context: Kanna...\Tanigawa likes me? response:	Yeah.
context: Kanna...\Tanigawa likes me?\Yeah. response:	Did Tanigawa ask you to tell me that?
context: Kanna...\Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that? response:	Nope.
context: Kanna...\Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that?\Nope. response:	I decided to tell you.
context: Kanna...\Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you. response:	Tanigawa-san likes Kaito-kun...
context: Kanna...\Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun... response:	What is Kaito-kun going to do?
context: Kanna...\Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do? response:	But Tanigawa-san didn't tell him herself...
context: Tanigawa likes me?\Yeah.\Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself... response:	I'll just have to act like nothing happened.
context: Yeah.\Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened. response:	Why did Ishigaki-kun tell Kaito-kun?
context: Did Tanigawa ask you to tell me that?\Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun? response:	Ah, I'm exhausted.
context: Nope.\I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted. response:	Oh, I didn't see you there.
context: I decided to tell you.\Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there. response:	You're building that stuff again?
context: Tanigawa-san likes Kaito-kun...\What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again? response:	And you're fighting with Satoshi-san again?
context: What is Kaito-kun going to do?\But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again? response:	Nope.
context: But Tanigawa-san didn't tell him herself...\I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope. response:	I was supposed to go on a trip with some friends from high school,
context: I'll just have to act like nothing happened.\Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school, response:	but everyone ended up being busy.
context: Why did Ishigaki-kun tell Kaito-kun?\Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy. response:	I see.
context: Ah, I'm exhausted.\Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see. response:	After I took the time to come back here...
context: Oh, I didn't see you there.\You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see.\After I took the time to come back here... response:	I see.
context: You're building that stuff again?\And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see.\After I took the time to come back here...\I see. response:	You're not very cheery.
context: And you're fighting with Satoshi-san again?\Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see.\After I took the time to come back here...\I see.\You're not very cheery. response:	Did you have a fight with Kanna-chan or something?
context: Nope.\I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see.\After I took the time to come back here...\I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something? response:	Why even mention Kanna?
context: I was supposed to go on a trip with some friends from high school,\but everyone ended up being busy.\I see.\After I took the time to come back here...\I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna? response:	What are you doing?!
context: but everyone ended up being busy.\I see.\After I took the time to come back here...\I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?! response:	I'll give you these.
context: I see.\After I took the time to come back here...\I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?!\I'll give you these. response:	Go have fun with everyone.
