context: My name is Jibril. response:	What can I do for you, new king and queen
context: My name is Jibril.\What can I do for you, new king and queen response:	of the Imanity, Sora-sama and Shiro-sama?
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama? response:	You know us?
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us? response:	That makes this easier, then.
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then. response:	I'll just tell you, then.
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then.\I'll just tell you, then. response:	I want this library.
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then.\I'll just tell you, then.\I want this library. response:	You want my library?
context: My name is Jibril.\What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then.\I'll just tell you, then.\I want this library.\You want my library? response:	That's so very sudden.
context: What can I do for you, new king and queen\of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then.\I'll just tell you, then.\I want this library.\You want my library?\That's so very sudden. response:	Steph, the Flugel were god-killing warriors, right?
context: of the Imanity, Sora-sama and Shiro-sama?\You know us?\That makes this easier, then.\I'll just tell you, then.\I want this library.\You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right? response:	Th-They're supposed to be!
context: You know us?\That makes this easier, then.\I'll just tell you, then.\I want this library.\You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be! response:	I must look like a pigeon that took a bean-gun to the face the visage.
context: That makes this easier, then.\I'll just tell you, then.\I want this library.\You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage. response:	Interesting
