context: It's Sanada and Sawako-chan. response:	See? Look.
context: It's Sanada and Sawako-chan.\See? Look. response:	Let's cheer her on.
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on. response:	It was the first time.
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on.\It was the first time. response:	Whether it wasn't...
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on.\It was the first time.\Whether it wasn't... response:	Or whether it was... I don't know.
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on.\It was the first time.\Whether it wasn't...\Or whether it was... I don't know. response:	But if I were to be allowed to have a wish come true,
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on.\It was the first time.\Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true, response:	I'd wish it was love.
context: It's Sanada and Sawako-chan.\See? Look.\Let's cheer her on.\It was the first time.\Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love. response:	I'd hope it was love.
context: See? Look.\Let's cheer her on.\It was the first time.\Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love. response:	I really, really would.
context: Let's cheer her on.\It was the first time.\Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love.\I really, really would. response:	Why?
context: It was the first time.\Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love.\I really, really would.\Why? response:	Why?
context: Whether it wasn't...\Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love.\I really, really would.\Why?\Why? response:	Oh well.
context: Or whether it was... I don't know.\But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love.\I really, really would.\Why?\Why?\Oh well. response:	Why?!
context: But if I were to be allowed to have a wish come true,\I'd wish it was love.\I'd hope it was love.\I really, really would.\Why?\Why?\Oh well.\Why?! response:	What?
context: I'd wish it was love.\I'd hope it was love.\I really, really would.\Why?\Why?\Oh well.\Why?!\What? response:	Kurumi? That rumor?
context: I'd hope it was love.\I really, really would.\Why?\Why?\Oh well.\Why?!\What?\Kurumi? That rumor? response:	Probably.
