context: High God. response:	We're going to the West Sea.
context: High God.\We're going to the West Sea. response:	The West Sea? Not Qing Qiu?
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu? response:	Not Qing Qiu. The West Sea. We must not delay.
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay. response:	We may lose a life if we are late.
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late. response:	High Goddess! High Goddess!
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess! response:	High Goddess!
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess! response:	High Goddess.
context: High God.\We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess!\High Goddess. response:	You said the young prince would wake up at midnight.
context: We're going to the West Sea.\The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess!\High Goddess.\You said the young prince would wake up at midnight. response:	It's past midnight. He doesn't seem to be waking up.
context: The West Sea? Not Qing Qiu?\Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess!\High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up. response:	Instead, his face is turning even redder.
context: Not Qing Qiu. The West Sea. We must not delay.\We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess!\High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder. response:	I was extremely anxious and could think of nothing else
context: We may lose a life if we are late.\High Goddess! High Goddess!\High Goddess!\High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else response:	so that's why I came to disturb you.
context: High Goddess! High Goddess!\High Goddess!\High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you. response:	When ordinary children drink fruit wine
context: High Goddess!\High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine response:	they do sleep until the middle of the night before waking.
context: High Goddess.\You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking. response:	It seems I've overestimated A-Li.
context: You said the young prince would wake up at midnight.\It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li. response:	He will probably sleep until tomorrow morning.
context: It's past midnight. He doesn't seem to be waking up.\Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning. response:	But look at how rosy his face is. That means the wine is wearing off.
context: Instead, his face is turning even redder.\I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off. response:	You don't need to worry.
context: I was extremely anxious and could think of nothing else\so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry. response:	Don't tell me you haven't slept at all since yesterday?
