context: Daichi! response:	Time to get up.
context: Daichi!\Time to get up. response:	Right...
context: Daichi!\Time to get up.\Right... response:	Why do I feel like I was just having a really important dream?
context: Daichi!\Time to get up.\Right...\Why do I feel like I was just having a really important dream? response:	It's no use. I can't remember.
context: Daichi!\Time to get up.\Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember. response:	Now it's going to bother me all day.
context: Daichi!\Time to get up.\Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day. response:	A Midsummer Night's Dream
context: Daichi!\Time to get up.\Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream response:	And summer break starts tomorrow...
context: Daichi!\Time to get up.\Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow... response:	I thought he quit the track team to focus on his studies...
context: Time to get up.\Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies... response:	Has he picked up any bad habits, like staying out late?
context: Right...\Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late? response:	No, nothing like that.
context: Why do I feel like I was just having a really important dream?\It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that. response:	I think there has to be some reason why his grades have fallen so much.
context: It's no use. I can't remember.\Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much. response:	I was going to say that I spent the whole time playing in my room,
context: Now it's going to bother me all day.\A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room, response:	but I didn't.
context: A Midsummer Night's Dream\And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't. response:	I didn't think it would help.
