context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god... response:	It made me worried instead.
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead. response:	Ye Hua, tell me.
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me. response:	Have you really fallen for Qing Qiu's Bai Qian
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian response:	or do you see her as that mortal?
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal? response:	Mother, you worry too much.
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much. response:	My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.
context: I've always hoped that you could forget what happened 300 years ago.\Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord. response:	I never saw her as anyone else.
context: Now that you've fallen for this high god...\It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else. response:	That's good.
context: It made me worried instead.\Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good. response:	Reasonably, as his side consort, you should greet this high god.
context: Ye Hua, tell me.\Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god. response:	I've been to visit her today
context: Have you really fallen for Qing Qiu's Bai Qian\or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today response:	but unfortunately, she's away in the Heaven's Spring
context: or do you see her as that mortal?\Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring response:	of the Realm of Supreme Purity.
context: Mother, you worry too much.\My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity. response:	I'll visit her again tomorrow morning.
context: My wife is Qing Qiu's Bai Qian as bestowed by Heavenly Lord.\I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning. response:	All right.
context: I never saw her as anyone else.\That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right. response:	- High God. - High God.
context: That's good.\Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right.\- High God. - High God. response:	Don't the both of you always serve by his side?
context: Reasonably, as his side consort, you should greet this high god.\I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right.\- High God. - High God.\Don't the both of you always serve by his side? response:	Why are you outside the hall today?
