context: Man, it's cold... response:	Dammit, this is needlessly lacy. It's so hard to wash.
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash. response:	Damn that conceited girl!
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl! response:	What is this?
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this? response:	It's the laundry that piled up
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this?\It's the laundry that piled up response:	while you were bedridden after doing something very stupid.
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid. response:	All this?!
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?! response:	Of course.
context: Man, it's cold...\Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?!\Of course. response:	You know...
context: Dammit, this is needlessly lacy. It's so hard to wash.\Damn that conceited girl!\What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?!\Of course.\You know... response:	What?
context: Damn that conceited girl!\What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?!\Of course.\You know...\What? response:	I heard from Siesta that, while I was hurt,
context: What is this?\It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?!\Of course.\You know...\What?\I heard from Siesta that, while I was hurt, response:	you looked over me without sleeping, Louise.
context: It's the laundry that piled up\while you were bedridden after doing something very stupid.\All this?!\Of course.\You know...\What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise. response:	So?
context: while you were bedridden after doing something very stupid.\All this?!\Of course.\You know...\What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So? response:	Well, now that I can, I'd like to say thanks.
context: All this?!\Of course.\You know...\What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks. response:	Thanks? Don't you have the wrong idea?
context: Of course.\You know...\What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea? response:	A master takes good care of her familiar as a matter of course.
context: You know...\What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course. response:	In the first place, a familiar should always have
