context: I am still sleepy. response:	Ah, I can't!
context: I am still sleepy.\Ah, I can't! response:	I have to clean the yard.
context: I am still sleepy.\Ah, I can't!\I have to clean the yard. response:	Still sleepy after all.
context: I am still sleepy.\Ah, I can't!\I have to clean the yard.\Still sleepy after all. response:	Can I help you?
context: I am still sleepy.\Ah, I can't!\I have to clean the yard.\Still sleepy after all.\Can I help you? response:	' Eriol-kun'' Good afternoon.
context: I am still sleepy.\Ah, I can't!\I have to clean the yard.\Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon. response:	Hello, are you returning home from shopping?
context: I am still sleepy.\Ah, I can't!\I have to clean the yard.\Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping? response:	Yes, I bought some ingredients for dinner tonight.
context: I am still sleepy.\Ah, I can't!\I have to clean the yard.\Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight. response:	Eriol, you cook your own meals?
context: Ah, I can't!\I have to clean the yard.\Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals? response:	So impressive
context: I have to clean the yard.\Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive response:	Sakura-san as well, I'm impressed to see
context: Still sleepy after all.\Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see response:	you taking care of the various chores around the house.
context: Can I help you?\' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house. response:	Allow me to assist?
context: ' Eriol-kun'' Good afternoon.\Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist? response:	It's not too good.
context: Hello, are you returning home from shopping?\Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist?\It's not too good. response:	There's no need to reserved.
context: Yes, I bought some ingredients for dinner tonight.\Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist?\It's not too good.\There's no need to reserved. response:	But if you return home late.
context: Eriol, you cook your own meals?\So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist?\It's not too good.\There's no need to reserved.\But if you return home late. response:	Won't your parents be worried?
context: So impressive\Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist?\It's not too good.\There's no need to reserved.\But if you return home late.\Won't your parents be worried? response:	It's alright.
context: Sakura-san as well, I'm impressed to see\you taking care of the various chores around the house.\Allow me to assist?\It's not too good.\There's no need to reserved.\But if you return home late.\Won't your parents be worried?\It's alright. response:	Thanks.
context: you taking care of the various chores around the house.\Allow me to assist?\It's not too good.\There's no need to reserved.\But if you return home late.\Won't your parents be worried?\It's alright.\Thanks. response:	Allow me. Should I set it over there?
context: Allow me to assist?\It's not too good.\There's no need to reserved.\But if you return home late.\Won't your parents be worried?\It's alright.\Thanks.\Allow me. Should I set it over there? response:	Yes. Thanks.
context: It's not too good.\There's no need to reserved.\But if you return home late.\Won't your parents be worried?\It's alright.\Thanks.\Allow me. Should I set it over there?\Yes. Thanks. response:	Are you all done?
context: There's no need to reserved.\But if you return home late.\Won't your parents be worried?\It's alright.\Thanks.\Allow me. Should I set it over there?\Yes. Thanks.\Are you all done? response:	Then let's go back to the front.
context: But if you return home late.\Won't your parents be worried?\It's alright.\Thanks.\Allow me. Should I set it over there?\Yes. Thanks.\Are you all done?\Then let's go back to the front. response:	' Thanks.' Sakura.
context: Won't your parents be worried?\It's alright.\Thanks.\Allow me. Should I set it over there?\Yes. Thanks.\Are you all done?\Then let's go back to the front.\' Thanks.' Sakura. response:	Dinner's ready!
context: It's alright.\Thanks.\Allow me. Should I set it over there?\Yes. Thanks.\Are you all done?\Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready! response:	Let me introduce you. This is my father.
context: Thanks.\Allow me. Should I set it over there?\Yes. Thanks.\Are you all done?\Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father. response:	He is a college professor.
context: Allow me. Should I set it over there?\Yes. Thanks.\Are you all done?\Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father.\He is a college professor. response:	Hiiragizawa Eriol.
context: Yes. Thanks.\Are you all done?\Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol. response:	He transferred to our school this September
context: Are you all done?\Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September response:	and we ended up in the same class.
context: Then let's go back to the front.\' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class. response:	I'm Hiiragizawa Eriol.
context: ' Thanks.' Sakura.\Dinner's ready!\Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol. response:	I'm Kinomoto Fujitaka.
context: Dinner's ready!\Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka. response:	He lives nearby too.
context: Let me introduce you. This is my father.\He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too. response:	He stopped by on his way home
context: He is a college professor.\Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home response:	to help me clean
context: Hiiragizawa Eriol.\He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home\to help me clean response:	Is that so.
context: He transferred to our school this September\and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home\to help me clean\Is that so. response:	Thank you.
context: and we ended up in the same class.\I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home\to help me clean\Is that so.\Thank you. response:	Not at all. That's right!
context: I'm Hiiragizawa Eriol.\I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home\to help me clean\Is that so.\Thank you.\Not at all. That's right! response:	Eriol, do you want to eat dinner with us
context: I'm Kinomoto Fujitaka.\He lives nearby too.\He stopped by on his way home\to help me clean\Is that so.\Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us response:	You helped me out with the cleaning after all.
context: He lives nearby too.\He stopped by on his way home\to help me clean\Is that so.\Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all. response:	Yes please.
context: He stopped by on his way home\to help me clean\Is that so.\Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please. response:	We have snacks inside as well.
context: to help me clean\Is that so.\Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well. response:	Thank you very much.
context: Is that so.\Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well.\Thank you very much. response:	I would very much like to eat dinner with you as well,
context: Thank you.\Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well, response:	but I have to return home and prepare dinner tonight'
