context: What Lies on the Opposite Shore response:	After the third day of the new year, my health was restored.
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored. response:	A few days passed since I came back home.
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home. response:	It feels strange.
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange. response:	Until the day before yesterday,
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange.\Until the day before yesterday, response:	it was... it was so...
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange.\Until the day before yesterday,\it was... it was so... response:	Hey!
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange.\Until the day before yesterday,\it was... it was so...\Hey! response:	It was so lively...
context: What Lies on the Opposite Shore\After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange.\Until the day before yesterday,\it was... it was so...\Hey!\It was so lively... response:	Huh?
context: After the third day of the new year, my health was restored.\A few days passed since I came back home.\It feels strange.\Until the day before yesterday,\it was... it was so...\Hey!\It was so lively...\Huh? response:	Has the air conditioner always been this loud?
context: A few days passed since I came back home.\It feels strange.\Until the day before yesterday,\it was... it was so...\Hey!\It was so lively...\Huh?\Has the air conditioner always been this loud? response:	Has the clock always been so noisy?
context: It feels strange.\Until the day before yesterday,\it was... it was so...\Hey!\It was so lively...\Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy? response:	Oh no...
context: Until the day before yesterday,\it was... it was so...\Hey!\It was so lively...\Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no... response:	Walk.
context: it was... it was so...\Hey!\It was so lively...\Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no...\Walk. response:	This is bad.
context: Hey!\It was so lively...\Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no...\Walk.\This is bad. response:	I know this feeling.
context: It was so lively...\Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no...\Walk.\This is bad.\I know this feeling. response:	But I can't meet eyes with it.
context: Huh?\Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no...\Walk.\This is bad.\I know this feeling.\But I can't meet eyes with it. response:	Walk.
context: Has the air conditioner always been this loud?\Has the clock always been so noisy?\Oh no...\Walk.\This is bad.\I know this feeling.\But I can't meet eyes with it.\Walk. response:	I know it, but I mustn't think that name.
context: Has the clock always been so noisy?\Oh no...\Walk.\This is bad.\I know this feeling.\But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name. response:	If I say that name,
context: Oh no...\Walk.\This is bad.\I know this feeling.\But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name.\If I say that name, response:	I'll be dealt a blow that tears up my insides.
context: Walk.\This is bad.\I know this feeling.\But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides. response:	Don't think.
context: This is bad.\I know this feeling.\But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think. response:	Walk.
context: I know this feeling.\But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think.\Walk. response:	2-e-Pawn.
context: But I can't meet eyes with it.\Walk.\I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think.\Walk.\2-e-Pawn. response:	8-h-Bishop+.
context: Walk.\I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think.\Walk.\2-e-Pawn.\8-h-Bishop+. response:	Same-Silver General.
