context: OP response:	ED
context: OP\ED response:	Butterfly Effect's
context: OP\ED\Butterfly Effect's response:	Di
context: OP\ED\Butterfly Effect's\Di response:	vergence
context: OP\ED\Butterfly Effect's\Di\vergence response:	Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)
context: OP\ED\Butterfly Effect's\Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed) response:	->
context: OP\ED\Butterfly Effect's\Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)\-> response:	Electricity
context: OP\ED\Butterfly Effect's\Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)\->\Electricity response:	While the electricity is sparking, send message to the phone Prerequisites to making the electricity appear? (time between 12:00 PM and 18:00 PM?) Number of characters that can be sent with a D-mail -> (12 half-width, 6 full-width) x3 You can control the time the Phone Microwave (name subject to change) sends a message back. One second on the timer = One hour in reality At the same time, anything placed into the Phone Microwave becomes a jellyman (teleportation confirmed, as well)
context: ED\Butterfly Effect's\Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)\->\Electricity\While the electricity is sparking, send message to the phone Prerequisites to making the electricity appear? (time between 12:00 PM and 18:00 PM?) Number of characters that can be sent with a D-mail -> (12 half-width, 6 full-width) x3 You can control the time the Phone Microwave (name subject to change) sends a message back. One second on the timer = One hour in reality At the same time, anything placed into the Phone Microwave becomes a jellyman (teleportation confirmed, as well) response:	Part B
context: Butterfly Effect's\Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)\->\Electricity\While the electricity is sparking, send message to the phone Prerequisites to making the electricity appear? (time between 12:00 PM and 18:00 PM?) Number of characters that can be sent with a D-mail -> (12 half-width, 6 full-width) x3 You can control the time the Phone Microwave (name subject to change) sends a message back. One second on the timer = One hour in reality At the same time, anything placed into the Phone Microwave becomes a jellyman (teleportation confirmed, as well)\Part B response:	suujuuoku mono kodou no kazu sae
context: Di\vergence\Send a modified command to the microwave's heading function (reverse spin) Open the microwave door while heating (Timing -> Unconfirmed)\->\Electricity\While the electricity is sparking, send message to the phone Prerequisites to making the electricity appear? (time between 12:00 PM and 18:00 PM?) Number of characters that can be sent with a D-mail -> (12 half-width, 6 full-width) x3 You can control the time the Phone Microwave (name subject to change) sends a message back. One second on the timer = One hour in reality At the same time, anything placed into the Phone Microwave becomes a jellyman (teleportation confirmed, as well)\Part B\suujuuoku mono kodou no kazu sae response:	anata ni wa matataki teido no saji na toukyuu
