context: Well, we somehow managed to stop the Dragon Chain Cannon. response:	We managed somehow once I rushed onto the scene!
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene! response:	What're you trying to prove?
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove? response:	By the way, you're heavy, Lucy.
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy. response:	I could see you being like, 0.05 tons.
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons. response:	Don't measure it in tons!
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons! response:	Oww!
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww! response:	Aye...
context: Well, we somehow managed to stop the Dragon Chain Cannon.\We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww!\Aye... response:	And why did you crash land when you were only carrying one person?
context: We managed somehow once I rushed onto the scene!\What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww!\Aye...\And why did you crash land when you were only carrying one person? response:	'Cause you're heavy, Lucy...
context: What're you trying to prove?\By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww!\Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy... response:	You just have to keep pushin' that, don't you?
context: By the way, you're heavy, Lucy.\I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww!\Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you? response:	Where's Erza?
context: I could see you being like, 0.05 tons.\Don't measure it in tons!\Oww!\Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza? response:	With the other Erza...
context: Don't measure it in tons!\Oww!\Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza... response:	Enemies?
context: Oww!\Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza...\Enemies? response:	Where?
context: Aye...\And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza...\Enemies?\Where? response:	Those Who Are Alive!
context: And why did you crash land when you were only carrying one person?\'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza...\Enemies?\Where?\Those Who Are Alive! response:	They just keep comin' out of the woodwork.
context: 'Cause you're heavy, Lucy...\You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza...\Enemies?\Where?\Those Who Are Alive!\They just keep comin' out of the woodwork. response:	Please stop, everyone!
context: You just have to keep pushin' that, don't you?\Where's Erza?\With the other Erza...\Enemies?\Where?\Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone! response:	I guess we have no choice.
context: Where's Erza?\With the other Erza...\Enemies?\Where?\Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice. response:	Bastards!
context: With the other Erza...\Enemies?\Where?\Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice.\Bastards! response:	Why?
context: Enemies?\Where?\Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice.\Bastards!\Why? response:	Why are they aiming at Happy and Carla?
context: Where?\Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice.\Bastards!\Why?\Why are they aiming at Happy and Carla? response:	We've turned most of the Exceeds that ran for it into lacrima!
context: Those Who Are Alive!\They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice.\Bastards!\Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima! response:	All that's left are those two.
context: They just keep comin' out of the woodwork.\Please stop, everyone!\I guess we have no choice.\Bastards!\Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two. response:	Now stand still, so we can turn you into our kingdom's magic power!
context: Please stop, everyone!\I guess we have no choice.\Bastards!\Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power! response:	So you don't give a damn what happens to the Exceed, if it's for your own magic power?
context: I guess we have no choice.\Bastards!\Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power? response:	Is that what the humans are like on this world?
context: Bastards!\Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world? response:	I ain't gonna let you hurt my friends, you filthy bastards!
context: Why?\Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards! response:	Save the Exceed!
context: Why are they aiming at Happy and Carla?\We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed! response:	I met Gajeel on my way here.
context: We've turned most of the Exceeds that ran for it into lacrima!\All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here. response:	Things have moved pretty far along.
context: All that's left are those two.\Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along. response:	Gajeel? You mean the informant?
context: Now stand still, so we can turn you into our kingdom's magic power!\So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant? response:	It's true that his info is always reliable, but...
context: So you don't give a damn what happens to the Exceed, if it's for your own magic power?\Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but... response:	The Kingdom is trying to sacrifice the Exceed, Earthland, and us,
context: Is that what the humans are like on this world?\I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us, response:	and make the entire world theirs to do as they please!
context: I ain't gonna let you hurt my friends, you filthy bastards!\Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please! response:	We can't let them get away with that, can we?
context: Save the Exceed!\I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we? response:	But the Royal Army has a huge amount of magic power...
context: I met Gajeel on my way here.\Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power... response:	Could we win if we fought them?
context: Things have moved pretty far along.\Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them? response:	Furthermore, the Royal Army has a number of very powerful foes.
context: Gajeel? You mean the informant?\It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes. response:	Do we even have a chance of winning against them?
context: It's true that his info is always reliable, but...\The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them? response:	Heaven's Wheel, Trinity Sword!
context: The Kingdom is trying to sacrifice the Exceed, Earthland, and us,\and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword! response:	Gravity Core!
context: and make the entire world theirs to do as they please!\We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core! response:	Blue Crimson!
context: We can't let them get away with that, can we?\But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson! response:	Requip!
context: But the Royal Army has a huge amount of magic power...\Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson!\Requip! response:	Venus Photon Slicer!
context: Could we win if we fought them?\Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson!\Requip!\Venus Photon Slicer! response:	Runesave!
context: Furthermore, the Royal Army has a number of very powerful foes.\Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson!\Requip!\Venus Photon Slicer!\Runesave! response:	She cut through the magic?
context: Do we even have a chance of winning against them?\Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson!\Requip!\Venus Photon Slicer!\Runesave!\She cut through the magic? response:	Silfarion!
context: Heaven's Wheel, Trinity Sword!\Gravity Core!\Blue Crimson!\Requip!\Venus Photon Slicer!\Runesave!\She cut through the magic?\Silfarion! response:	You're mine!
context: Gravity Core!\Blue Crimson!\Requip!\Venus Photon Slicer!\Runesave!\She cut through the magic?\Silfarion!\You're mine! response:	What?
context: Blue Crimson!\Requip!\Venus Photon Slicer!\Runesave!\She cut through the magic?\Silfarion!\You're mine!\What? response:	I propose that we wait until the battle between the Exceed and the Kingdom is over!
context: Requip!\Venus Photon Slicer!\Runesave!\She cut through the magic?\Silfarion!\You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over! response:	They'll both be tired out, and when we show up,
context: Venus Photon Slicer!\Runesave!\She cut through the magic?\Silfarion!\You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up, response:	we could take them both out! How about that?
context: Runesave!\She cut through the magic?\Silfarion!\You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that? response:	Well, that method might have merit.
context: She cut through the magic?\Silfarion!\You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit. response:	In other words, make the most of the opportunity.
context: Silfarion!\You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity. response:	Or, we could ally with the Kingdom.
context: You're mine!\What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom. response:	We put the Kingdom in our debt,
context: What?\I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt, response:	and get them to recognize us.
context: I propose that we wait until the battle between the Exceed and the Kingdom is over!\They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us. response:	That's right. This might be a chance to make up with the Kingdom.
context: They'll both be tired out, and when we show up,\we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom. response:	Way to go, Juvia-chan! You're so smart!
context: we could take them both out! How about that?\Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart! response:	Stay away!
context: Well, that method might have merit.\In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away! response:	I hate how you smother me!
context: In other words, make the most of the opportunity.\Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me! response:	That won't do.
context: Or, we could ally with the Kingdom.\We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me!\That won't do. response:	We should know better than anyone that the Kingdom isn't so weak!
context: We put the Kingdom in our debt,\and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak! response:	I think the same thing!
context: and get them to recognize us.\That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing! response:	Far from making up with them, I bet we'd be treated even worse than before!
context: That's right. This might be a chance to make up with the Kingdom.\Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before! response:	Droy's suggestion is also not possible.
context: Way to go, Juvia-chan! You're so smart!\Stay away!\I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible. response:	When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!
context: Stay away!\I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition! response:	They'll suppress anyone who opposes them, and we'll fall into a new dark age!
context: I hate how you smother me!\That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age! response:	We'll lose the one opening we have!
context: That won't do.\We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have! response:	This is no time for humans to be fighting with the Exceed!
context: We should know better than anyone that the Kingdom isn't so weak!\I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed! response:	You have no chance of winning!
context: I think the same thing!\Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning! response:	Everyone's suffering from lack of magic power...
context: Far from making up with them, I bet we'd be treated even worse than before!\Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power... response:	It's only natural for a king to tax his people.
