context: M-Mankanshoku! response:	Hey! How come the slacker's wearing a Goku Uniform?!
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?! response:	What's the meaning of this, Iori?!
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?! response:	Our top priority now is to bolster our forces.
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces. response:	The person with the greatest disparity in combat strength
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength response:	in and out of a Goku Uniform was Mankanshoku.
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku. response:	A highly logical decision.
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision. response:	Iori, I think you've set a new speed record for sewing.
context: M-Mankanshoku!\Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing. response:	Yes, because these will be my final Goku Uniforms!
context: Hey! How come the slacker's wearing a Goku Uniform?!\What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms! response:	I intend to empty out every last dresser drawer!
context: What's the meaning of this, Iori?!\Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer! response:	Well, we're busy.'Bye.
context: Our top priority now is to bolster our forces.\The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye. response:	Hey!
