context: This is where we part. response:	Goodbye, Ouma Shu.
context: This is where we part.\Goodbye, Ouma Shu. response:	This is why I can't leave you... to your own devices...
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices... response:	Gai...
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai... response:	A Void? That entire town?
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town? response:	Yes. Roppongi Fort is a phantasm given form by a single girl's heart.
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart. response:	Ouma Mana, I assume?
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume? response:	Here's the Void information I promised you.
context: This is where we part.\Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you. response:	Take it.
context: Goodbye, Ouma Shu.\This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you.\Take it. response:	I appreciate your cooperation.
context: This is why I can't leave you... to your own devices...\Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you.\Take it.\I appreciate your cooperation. response:	But the fare you paid only gets you this far.
context: Gai...\A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you.\Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far. response:	What a cold man.
context: A Void? That entire town?\Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you.\Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man. response:	Don't tell me you're...
context: Yes. Roppongi Fort is a phantasm given form by a single girl's heart.\Ouma Mana, I assume?\Here's the Void information I promised you.\Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're... response:	So you finally remember? You're as dense as ever...
context: Ouma Mana, I assume?\Here's the Void information I promised you.\Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever... response:	You're...
context: Here's the Void information I promised you.\Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever...\You're... response:	I'm yours
context: Take it.\I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever...\You're...\I'm yours response:	I'm yours
context: I appreciate your cooperation.\But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever...\You're...\I'm yours\I'm yours response:	I'm yours
context: But the fare you paid only gets you this far.\What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever...\You're...\I'm yours\I'm yours\I'm yours response:	and tries to hurt you with cruel words,
context: What a cold man.\Don't tell me you're...\So you finally remember? You're as dense as ever...\You're...\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words, response:	even if the world does not try to believe you
context: Don't tell me you're...\So you finally remember? You're as dense as ever...\You're...\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you response:	and places a crown of thorns upon your head,
context: So you finally remember? You're as dense as ever...\You're...\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head, response:	I can take your side, and yours alone
context: You're...\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone response:	I know your pain and loneliness
context: I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness response:	So everything that makes me whole
context: I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole response:	I'll give that to you now
context: I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now response:	So you finally show yourself... Daath grave keeper...
context: and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper... response:	Grave keeper?
context: even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper? response:	Shuichiro worked so hard that we decided to cooperate.
context: and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate. response:	Follow him... Shu...
context: I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu... response:	They plan to... sacrifice Inori... to awaken Mana!
context: I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana! response:	Mana?
context: So everything that makes me whole\I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana? response:	Where are you taking Inori?!
context: I'll give that to you now\So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?! response:	Shu!
context: So you finally show yourself... Daath grave keeper...\Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?!\Shu! response:	What's going on?
context: Grave keeper?\Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?!\Shu!\What's going on? response:	Inori!
context: Shuichiro worked so hard that we decided to cooperate.\Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?!\Shu!\What's going on?\Inori! response:	Ouma Shu, if you're that determined to come with us,
context: Follow him... Shu...\They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?!\Shu!\What's going on?\Inori!\Ouma Shu, if you're that determined to come with us, response:	please do so after you've remembered everything.
context: They plan to... sacrifice Inori... to awaken Mana!\Mana?\Where are you taking Inori?!\Shu!\What's going on?\Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything. response:	All the memories of Mana that you yourself sealed away...
context: Mana?\Where are you taking Inori?!\Shu!\What's going on?\Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away... response:	Shu. All set.
context: Where are you taking Inori?!\Shu!\What's going on?\Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set. response:	Open your eyes now, Shu.
context: Shu!\What's going on?\Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu. response:	This is amazing, Mana!
context: What's going on?\Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana! response:	Isn't it? This is your big sister's secret place.
context: Inori!\Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place. response:	You're the only one I'll tell.
context: Ouma Shu, if you're that determined to come with us,\please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell. response:	Huh? What's that?
context: please do so after you've remembered everything.\All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that? response:	Is he dead?
context: All the memories of Mana that you yourself sealed away...\Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that?\Is he dead? response:	Everything's okay!
context: Shu. All set.\Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that?\Is he dead?\Everything's okay! response:	Can you hear me?
context: Open your eyes now, Shu.\This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that?\Is he dead?\Everything's okay!\Can you hear me? response:	I'm Shu. Ouma Shu.
context: This is amazing, Mana!\Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that?\Is he dead?\Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu. response:	I'm Ouma Mana.
context: Isn't it? This is your big sister's secret place.\You're the only one I'll tell.\Huh? What's that?\Is he dead?\Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana. response:	And you are?
context: You're the only one I'll tell.\Huh? What's that?\Is he dead?\Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are? response:	Maybe he's not sure.
context: Huh? What's that?\Is he dead?\Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are?\Maybe he's not sure. response:	We're asking your name. Your name!
context: Is he dead?\Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are?\Maybe he's not sure.\We're asking your name. Your name! response:	Well...
context: Everything's okay!\Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are?\Maybe he's not sure.\We're asking your name. Your name!\Well... response:	Triton.
context: Can you hear me?\I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are?\Maybe he's not sure.\We're asking your name. Your name!\Well...\Triton. response:	You came from the sea. So you're Triton.
context: I'm Shu. Ouma Shu.\I'm Ouma Mana.\And you are?\Maybe he's not sure.\We're asking your name. Your name!\Well...\Triton.\You came from the sea. So you're Triton. response:	Isn't that a great name?
context: I'm Ouma Mana.\And you are?\Maybe he's not sure.\We're asking your name. Your name!\Well...\Triton.\You came from the sea. So you're Triton.\Isn't that a great name? response:	That's right... My big sister Mana and I met a boy that day.
context: And you are?\Maybe he's not sure.\We're asking your name. Your name!\Well...\Triton.\You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day. response:	That boy Mana called Triton...
context: Maybe he's not sure.\We're asking your name. Your name!\Well...\Triton.\You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton... response:	Gai.
context: We're asking your name. Your name!\Well...\Triton.\You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai. response:	And we spent a summer together.
