context: This is how you do swings! response:	I don't think so...
context: This is how you do swings!\I don't think so... response:	That dream made me nostalgic.
context: This is how you do swings!\I don't think so...\That dream made me nostalgic. response:	Yeah...
context: This is how you do swings!\I don't think so...\That dream made me nostalgic.\Yeah... response:	Suna looked cool,
context: This is how you do swings!\I don't think so...\That dream made me nostalgic.\Yeah...\Suna looked cool, response:	even on a swing.
context: This is how you do swings!\I don't think so...\That dream made me nostalgic.\Yeah...\Suna looked cool,\even on a swing. response:	I'm going home.
context: This is how you do swings!\I don't think so...\That dream made me nostalgic.\Yeah...\Suna looked cool,\even on a swing.\I'm going home. response:	What, you don't need to hold back.
context: This is how you do swings!\I don't think so...\That dream made me nostalgic.\Yeah...\Suna looked cool,\even on a swing.\I'm going home.\What, you don't need to hold back. response:	Yamato may have made enough for you, too.
context: I don't think so...\That dream made me nostalgic.\Yeah...\Suna looked cool,\even on a swing.\I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too. response:	It's okay.
context: That dream made me nostalgic.\Yeah...\Suna looked cool,\even on a swing.\I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay. response:	I have something I need to do.
context: Yeah...\Suna looked cool,\even on a swing.\I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay.\I have something I need to do. response:	Oh...
context: Suna looked cool,\even on a swing.\I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay.\I have something I need to do.\Oh... response:	Yeah, later.
context: even on a swing.\I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay.\I have something I need to do.\Oh...\Yeah, later. response:	Something, huh?
context: I'm going home.\What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay.\I have something I need to do.\Oh...\Yeah, later.\Something, huh? response:	My Friend
context: What, you don't need to hold back.\Yamato may have made enough for you, too.\It's okay.\I have something I need to do.\Oh...\Yeah, later.\Something, huh?\My Friend response:	Takeo-kun!
context: Yamato may have made enough for you, too.\It's okay.\I have something I need to do.\Oh...\Yeah, later.\Something, huh?\My Friend\Takeo-kun! response:	Oh, where's Sunakawa-kun?
context: It's okay.\I have something I need to do.\Oh...\Yeah, later.\Something, huh?\My Friend\Takeo-kun!\Oh, where's Sunakawa-kun? response:	He said he had something to do.
context: I have something I need to do.\Oh...\Yeah, later.\Something, huh?\My Friend\Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do. response:	Oh, I see.
context: Oh...\Yeah, later.\Something, huh?\My Friend\Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see. response:	I only asked because you guys are always together.
context: Yeah, later.\Something, huh?\My Friend\Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see.\I only asked because you guys are always together. response:	Are we?
context: Something, huh?\My Friend\Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see.\I only asked because you guys are always together.\Are we? response:	Yeah!
context: My Friend\Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see.\I only asked because you guys are always together.\Are we?\Yeah! response:	I think we'll have some leftovers,
context: Takeo-kun!\Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see.\I only asked because you guys are always together.\Are we?\Yeah!\I think we'll have some leftovers, response:	so give them to him later, okay?
context: Oh, where's Sunakawa-kun?\He said he had something to do.\Oh, I see.\I only asked because you guys are always together.\Are we?\Yeah!\I think we'll have some leftovers,\so give them to him later, okay? response:	Oh, I remember these!
context: He said he had something to do.\Oh, I see.\I only asked because you guys are always together.\Are we?\Yeah!\I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these! response:	They're cake the kele, right?
context: Oh, I see.\I only asked because you guys are always together.\Are we?\Yeah!\I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right? response:	Almost!
context: I only asked because you guys are always together.\Are we?\Yeah!\I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right?\Almost! response:	They're cake sale.
context: Are we?\Yeah!\I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right?\Almost!\They're cake sale. response:	I made some star-shaped ones, too!
context: Yeah!\I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right?\Almost!\They're cake sale.\I made some star-shaped ones, too! response:	They're delicious.
context: I think we'll have some leftovers,\so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right?\Almost!\They're cake sale.\I made some star-shaped ones, too!\They're delicious. response:	They bring back happy memories.
context: so give them to him later, okay?\Oh, I remember these!\They're cake the kele, right?\Almost!\They're cake sale.\I made some star-shaped ones, too!\They're delicious.\They bring back happy memories. response:	Hey, Takeo-kun...
context: Oh, I remember these!\They're cake the kele, right?\Almost!\They're cake sale.\I made some star-shaped ones, too!\They're delicious.\They bring back happy memories.\Hey, Takeo-kun... response:	When's your birthday?
context: They're cake the kele, right?\Almost!\They're cake sale.\I made some star-shaped ones, too!\They're delicious.\They bring back happy memories.\Hey, Takeo-kun...\When's your birthday? response:	January 1st.
context: Almost!\They're cake sale.\I made some star-shaped ones, too!\They're delicious.\They bring back happy memories.\Hey, Takeo-kun...\When's your birthday?\January 1st. response:	Huh?
context: They're cake sale.\I made some star-shaped ones, too!\They're delicious.\They bring back happy memories.\Hey, Takeo-kun...\When's your birthday?\January 1st.\Huh? response:	That's amazing!
context: I made some star-shaped ones, too!\They're delicious.\They bring back happy memories.\Hey, Takeo-kun...\When's your birthday?\January 1st.\Huh?\That's amazing! response:	It's right in the middle of winter break,
context: They're delicious.\They bring back happy memories.\Hey, Takeo-kun...\When's your birthday?\January 1st.\Huh?\That's amazing!\It's right in the middle of winter break, response:	Yeah! Thanks! Yeah!
context: They bring back happy memories.\Hey, Takeo-kun...\When's your birthday?\January 1st.\Huh?\That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah! response:	Takeo! Happy New Year! Happy Birthday!
context: Hey, Takeo-kun...\When's your birthday?\January 1st.\Huh?\That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday! response:	but my friends always came all the way to our door to wish me happy birthday.
context: When's your birthday?\January 1st.\Huh?\That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday. response:	January 1st, huh?
context: January 1st.\Huh?\That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh? response:	I'll have to start making preparations!
context: Huh?\That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations! response:	New Year's Day, so there's mochi...
context: That's amazing!\It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi... response:	Mochi Cream Puffs Mochi Waffles Mochi Donuts
context: It's right in the middle of winter break,\Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts response:	There are mochi sweets, aren't there?
