context: Tsuritama Episode 9 response:	Striking Underwater
context: Tsuritama Episode 9\Striking Underwater response:	What is this?
context: Tsuritama Episode 9\Striking Underwater\What is this? response:	Amazing!
context: Tsuritama Episode 9\Striking Underwater\What is this?\Amazing! response:	I gotta take a pic!
context: Tsuritama Episode 9\Striking Underwater\What is this?\Amazing!\I gotta take a pic! response:	Me, too.
context: Tsuritama Episode 9\Striking Underwater\What is this?\Amazing!\I gotta take a pic!\Me, too. response:	Hai, yoisho!
context: Tsuritama Episode 9\Striking Underwater\What is this?\Amazing!\I gotta take a pic!\Me, too.\Hai, yoisho! response:	Haino, haino, haino.
context: Tsuritama Episode 9\Striking Underwater\What is this?\Amazing!\I gotta take a pic!\Me, too.\Hai, yoisho!\Haino, haino, haino. response:	Haino, yoishona.
context: Striking Underwater\What is this?\Amazing!\I gotta take a pic!\Me, too.\Hai, yoisho!\Haino, haino, haino.\Haino, yoishona. response:	Men!
context: What is this?\Amazing!\I gotta take a pic!\Me, too.\Hai, yoisho!\Haino, haino, haino.\Haino, yoishona.\Men! response:	The water is a weapon.
context: Amazing!\I gotta take a pic!\Me, too.\Hai, yoisho!\Haino, haino, haino.\Haino, yoishona.\Men!\The water is a weapon. response:	There must be no more victims.
context: I gotta take a pic!\Me, too.\Hai, yoisho!\Haino, haino, haino.\Haino, yoishona.\Men!\The water is a weapon.\There must be no more victims. response:	And capture JF1 quickly.
context: Me, too.\Hai, yoisho!\Haino, haino, haino.\Haino, yoishona.\Men!\The water is a weapon.\There must be no more victims.\And capture JF1 quickly. response:	Duck!
context: Hai, yoisho!\Haino, haino, haino.\Haino, yoishona.\Men!\The water is a weapon.\There must be no more victims.\And capture JF1 quickly.\Duck! response:	Duck!
context: Haino, haino, haino.\Haino, yoishona.\Men!\The water is a weapon.\There must be no more victims.\And capture JF1 quickly.\Duck!\Duck! response:	Get up...
context: Haino, yoishona.\Men!\The water is a weapon.\There must be no more victims.\And capture JF1 quickly.\Duck!\Duck!\Get up... response:	Huh?
context: Men!\The water is a weapon.\There must be no more victims.\And capture JF1 quickly.\Duck!\Duck!\Get up...\Huh? response:	Grandma, have you seen Haru?
