context: Bastard... response:	Son of a bitch, this ain't funny.
context: Bastard...\Son of a bitch, this ain't funny. response:	You?!
context: Bastard...\Son of a bitch, this ain't funny.\You?! response:	How dare you fool me, Rapowant?!
context: Bastard...\Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?! response:	Byro...
context: Bastard...\Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?!\Byro... response:	Natsu! Thank goodness you're safe!
context: Bastard...\Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe! response:	Naturally!
context: Bastard...\Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe!\Naturally! response:	You think I'd be done in by the likes of these chumps?!
context: Bastard...\Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?! response:	Wendy, treat the cardinal.
context: Son of a bitch, this ain't funny.\You?!\How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal. response:	Right!
context: You?!\How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right! response:	This person is a cardinal?
context: How dare you fool me, Rapowant?!\Byro...\Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right!\This person is a cardinal? response:	Unbelievable...
context: Byro...\Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right!\This person is a cardinal?\Unbelievable... response:	You even dare break into this holy sanctuary? I've never seen a more insolent guild...
context: Natsu! Thank goodness you're safe!\Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right!\This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild... response:	Byro...
context: Naturally!\You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right!\This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro... response:	Bastard...
context: You think I'd be done in by the likes of these chumps?!\Wendy, treat the cardinal.\Right!\This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard... response:	No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.
context: Wendy, treat the cardinal.\Right!\This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare. response:	This world is going to end.
context: Right!\This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end. response:	The great power behind the establishment of Zentopia,
context: This person is a cardinal?\Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia, response:	its source is the Infinity Clock...
context: Unbelievable...\You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock... response:	Long ago, it was called the Infinity Castle.
context: You even dare break into this holy sanctuary? I've never seen a more insolent guild...\Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle. response:	Infinity Castle?
context: Byro...\Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle? response:	During the upcoming anniversary event that's held once every 100 years,
context: Bastard...\No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years, response:	the Infinity Castle will release all of the magic it's accumulated.
context: No matter how desperately you maggots struggle, you won't be able to stop Real Nightmare.\This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated. response:	100 years' worth of magic.
context: This world is going to end.\The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic. response:	There is no way to fight against it.
context: The great power behind the establishment of Zentopia,\its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it. response:	Why are you doing this?!
context: its source is the Infinity Clock...\Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?! response:	To return this world to chaos.
context: Long ago, it was called the Infinity Castle.\Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?!\To return this world to chaos. response:	There's no other reason than that.
context: Infinity Castle?\During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?!\To return this world to chaos.\There's no other reason than that. response:	If I control Real Nightmare,
context: During the upcoming anniversary event that's held once every 100 years,\the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?!\To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare, response:	I can return the world to the state of chaos it was in prior to the founding of Zentopia.
context: the Infinity Castle will release all of the magic it's accumulated.\100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?!\To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia. response:	The time has come for people to unleash the malice and desires they've kept sealed deep inside.
