context: The Unmovable Sovereign, Ozen the Immovable. response:	This irredeemable lesson of hers is a trial before setting off anew...
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew... response:	It is survival training to help these children stay alive as they make their way through the world of the Abyss.
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss. response:	Spend ten days here with the equipment you've got. Show me you're able to survive.
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive. response:	Be sure not to go beyond that Pillar Tree.
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree. response:	I'll consider that as trying to escape.
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape. response:	Well then, I'm heading back now.
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now. response:	Huh?!
context: The Unmovable Sovereign, Ozen the Immovable.\This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?! response:	Do your best to protect this girl so that she doesn't return to being a corpse.
context: This irredeemable lesson of hers is a trial before setting off anew...\It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse. response:	In addition, you can't use that thing for these ten days.
context: It is survival training to help these children stay alive as they make their way through the world of the Abyss.\Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days. response:	My Incinerator?
context: Spend ten days here with the equipment you've got. Show me you're able to survive.\Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator? response:	Go ahead and use it if you want to get Riko killed.
context: Be sure not to go beyond that Pillar Tree.\I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed. response:	What do you mean?
