context: Oh, it's a shooting star! response:	Onii-chan, I saw another shooting star!
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star! response:	You should make a wish next time.
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time. response:	A wish?
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish? response:	Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky. response:	If you make a wish when you see one, God will listen to it.
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it. response:	Really? I have a lot of wishes!
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes! response:	I want to become a nurse and go to outer space!
context: Oh, it's a shooting star!\Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space! response:	There's no point in telling your Onii-chan.
context: Onii-chan, I saw another shooting star!\You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan. response:	You have to tell the star what your wish is.
context: You should make a wish next time.\A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is. response:	Oh, I see.
context: A wish?\Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see. response:	Um... Star-sama, Star-sama...
context: Yeah. A shooting star is the light that escapes whenever God opens the lid to the sky.\If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama... response:	Oh, I saw one!
context: If you make a wish when you see one, God will listen to it.\Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one! response:	Hey!
context: Really? I have a lot of wishes!\I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one!\Hey! response:	Turn it off already!
context: I want to become a nurse and go to outer space!\There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one!\Hey!\Turn it off already! response:	Okay.
context: There's no point in telling your Onii-chan.\You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one!\Hey!\Turn it off already!\Okay. response:	Ladies and gentlemen, I apologize for the disturbance!
context: You have to tell the star what your wish is.\Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one!\Hey!\Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance! response:	Apologize to them, too!
context: Oh, I see.\Um... Star-sama, Star-sama...\Oh, I saw one!\Hey!\Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too! response:	I-I'm sorry.
context: Um... Star-sama, Star-sama...\Oh, I saw one!\Hey!\Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry. response:	You can finish this later. Let's go!
context: Oh, I saw one!\Hey!\Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go! response:	Okay.
