context: I'm going to win. response:	Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost. response:	Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost. response:	Hey, wait a sec!
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec! response:	I thought your whole deal was that Steel Lady Nanase was not a ghost.
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost. response:	If we can't crush the unreasonable with reason,
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason, response:	we'll just have to be unreasonable, as well.
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason,\we'll just have to be unreasonable, as well. response:	We'll use that as our way in and establish reason from within.
context: I'm going to win.\Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason,\we'll just have to be unreasonable, as well.\We'll use that as our way in and establish reason from within. response:	If we can convince them of a reason for a ghost to appear,
context: Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason,\we'll just have to be unreasonable, as well.\We'll use that as our way in and establish reason from within.\If we can convince them of a reason for a ghost to appear, response:	we will inevitably find the way to make that ghost disappear.
context: Name: kuebiko Name: kuebiko 09/04 22:50 ID Steel Lady Nanase isn't made up. She's a real ghost.\Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason,\we'll just have to be unreasonable, as well.\We'll use that as our way in and establish reason from within.\If we can convince them of a reason for a ghost to appear,\we will inevitably find the way to make that ghost disappear. response:	If we take away the reason for it to appear, a ghost will stop appearing.
context: Hey, wait a sec!\I thought your whole deal was that Steel Lady Nanase was not a ghost.\If we can't crush the unreasonable with reason,\we'll just have to be unreasonable, as well.\We'll use that as our way in and establish reason from within.\If we can convince them of a reason for a ghost to appear,\we will inevitably find the way to make that ghost disappear.\If we take away the reason for it to appear, a ghost will stop appearing. response:	Now, let's begin
