context: Brr... response:	H- hurry it up! Are you trying to freeze me to death!?
context: Brr...\H- hurry it up! Are you trying to freeze me to death!? response:	You can't ask us to do that.
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that. response:	He's right. If we melt it too fast, this whole cave could collapse.
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse. response:	I get it! I get it already, so just hurry it up!
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up! response:	Ah, man! I'm sure this cold is no good for my skin!
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin! response:	If my beauty is ruined because of this, it would be a serious loss for the universe,
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe, response:	wouldn't it, Zarkuro- san?
context: Brr...\H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san? response:	Huh? Where could he have gone?
context: H- hurry it up! Are you trying to freeze me to death!?\You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone? response:	Bulma- san, just a little more.
context: You can't ask us to do that.\He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more. response:	We did it! The sixth one!
context: He's right. If we melt it too fast, this whole cave could collapse.\I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one! response:	One more to go!
context: I get it! I get it already, so just hurry it up!\Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one!\One more to go! response:	Hooray! Hooray!
context: Ah, man! I'm sure this cold is no good for my skin!\If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one!\One more to go!\Hooray! Hooray! response:	Hooray! Hooray!
context: If my beauty is ruined because of this, it would be a serious loss for the universe,\wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one!\One more to go!\Hooray! Hooray!\Hooray! Hooray! response:	What?
context: wouldn't it, Zarkuro- san?\Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one!\One more to go!\Hooray! Hooray!\Hooray! Hooray!\What? response:	What is this!? I thought you were going to keep this from happening!
context: Huh? Where could he have gone?\Bulma- san, just a little more.\We did it! The sixth one!\One more to go!\Hooray! Hooray!\Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening! response:	If you're going to complain, tell us later! Let's just hurry!
context: Bulma- san, just a little more.\We did it! The sixth one!\One more to go!\Hooray! Hooray!\Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry! response:	Kuririn, do something, quick!
context: We did it! The sixth one!\One more to go!\Hooray! Hooray!\Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick! response:	Wah! Oh no!
context: One more to go!\Hooray! Hooray!\Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no! response:	Left! Left! Go left!
context: Hooray! Hooray!\Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left! response:	All right!
context: Hooray! Hooray!\What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left!\All right! response:	Ho, ho, not bad.
context: What?\What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left!\All right!\Ho, ho, not bad. response:	But they're finished now.
context: What is this!? I thought you were going to keep this from happening!\If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left!\All right!\Ho, ho, not bad.\But they're finished now. response:	I guess we can relax now.
context: If you're going to complain, tell us later! Let's just hurry!\Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left!\All right!\Ho, ho, not bad.\But they're finished now.\I guess we can relax now. response:	This is no time to relax!
context: Kuririn, do something, quick!\Wah! Oh no!\Left! Left! Go left!\All right!\Ho, ho, not bad.\But they're finished now.\I guess we can relax now.\This is no time to relax! response:	Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.
context: Wah! Oh no!\Left! Left! Go left!\All right!\Ho, ho, not bad.\But they're finished now.\I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it. response:	As busted up as this high-quality rubber protector is,
context: Left! Left! Go left!\All right!\Ho, ho, not bad.\But they're finished now.\I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is, response:	I'm surprised you came back to us safely.
context: All right!\Ho, ho, not bad.\But they're finished now.\I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely. response:	It would take quite a lot for it to end up like this.
context: Ho, ho, not bad.\But they're finished now.\I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this. response:	What in the world happened to you on that planet Earth?
context: But they're finished now.\I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth? response:	Is Freeza- sama around?
context: I guess we can relax now.\This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around? response:	N- no, he has departed.
context: This is no time to relax!\Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed. response:	He's already gotten tired of this planet, huh?
context: Vegeta- sama, as powerful as you are, you sure must have had a hard time of it.\As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh? response:	Um... Kewie- sama...
context: As busted up as this high-quality rubber protector is,\I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama... response:	and that you were to come to the training room when your treatment was finished.
context: I'm surprised you came back to us safely.\It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished. response:	B- but...
context: It would take quite a lot for it to end up like this.\What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but... response:	Vegeta- sama... um... you've forgotten your Scouter.
context: What in the world happened to you on that planet Earth?\Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter. response:	I don't need that thing. You can have it.
context: Is Freeza- sama around?\N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it. response:	It's no good... I ain't able to control my power at all...
context: N- no, he has departed.\He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all... response:	Damn...
context: He's already gotten tired of this planet, huh?\Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn... response:	I've had it.
context: Um... Kewie- sama...\and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn...\I've had it. response:	I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.
context: and that you were to come to the training room when your treatment was finished.\B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama. response:	Hurry up and do something!
context: B- but...\Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something! response:	Gohan, up there!
context: Vegeta- sama... um... you've forgotten your Scouter.\I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there! response:	Right, understood!
context: I don't need that thing. You can have it.\It's no good... I ain't able to control my power at all...\Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there!\Right, understood! response:	An outlet?
context: It's no good... I ain't able to control my power at all...\Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there!\Right, understood!\An outlet? response:	Lucky! There's an outlet!
context: Damn...\I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there!\Right, understood!\An outlet?\Lucky! There's an outlet! response:	I see an outlet!
context: I've had it.\I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there!\Right, understood!\An outlet?\Lucky! There's an outlet!\I see an outlet! response:	You're right!
context: I ain't even able to perform the Kaio-ken like this, let alone a Genki Dama.\Hurry up and do something!\Gohan, up there!\Right, understood!\An outlet?\Lucky! There's an outlet!\I see an outlet!\You're right! response:	That was close.
