context: It's summer! response:	In preparation for the big event,
context: It's summer!\In preparation for the big event, response:	everyone's taking a breather and kicking back.
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back. response:	The young people of Biscotti
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti response:	got together for a summer training camp.
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp. response:	I really would've liked to go,
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp.\I really would've liked to go, response:	since Sink and Noir were there, too.
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too. response:	Meanwhile, what did we do in Galette
context: It's summer!\In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette response:	after welcoming our Hero, Nanami-chan?
context: In preparation for the big event,\everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan? response:	Galette is a territory blessed by the bounty of the sea.
context: everyone's taking a breather and kicking back.\The young people of Biscotti\got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea. response:	Galette Sword Style Record!
context: The young people of Biscotti\got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record! response:	The town today is peaceful as usual.
context: got together for a summer training camp.\I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual. response:	Noir is still in Biscotti, but...
context: I really would've liked to go,\since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but... response:	Sorry I'm late.
context: since Sink and Noir were there, too.\Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late. response:	All right, let's go eat!
context: Meanwhile, what did we do in Galette\after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat! response:	Our Hero, Nanami-chan, spends so much time with us.
