context: Water. response:	Earth.
context: Water.\Earth. response:	Fire.
context: Water.\Earth.\Fire. response:	Air.
context: Water.\Earth.\Fire.\Air. response:	Long ago, the four nations lived together in harmony.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony. response:	Then, everything changed when the Fire Nation attacked.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked. response:	Only the Avatar, master of all four elements, could stop them.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them. response:	But when the world needed him most, he vanished.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished. response:	A hundred years passed, and my brother and I discovered the new Avatar...
context: Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar... response:	And although his airbending skills are great.
context: Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great. response:	He has a lot to learn before he's ready to save anyone.
context: Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone. response:	But I believe Aang can save the world.
context: Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world. response:	The Earth Kingdom city of Omashu!
context: Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu! response:	I used to always come here to visit my friend, Bumi.
context: Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi. response:	Wow. We don't have cities like this in the South Pole.
context: But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole. response:	They have buildings here that don't melt!
context: A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt! response:	Well, let's go slow pokes! The real fun is inside the city!
context: And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city! response:	Wait, Aang! It could be dangerous if people find out you're the Avatar.
context: He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar. response:	You need a disguise.
context: But I believe Aang can save the world.\The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise. response:	So, what am I supposed to do? Grow a mustache?
context: The Earth Kingdom city of Omashu!\I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache? response:	Ohh, so itchy! How do you live in this stuff?
context: I used to always come here to visit my friend, Bumi.\Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff? response:	Great! Now you look just like my grandfather.
context: Wow. We don't have cities like this in the South Pole.\They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather. response:	Technically, Aang is 112 years old.
context: They have buildings here that don't melt!\Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old. response:	Now let's get to skippin', young whippersnappers! The big city awaits.
context: Well, let's go slow pokes! The real fun is inside the city!\Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits. response:	You guys are gonna love Omashu. The people here are the friendliest in the world.
context: Wait, Aang! It could be dangerous if people find out you're the Avatar.\You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world. response:	Rotten cabbages! What kind of slum do you think this is?
context: You need a disguise.\So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is? response:	Noo! My cabbages!
context: So, what am I supposed to do? Grow a mustache?\Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages! response:	Just keep smiling...
context: Ohh, so itchy! How do you live in this stuff?\Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages!\Just keep smiling... response:	State your business!
context: Great! Now you look just like my grandfather.\Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages!\Just keep smiling...\State your business! response:	My business is my business, young man, and none of yours!
context: Technically, Aang is 112 years old.\Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages!\Just keep smiling...\State your business!\My business is my business, young man, and none of yours! response:	I've got half a mind to bend you over my knee and paddle your backside!
context: Now let's get to skippin', young whippersnappers! The big city awaits.\You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages!\Just keep smiling...\State your business!\My business is my business, young man, and none of yours!\I've got half a mind to bend you over my knee and paddle your backside! response:	Settle down, old timer. Just tell me who you are.
context: You guys are gonna love Omashu. The people here are the friendliest in the world.\Rotten cabbages! What kind of slum do you think this is?\Noo! My cabbages!\Just keep smiling...\State your business!\My business is my business, young man, and none of yours!\I've got half a mind to bend you over my knee and paddle your backside!\Settle down, old timer. Just tell me who you are. response:	Name's Bonzu Pipinpadaloxicopolis, the Third, and these are my grandkids.
