context: Dear Mom... response:	The weather in Tokyo is cool, but hotter than the Tohoku region.
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region. response:	Today is the third day of the week-long training camp.
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp. response:	We're almost at the turning point.
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point. response:	Go!
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point.\Go! response:	It's hot!
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point.\Go!\It's hot! response:	No saying hot!
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point.\Go!\It's hot!\No saying hot! response:	It appears that everyone is nearly exhausted.
context: Dear Mom...\The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point.\Go!\It's hot!\No saying hot!\It appears that everyone is nearly exhausted. response:	It has also been three weeks since Hinata and Kageyama-kun's argument.
context: The weather in Tokyo is cool, but hotter than the Tohoku region.\Today is the third day of the week-long training camp.\We're almost at the turning point.\Go!\It's hot!\No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument. response:	Here.
context: Today is the third day of the week-long training camp.\We're almost at the turning point.\Go!\It's hot!\No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here. response:	Here.
context: We're almost at the turning point.\Go!\It's hot!\No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here. response:	Thanks.
context: Go!\It's hot!\No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here.\Thanks. response:	Thank you!
context: It's hot!\No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here.\Thanks.\Thank you! response:	Even though they're practicing together, they still aren't talking.
context: No saying hot!\It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here.\Thanks.\Thank you!\Even though they're practicing together, they still aren't talking. response:	All right!
context: It appears that everyone is nearly exhausted.\It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here.\Thanks.\Thank you!\Even though they're practicing together, they still aren't talking.\All right! response:	Service ace!
context: It has also been three weeks since Hinata and Kageyama-kun's argument.\Here.\Here.\Thanks.\Thank you!\Even though they're practicing together, they still aren't talking.\All right!\Service ace! response:	It's gradual, but it looks like they're making fewer mistakes.
context: Here.\Here.\Thanks.\Thank you!\Even though they're practicing together, they still aren't talking.\All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes. response:	Fukurodani Karasuno
context: Here.\Thanks.\Thank you!\Even though they're practicing together, they still aren't talking.\All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno response:	And they narrow the point gap with every set they play.
context: Thanks.\Thank you!\Even though they're practicing together, they still aren't talking.\All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play. response:	I am surprised every day by their progress.
context: Thank you!\Even though they're practicing together, they still aren't talking.\All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress. response:	I was worried about Tsukishima-kun, who seemed down,
context: Even though they're practicing together, they still aren't talking.\All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down, response:	but apparently that's just how he usually looks.
