context: Father was hopping mad, you know. response:	I didn't do anything!
context: Father was hopping mad, you know.\I didn't do anything! response:	After what those guys said about you.
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you. response:	Ayato, do you understand why Father's forbidden you to fight?
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight? response:	You have tremendous power.
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power. response:	But excessive power can end up hurting not just others...
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others... response:	but you yourself as well, Ayato.
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato. response:	I don't get it.
context: Father was hopping mad, you know.\I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it. response:	At any rate, you're still too young, Ayato.
context: I didn't do anything!\After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato. response:	Then when can I start?
context: After what those guys said about you.\Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start? response:	I guess when you find what it is that you're supposed to do, Ayato.
context: Ayato, do you understand why Father's forbidden you to fight?\You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato. response:	What I'm supposed to do?
context: You have tremendous power.\But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do? response:	Right. And that will probably be the day
context: But excessive power can end up hurting not just others...\but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day response:	that you decide how you're going to use that power.
context: but you yourself as well, Ayato.\I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power. response:	Have you already found what it is that you're supposed to do, Big Sister?
context: I don't get it.\At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister? response:	Of course.
context: At any rate, you're still too young, Ayato.\Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course. response:	What I'm supposed to do is protect you, Ayato.
context: Then when can I start?\I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato. response:	And for me, that's the most important thing of all.
context: I guess when you find what it is that you're supposed to do, Ayato.\What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all. response:	Then... Then I'm going to protect you, too, Big Sister!
context: What I'm supposed to do?\Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister! response:	That will be my...
context: Right. And that will probably be the day\that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my... response:	Oh, that's right.
context: that you decide how you're going to use that power.\Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right. response:	Ser Veresta
context: Have you already found what it is that you're supposed to do, Big Sister?\Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right.\Ser Veresta response:	Hey, is that you, Julis?
context: Of course.\What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right.\Ser Veresta\Hey, is that you, Julis? response:	What a coincidence! Fancy meeting you here.
