context: The opening battle of the Union Fest response:	was the one-on-one between Ecle and myself.
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself. response:	Right now Biscotti has the lead in points.
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points. response:	it'll be the Princess versus Becky!
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky! response:	I'm going out to get some battle points.
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points. response:	Nanami, I'm counting on you, too!
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too! response:	Okay. I'll do my best.
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best. response:	One-On-One In The Skies and On Land
context: The opening battle of the Union Fest\was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land response:	Harlan and Pickle are ready for take off!
context: was the one-on-one between Ecle and myself.\Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off! response:	Front and rear safety check complete!
context: Right now Biscotti has the lead in points.\it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete! response:	Chief, Princess, we're ready.
context: it'll be the Princess versus Becky!\I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready. response:	Yes!
