context: Got tickets for the premier showing? response:	Nope. Radio Taikan was completely out.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out. response:	And it was over after only two shots at the raffle.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle. response:	I went for back-row seats from the start, too.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too. response:	It looked a lot easier based on the time and energy it would take.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take. response:	And there's Summer Comiket too.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too. response:	We'll need to save up the Perika.
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika. response:	Note: Currency in Kaiji
context: Got tickets for the premier showing?\Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji response:	Note: Famitsu points sytem, similar to Xbox live points
context: Nope. Radio Taikan was completely out.\And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points response:	Man, I have plenty of Gabasu...
context: And it was over after only two shots at the raffle.\I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu... response:	Kirino!
context: I went for back-row seats from the start, too.\It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino! response:	Let's go.
