context: Where... am I? response:	Are you the one who was calling me?
context: Where... am I?\Are you the one who was calling me? response:	Dammit... Not at a time like this!
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this! response:	That's right.
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this!\That's right. response:	That was the day when I...
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this!\That's right.\That was the day when I... response:	You...!
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this!\That's right.\That was the day when I...\You...! response:	Don't call me that.
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this!\That's right.\That was the day when I...\You...!\Don't call me that. response:	Avrora Florestina.
context: Where... am I?\Are you the one who was calling me?\Dammit... Not at a time like this!\That's right.\That was the day when I...\You...!\Don't call me that.\Avrora Florestina. response:	That is our name.
context: Are you the one who was calling me?\Dammit... Not at a time like this!\That's right.\That was the day when I...\You...!\Don't call me that.\Avrora Florestina.\That is our name. response:	Avrora...?
context: Dammit... Not at a time like this!\That's right.\That was the day when I...\You...!\Don't call me that.\Avrora Florestina.\That is our name.\Avrora...? response:	Nine months ago, on my way back from visiting Nagisa in the hospital...
context: That's right.\That was the day when I...\You...!\Don't call me that.\Avrora Florestina.\That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital... response:	I met her.
context: That was the day when I...\You...!\Don't call me that.\Avrora Florestina.\That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her. response:	The Twelfth Kaleid Blood.
context: You...!\Don't call me that.\Avrora Florestina.\That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood. response:	Avrora.
context: Don't call me that.\Avrora Florestina.\That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood.\Avrora. response:	Kojou!
context: Avrora Florestina.\That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood.\Avrora.\Kojou! response:	And then that happened.
context: That is our name.\Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood.\Avrora.\Kojou!\And then that happened. response:	The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.
context: Avrora...?\Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood.\Avrora.\Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora. response:	The Scorched Banquet.
context: Nine months ago, on my way back from visiting Nagisa in the hospital...\I met her.\The Twelfth Kaleid Blood.\Avrora.\Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet. response:	Senpai! Get a hold of yourself!
context: I met her.\The Twelfth Kaleid Blood.\Avrora.\Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself! response:	Senpai!
context: The Twelfth Kaleid Blood.\Avrora.\Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai! response:	What the hell is going on!?
context: Avrora.\Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!? response:	It's fast! A therianthrope?
context: Kojou!\And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!?\It's fast! A therianthrope? response:	It got ahead of us!
context: And then that happened.\The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us! response:	Run!
context: The event that caused me to awaken as the Fourth Primogenitor, and lose Avrora.\The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us!\Run! response:	You've got to be kidding me!
context: The Scorched Banquet.\Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us!\Run!\You've got to be kidding me! response:	Just shut up and run!
context: Senpai! Get a hold of yourself!\Senpai!\What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us!\Run!\You've got to be kidding me!\Just shut up and run! response:	What... the heck is this!?
context: Senpai!\What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us!\Run!\You've got to be kidding me!\Just shut up and run!\What... the heck is this!? response:	Mogwai, what's going on!?
context: What the hell is going on!?\It's fast! A therianthrope?\It got ahead of us!\Run!\You've got to be kidding me!\Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!? response:	It's exactly as it appears.
context: It's fast! A therianthrope?\It got ahead of us!\Run!\You've got to be kidding me!\Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears. response:	Demons all over Itogami Island collapsed all of a sudden,
