context: All done response:	Big Brother, breakfast is ready!
context: All done\Big Brother, breakfast is ready! response:	' Dad!' Good morning!
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning! response:	Good morning! What's that? Calendar?
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar? response:	A really old one'
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one' response:	That's right.
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one'\That's right. response:	Nadeshiko had it when she was still a model.
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one'\That's right.\Nadeshiko had it when she was still a model. response:	Say, is it alright if I keep this?
context: All done\Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one'\That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this? response:	Of course. Alright!
context: Big Brother, breakfast is ready!\' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one'\That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright! response:	Thanks!
context: ' Dad!' Good morning!\Good morning! What's that? Calendar?\A really old one'\That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright!\Thanks! response:	Breakfast is done so come down when you're ready!
context: Good morning! What's that? Calendar?\A really old one'\That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready! response:	What's it? That's Mother's'
context: A really old one'\That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's' response:	Yeah! Her calendar.
context: That's right.\Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar. response:	I found it while I was cleaning the room earlier.
context: Nadeshiko had it when she was still a model.\Say, is it alright if I keep this?\Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier. response:	Brother, your brithday is written here
context: Say, is it alright if I keep this?\Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here response:	It is written there because my birthday
context: Of course. Alright!\Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday response:	comes one every four years.
context: Thanks!\Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday\comes one every four years. response:	Years when his birthday wasn't written on calendars,
context: Breakfast is done so come down when you're ready!\What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday\comes one every four years.\Years when his birthday wasn't written on calendars, response:	mother used to big signs.
context: What's it? That's Mother's'\Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday\comes one every four years.\Years when his birthday wasn't written on calendars,\mother used to big signs. response:	My birthday is written here too!
context: Yeah! Her calendar.\I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday\comes one every four years.\Years when his birthday wasn't written on calendars,\mother used to big signs.\My birthday is written here too! response:	Thanks Mom.
context: I found it while I was cleaning the room earlier.\Brother, your brithday is written here\It is written there because my birthday\comes one every four years.\Years when his birthday wasn't written on calendars,\mother used to big signs.\My birthday is written here too!\Thanks Mom. response:	' Thanks for the meal.' I've to go too.
context: Brother, your brithday is written here\It is written there because my birthday\comes one every four years.\Years when his birthday wasn't written on calendars,\mother used to big signs.\My birthday is written here too!\Thanks Mom.\' Thanks for the meal.' I've to go too. response:	Goodbye.
