context: The Second Plate response:	Episode 12
context: The Second Plate\Episode 12 response:	Not a day goes by in Paris without someone
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone response:	mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S, response:	and now he's opening his first restaurant in Japan in Tokyo.
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo. response:	Gourmands have mounting expectations for Mr. Shinomiya's dishes,
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes, response:	as he is called the Magician of Legumes...
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes,\as he is called the Magician of Legumes... response:	Huh?
context: The Second Plate\Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes,\as he is called the Magician of Legumes...\Huh? response:	I barely get any sleep getting ready for the opening.
context: Episode 12\Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes,\as he is called the Magician of Legumes...\Huh?\I barely get any sleep getting ready for the opening. response:	That's exactly why Chef Dojima suggested sending over a student
context: Not a day goes by in Paris without someone\mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes,\as he is called the Magician of Legumes...\Huh?\I barely get any sleep getting ready for the opening.\That's exactly why Chef Dojima suggested sending over a student response:	to serve as your opening staff. It'd be mutually beneficial.
context: mentioning the name of Mr. Shinomiya Kojiro, the chef of SHINO'S,\and now he's opening his first restaurant in Japan in Tokyo.\Gourmands have mounting expectations for Mr. Shinomiya's dishes,\as he is called the Magician of Legumes...\Huh?\I barely get any sleep getting ready for the opening.\That's exactly why Chef Dojima suggested sending over a student\to serve as your opening staff. It'd be mutually beneficial. response:	Shinomiya Kojiro Chef, French Restaurant SHINO'S
