context: The four-year-olds and under aren't here? response:	I'm leaving them here.
context: The four-year-olds and under aren't here?\I'm leaving them here. response:	What you said to me before, I thought about it...
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it... response:	one more time.
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it...\one more time. response:	Everything's going smoothly for now. Everyone above five years old is on our side.
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side. response:	They were surprised, but I think everything will be okay.
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay. response:	Our next training is under way too.
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too. response:	Thanks.
context: The four-year-olds and under aren't here?\I'm leaving them here.\What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks. response:	So, what do we do next? Should we tell them?
context: I'm leaving them here.\What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them? response:	The kids four and under.
context: What you said to me before, I thought about it...\one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them?\The kids four and under. response:	Would they believe us?
context: one more time.\Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us? response:	And would they be able to hide it afterwards?
context: Everything's going smoothly for now. Everyone above five years old is on our side.\They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us?\And would they be able to hide it afterwards? response:	It's not just that.
context: They were surprised, but I think everything will be okay.\Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us?\And would they be able to hide it afterwards?\It's not just that. response:	I wonder if we can really take them.
context: Our next training is under way too.\Thanks.\So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us?\And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them. response:	It's not like I don't believe in Norman's plan.
context: Thanks.\So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us?\And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan. response:	But it's a cliff, it's winter, and Norman's not here.
context: So, what do we do next? Should we tell them?\The kids four and under.\Would they believe us?\And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here. response:	Even after we get out, there'll be unpredictable situations.
context: The kids four and under.\Would they believe us?\And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations. response:	I know it's a little late to say this, but maybe Ray's thinking is also correct.
context: Would they believe us?\And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct. response:	So you mean...
context: And would they be able to hide it afterwards?\It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean... response:	If we take them with us, we can't let them get killed.
context: It's not just that.\I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed. response:	But if we leave them here, they'll get shipped out.
context: I wonder if we can really take them.\It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out. response:	I know! I know that, but...
context: It's not like I don't believe in Norman's plan.\But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but... response:	Even still, I can't leave them.
context: But it's a cliff, it's winter, and Norman's not here.\Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them. response:	Ray's right. Gilda's right, too.
context: Even after we get out, there'll be unpredictable situations.\I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too. response:	But...
context: I know it's a little late to say this, but maybe Ray's thinking is also correct.\So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too.\But... response:	I don't want anyone to get shipped out anymore.
context: So you mean...\If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore. response:	Yeah.
context: If we take them with us, we can't let them get killed.\But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore.\Yeah. response:	I want to take my whole family.
context: But if we leave them here, they'll get shipped out.\I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family. response:	Let's escape with everyone.
context: I know! I know that, but...\Even still, I can't leave them.\Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family.\Let's escape with everyone. response:	Everyone...
context: Even still, I can't leave them.\Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family.\Let's escape with everyone.\Everyone... response:	What's wrong?
context: Ray's right. Gilda's right, too.\But...\I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family.\Let's escape with everyone.\Everyone...\What's wrong? response:	Well... um...
context: But...\I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family.\Let's escape with everyone.\Everyone...\What's wrong?\Well... um... response:	what about the kids in the other plants?
context: I don't want anyone to get shipped out anymore.\Yeah.\I want to take my whole family.\Let's escape with everyone.\Everyone...\What's wrong?\Well... um...\what about the kids in the other plants? response:	Is it fine for only us to escape?
context: Yeah.\I want to take my whole family.\Let's escape with everyone.\Everyone...\What's wrong?\Well... um...\what about the kids in the other plants?\Is it fine for only us to escape? response:	We've never seen them, but...
context: I want to take my whole family.\Let's escape with everyone.\Everyone...\What's wrong?\Well... um...\what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but... response:	they're next door to us, aren't they?
context: Let's escape with everyone.\Everyone...\What's wrong?\Well... um...\what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they? response:	Not knowing anything, just like us...
context: Everyone...\What's wrong?\Well... um...\what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us... response:	A family living happily...
context: What's wrong?\Well... um...\what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily... response:	Oh, um, I'm sorry.
context: Well... um...\what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry. response:	What should we do, Emma?
context: what about the kids in the other plants?\Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry.\What should we do, Emma? response:	That's right.
context: Is it fine for only us to escape?\We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry.\What should we do, Emma?\That's right. response:	After all...
