context: Inspection response:	Hurry up, stupid!
context: Inspection\Hurry up, stupid! response:	I don't care about crime prevention or whatever!
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever! response:	That has nothing to do with us!
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us! response:	Idiot! Stop shaking.
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking. response:	Wait!
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking.\Wait! response:	Run!
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking.\Wait!\Run! response:	Hey! Wait!
context: Inspection\Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking.\Wait!\Run!\Hey! Wait! response:	Don't look back!
context: Hurry up, stupid!\I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking.\Wait!\Run!\Hey! Wait!\Don't look back! response:	Number 95, Kuno, I presume.
context: I don't care about crime prevention or whatever!\That has nothing to do with us!\Idiot! Stop shaking.\Wait!\Run!\Hey! Wait!\Don't look back!\Number 95, Kuno, I presume. response:	What is this?
context: That has nothing to do with us!\Idiot! Stop shaking.\Wait!\Run!\Hey! Wait!\Don't look back!\Number 95, Kuno, I presume.\What is this? response:	The Blue Sekirei!
context: Idiot! Stop shaking.\Wait!\Run!\Hey! Wait!\Don't look back!\Number 95, Kuno, I presume.\What is this?\The Blue Sekirei! response:	What did you say?
context: Wait!\Run!\Hey! Wait!\Don't look back!\Number 95, Kuno, I presume.\What is this?\The Blue Sekirei!\What did you say? response:	Warning. If you go farther, what waits for you is...
context: Run!\Hey! Wait!\Don't look back!\Number 95, Kuno, I presume.\What is this?\The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is... response:	Haruka-sama, let's go back.
context: Hey! Wait!\Don't look back!\Number 95, Kuno, I presume.\What is this?\The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back. response:	Idiot! What are you saying? We've already come this far!
context: Don't look back!\Number 95, Kuno, I presume.\What is this?\The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far! response:	No! This person is bad!
