context: What'd you call me out here for? response:	I thought we could check answers, like we promised.
context: What'd you call me out here for?\I thought we could check answers, like we promised. response:	Did you find out what future course Yukino-chan picked?
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked? response:	I do know, yes...
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes... response:	But it wouldn't be fair for me to be the one to tell you.
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you. response:	Ah, how dutiful of you.
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you. response:	But I see... So she actually told you.
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you. response:	Yukino-chan really trusts you, huh?
context: What'd you call me out here for?\I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh? response:	I wouldn't call it trust...
context: I thought we could check answers, like we promised.\Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust... response:	I don't think that's what it is, in my case.
context: Did you find out what future course Yukino-chan picked?\I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case. response:	Oh, so you do realize it.
context: I do know, yes...\But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it. response:	You're right. It's not trust.
context: But it wouldn't be fair for me to be the one to tell you.\Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust. response:	It's something much more cruel...
context: Ah, how dutiful of you.\But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel... response:	Nothing's changed.
context: But I see... So she actually told you.\Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel...\Nothing's changed. response:	And she thinks it's fine that way.
context: Yukino-chan really trusts you, huh?\I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way. response:	That's part of what makes her so cute, but still...
context: I wouldn't call it trust...\I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still... response:	It's what I can't stand about her.
context: I don't think that's what it is, in my case.\Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her. response:	If it's not trust, then what is it?
context: Oh, so you do realize it.\You're right. It's not trust.\It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it? response:	Who can say?
context: You're right. It's not trust.\It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it?\Who can say? response:	But at the very least, I wouldn't call it the real thing.
context: It's something much more cruel...\Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing. response:	Those were your words, right?
context: Nothing's changed.\And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right? response:	Does that real thing even exist?
context: And she thinks it's fine that way.\That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist? response:	My Teen Romantic Comedy SNAFU TOO!
context: That's part of what makes her so cute, but still...\It's what I can't stand about her.\If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO! response:	Man...
context: It's what I can't stand about her.\If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man... response:	I wanna eat something sweet!
context: If it's not trust, then what is it?\Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet! response:	Know what I mean?
context: Who can say?\But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet!\Know what I mean? response:	Don't you wanna eat a little chocolate?
context: But at the very least, I wouldn't call it the real thing.\Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate? response:	Huh?
context: Those were your words, right?\Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate?\Huh? response:	Get it? A little chocolate?
context: Does that real thing even exist?\My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate? response:	Yeah, it's almost that time, isn't it?
context: My Teen Romantic Comedy SNAFU TOO!\Man...\I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it? response:	You'll be fine, Hayato-kun, but we're in big trouble.
context: Man...\I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble. response:	Yeah, but you know,
context: I wanna eat something sweet!\Know what I mean?\Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know, response:	Hayato-kun doesn't usually accept Valentine's chocolates.
context: Know what I mean?\Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates. response:	Seriously?
context: Don't you wanna eat a little chocolate?\Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously? response:	What a waste!
context: Huh?\Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste! response:	But it's kinda scary getting it from someone you don't know well, right?
context: Get it? A little chocolate?\Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right? response:	Well, yeah, giving handmade is kinda heavy...
context: Yeah, it's almost that time, isn't it?\You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy... response:	I can understand why he wouldn't accept those.
context: You'll be fine, Hayato-kun, but we're in big trouble.\Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those. response:	Heavy?
context: Yeah, but you know,\Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy? response:	That's true...
context: Hayato-kun doesn't usually accept Valentine's chocolates.\Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy?\That's true... response:	Just a little chocolate?
context: Seriously?\What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy?\That's true...\Just a little chocolate? response:	Handmade, huh...
context: What a waste!\But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy?\That's true...\Just a little chocolate?\Handmade, huh... response:	Why'd you leave first?
context: But it's kinda scary getting it from someone you don't know well, right?\Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy?\That's true...\Just a little chocolate?\Handmade, huh...\Why'd you leave first? response:	Wait, I never said I'd go with you.
context: Well, yeah, giving handmade is kinda heavy...\I can understand why he wouldn't accept those.\Heavy?\That's true...\Just a little chocolate?\Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you. response:	I thought you were waiting for me.
context: I can understand why he wouldn't accept those.\Heavy?\That's true...\Just a little chocolate?\Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me. response:	You stayed in the classroom for a while...
context: Heavy?\That's true...\Just a little chocolate?\Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while... response:	No, I was just checking out how Hayama and Miura were doing...
context: That's true...\Just a little chocolate?\Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing... response:	Oh... Yeah. I think they're okay now.
context: Just a little chocolate?\Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now. response:	That kinda thing is nice, isn't it?
context: Handmade, huh...\Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it? response:	It's like they really treasure what they have right now.
