context: No, I really did get a 32. response:	Then show me.
context: No, I really did get a 32.\Then show me. response:	Didn't we say we'd show our scores at the same time?
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time? response:	I showed you mine.
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine. response:	I told you, I got a 32...
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32... response:	Come on, show me.
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32...\Come on, show me. response:	No, really...
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32...\Come on, show me.\No, really... response:	When you think about it, it's a 32.
context: No, I really did get a 32.\Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32...\Come on, show me.\No, really...\When you think about it, it's a 32. response:	Why would I lie about such a real score?
context: Then show me.\Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32...\Come on, show me.\No, really...\When you think about it, it's a 32.\Why would I lie about such a real score? response:	About a 32...
context: Didn't we say we'd show our scores at the same time?\I showed you mine.\I told you, I got a 32...\Come on, show me.\No, really...\When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32... response:	Thirty-twelve.
context: I showed you mine.\I told you, I got a 32...\Come on, show me.\No, really...\When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32...\Thirty-twelve. response:	Thirty-two, you mean?
context: I told you, I got a 32...\Come on, show me.\No, really...\When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32...\Thirty-twelve.\Thirty-two, you mean? response:	Anyway, yeah...
context: Come on, show me.\No, really...\When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32...\Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah... response:	Let's leave it at that.
context: No, really...\When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32...\Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that. response:	All right, I guess I can't do anything about whether you'll show me or not.
context: When you think about it, it's a 32.\Why would I lie about such a real score?\About a 32...\Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not. response:	My score was bad this time too.
context: Why would I lie about such a real score?\About a 32...\Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too. response:	It's a bit shameless, but...
context: About a 32...\Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but... response:	I'll be taking a look!
context: Thirty-twelve.\Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look! response:	An Everyday
context: Thirty-two, you mean?\Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look!\An Everyday response:	Compliment
context: Anyway, yeah...\Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look!\An Everyday\Compliment response:	I couldn't even...
context: Let's leave it at that.\All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look!\An Everyday\Compliment\I couldn't even... response:	Um... um... this is... um...
context: All right, I guess I can't do anything about whether you'll show me or not.\My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look!\An Everyday\Compliment\I couldn't even...\Um... um... this is... um... response:	Yukko, as expected!
context: My score was bad this time too.\It's a bit shameless, but...\I'll be taking a look!\An Everyday\Compliment\I couldn't even...\Um... um... this is... um...\Yukko, as expected! response:	No, no, no, no, no... What I meant to say was, it's unexpected.
context: It's a bit shameless, but...\I'll be taking a look!\An Everyday\Compliment\I couldn't even...\Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected. response:	Look, you forgot about your homework the day before yesterday, right?
