context: In Use response:	Her injuries are minor,
context: In Use\Her injuries are minor, response:	so the pain should subside relatively quickly,
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly, response:	but she should avoid strenuous activities.
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities. response:	Yes, doctor.
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor. response:	Also, I noticed signs of malnutrition.
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition. response:	Malnutrition?
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition? response:	Do you know why that would be?
context: In Use\Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be? response:	No.
context: Her injuries are minor,\so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be?\No. response:	You'll have to withdraw from the tournament.
context: so the pain should subside relatively quickly,\but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be?\No.\You'll have to withdraw from the tournament. response:	They asked that you not participate
context: but she should avoid strenuous activities.\Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be?\No.\You'll have to withdraw from the tournament.\They asked that you not participate response:	because they can't be responsible for a minor getting hurt.
context: Yes, doctor.\Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be?\No.\You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt. response:	You've caused a lot of trouble for everyone.
context: Also, I noticed signs of malnutrition.\Malnutrition?\Do you know why that would be?\No.\You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone. response:	You need to take a step back.
context: Malnutrition?\Do you know why that would be?\No.\You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back. response:	Episode 8 Worrying and Racing Ahead
context: Do you know why that would be?\No.\You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead response:	You haven't been eating much lately.
context: No.\You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately. response:	What's going on?
context: You'll have to withdraw from the tournament.\They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on? response:	I'll never get in...
context: They asked that you not participate\because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on?\I'll never get in... response:	There's a weight limit,
context: because they can't be responsible for a minor getting hurt.\You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on?\I'll never get in...\There's a weight limit, response:	and they won't take anyone who's over it.
context: You've caused a lot of trouble for everyone.\You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on?\I'll never get in...\There's a weight limit,\and they won't take anyone who's over it. response:	At the equestrian school?
context: You need to take a step back.\Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on?\I'll never get in...\There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school? response:	Yes.
context: Episode 8 Worrying and Racing Ahead\You haven't been eating much lately.\What's going on?\I'll never get in...\There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school?\Yes. response:	What's the limit?
context: You haven't been eating much lately.\What's going on?\I'll never get in...\There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school?\Yes.\What's the limit? response:	Oh...
context: What's going on?\I'll never get in...\There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school?\Yes.\What's the limit?\Oh... response:	Even if I lose weight,
context: I'll never get in...\There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school?\Yes.\What's the limit?\Oh...\Even if I lose weight, response:	there's a parent interview.
context: There's a weight limit,\and they won't take anyone who's over it.\At the equestrian school?\Yes.\What's the limit?\Oh...\Even if I lose weight,\there's a parent interview. response:	And if I get any taller, it'll totally ruin my chances.
context: and they won't take anyone who's over it.\At the equestrian school?\Yes.\What's the limit?\Oh...\Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances. response:	When I called them,
context: At the equestrian school?\Yes.\What's the limit?\Oh...\Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them, response:	they were completely discouraging.
context: Yes.\What's the limit?\Oh...\Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging. response:	It's not my fault I'm tall!
context: What's the limit?\Oh...\Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging.\It's not my fault I'm tall! response:	I told you.
context: Oh...\Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging.\It's not my fault I'm tall!\I told you. response:	You got yourself here because
context: Even if I lose weight,\there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging.\It's not my fault I'm tall!\I told you.\You got yourself here because response:	you were stuck in your dream world, ignoring basic facts!
context: there's a parent interview.\And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging.\It's not my fault I'm tall!\I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts! response:	Hey...
context: And if I get any taller, it'll totally ruin my chances.\When I called them,\they were completely discouraging.\It's not my fault I'm tall!\I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey... response:	Can you see how naive you've been?
context: When I called them,\they were completely discouraging.\It's not my fault I'm tall!\I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been? response:	I'll pay for your education,
context: they were completely discouraging.\It's not my fault I'm tall!\I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been?\I'll pay for your education, response:	so study and go to university.
context: It's not my fault I'm tall!\I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been?\I'll pay for your education,\so study and go to university. response:	Once you have a career,
context: I told you.\You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been?\I'll pay for your education,\so study and go to university.\Once you have a career, response:	you can ride in your free time
context: You got yourself here because\you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been?\I'll pay for your education,\so study and go to university.\Once you have a career,\you can ride in your free time response:	Shut up, shut up, shut up!
