context: OP response:	ED
context: OP\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	Biscotti had a brief moment of peace.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace. response:	Our princess should have been enjoying peaceful days,
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days, response:	but war was suddenly declared!
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared! response:	That was a notice of a grand war wagering each country's treasured swords.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords. response:	Our princess, Sir Hero, and the knights prepare.
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare. response:	Our battle has begun!
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun! response:	To Becky: How are you doing?
context: Fansubbed by Ruri Subs\Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing? response:	The Day of War
context: Biscotti had a brief moment of peace.\Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing?\The Day of War response:	Sorry I haven't contacted you in a while.
context: Our princess should have been enjoying peaceful days,\but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while. response:	I'm doing great.
context: but war was suddenly declared!\That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while.\I'm doing great. response:	I'll be participating in a competition starting today and I'll win.
context: That was a notice of a grand war wagering each country's treasured swords.\Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win. response:	Send.
context: Our princess, Sir Hero, and the knights prepare.\Our battle has begun!\To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send. response:	That's right. Today is the great war between Biscotti and Galette.
context: Our battle has begun!\To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette. response:	Understood. Just be careful, and don't get hurt.
context: To Becky: How are you doing?\The Day of War\Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt. response:	All the best!
context: The Day of War\Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best! response:	I'm here because I've been summoned as a hero of Biscotti.
context: Sorry I haven't contacted you in a while.\I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti. response:	For the sake of the princess who summoned me,
context: I'm doing great.\I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me, response:	and for the sake of this country,
context: I'll be participating in a competition starting today and I'll win.\Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country, response:	I'll fight with everyone!
context: Send.\That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone! response:	I'll fight with the hope that everyone who participates will be able to keep smiling.
context: That's right. Today is the great war between Biscotti and Galette.\Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling. response:	Everyone!
context: Understood. Just be careful, and don't get hurt.\All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone! response:	Thank you for gathering here so early in the morning!
context: All the best!\I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning! response:	Today is the day of a great war with Galette. Did all of you have a good rest last night?
context: I'm here because I've been summoned as a hero of Biscotti.\For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night? response:	Did all of you have a good breakfast?
context: For the sake of the princess who summoned me,\and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast? response:	The normal participants will be divided into groups according to the Knights Army.
context: and for the sake of this country,\I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army. response:	The battlefield this time will be along the border between the two countries.
context: I'll fight with everyone!\I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries. response:	Our headquarters is located here in the Fortress of Sreize.
context: I'll fight with the hope that everyone who participates will be able to keep smiling.\Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize. response:	Basically, this place will be protected by the Knights Army garrison and the support team.
context: Everyone!\Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team. response:	The main force will march along the valley's sports zone from Chapel Hill.
context: Thank you for gathering here so early in the morning!\Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill. response:	Next, the second force will go through several kinds of challenges at the fastest speed.
context: Today is the day of a great war with Galette. Did all of you have a good rest last night?\Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed. response:	Right up to Galette's headquarters, the Fortress of Grana.
context: Did all of you have a good breakfast?\The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana. response:	This time it'll be a battle of expedition.
context: The normal participants will be divided into groups according to the Knights Army.\The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition. response:	We'll be advancing at a rapid pace.
context: The battlefield this time will be along the border between the two countries.\Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace. response:	Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,
context: Our headquarters is located here in the Fortress of Sreize.\Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form, response:	please get in touch with the rescue team immediately.
context: Basically, this place will be protected by the Knights Army garrison and the support team.\The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately. response:	All right, let's all get into groups!
context: The main force will march along the valley's sports zone from Chapel Hill.\Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups! response:	And... let's begin!
context: Next, the second force will go through several kinds of challenges at the fastest speed.\Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin! response:	Princess, please be careful.
context: Right up to Galette's headquarters, the Fortress of Grana.\This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin!\Princess, please be careful. response:	The same to you too, Senators.
context: This time it'll be a battle of expedition.\We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin!\Princess, please be careful.\The same to you too, Senators. response:	Please keep an eye on this place.
context: We'll be advancing at a rapid pace.\Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin!\Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place. response:	Chief, you be careful too!
context: Those who are not used to war, those who can't catch up, or those who have a sense of discomfort in any form,\please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin!\Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too! response:	It'll be fine.
context: please get in touch with the rescue team immediately.\All right, let's all get into groups!\And... let's begin!\Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too!\It'll be fine. response:	While I'm away, please help me follow up on searching for ways to send Sir Hero back home.
context: All right, let's all get into groups!\And... let's begin!\Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home. response:	Sure! Just leave it to us!
context: And... let's begin!\Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us! response:	We swear it on the pride of our research team!
context: Princess, please be careful.\The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team! response:	Your Highness, Chief.
context: The same to you too, Senators.\Please keep an eye on this place.\Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief. response:	It's about time. Please get prepared.
context: Please keep an eye on this place.\Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared. response:	All right!
context: Chief, you be careful too!\It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared.\All right! response:	It's finally time, Rico!
context: It'll be fine.\While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared.\All right!\It's finally time, Rico! response:	Right!
context: While I'm away, please help me follow up on searching for ways to send Sir Hero back home.\Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared.\All right!\It's finally time, Rico!\Right! response:	Have you prepared the strategy?
context: Sure! Just leave it to us!\We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared.\All right!\It's finally time, Rico!\Right!\Have you prepared the strategy? response:	Yes, there won't be a problem!
context: We swear it on the pride of our research team!\Your Highness, Chief.\It's about time. Please get prepared.\All right!\It's finally time, Rico!\Right!\Have you prepared the strategy?\Yes, there won't be a problem! response:	All right! This is Biscotti's territory, the front of Frianno Castle!
context: Your Highness, Chief.\It's about time. Please get prepared.\All right!\It's finally time, Rico!\Right!\Have you prepared the strategy?\Yes, there won't be a problem!\All right! This is Biscotti's territory, the front of Frianno Castle! response:	Starting today, the soldiers have begun their march to meet the great war with Galette!
context: It's about time. Please get prepared.\All right!\It's finally time, Rico!\Right!\Have you prepared the strategy?\Yes, there won't be a problem!\All right! This is Biscotti's territory, the front of Frianno Castle!\Starting today, the soldiers have begun their march to meet the great war with Galette! response:	Look at the number of soldiers!
