context: It's ok now. response:	I'm back to my old self.
context: It's ok now.\I'm back to my old self. response:	I know.
context: It's ok now.\I'm back to my old self.\I know. response:	I understand.
context: It's ok now.\I'm back to my old self.\I know.\I understand. response:	It's because of Shao Lan-kun that I cheered up.
context: It's ok now.\I'm back to my old self.\I know.\I understand.\It's because of Shao Lan-kun that I cheered up. response:	Good morning!
context: It's ok now.\I'm back to my old self.\I know.\I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning! response:	Good morning.
context: It's ok now.\I'm back to my old self.\I know.\I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning. response:	You're up early today.
context: It's ok now.\I'm back to my old self.\I know.\I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning.\You're up early today. response:	I just woke up.
context: I'm back to my old self.\I know.\I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning.\You're up early today.\I just woke up. response:	Would you like me to get the newspaper?
context: I know.\I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning.\You're up early today.\I just woke up.\Would you like me to get the newspaper? response:	Thanks.
context: I understand.\It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning.\You're up early today.\I just woke up.\Would you like me to get the newspaper?\Thanks. response:	I'm glad you've cheered up again.
context: It's because of Shao Lan-kun that I cheered up.\Good morning!\Good morning.\You're up early today.\I just woke up.\Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again. response:	You seemed a little sad recently.
context: Good morning!\Good morning.\You're up early today.\I just woke up.\Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently. response:	Did I seem strange?
context: Good morning.\You're up early today.\I just woke up.\Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange? response:	No' but I could tell.
context: You're up early today.\I just woke up.\Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange?\No' but I could tell. response:	I'm your father after all.
context: I just woke up.\Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange?\No' but I could tell.\I'm your father after all. response:	I'm really ok now.
context: Would you like me to get the newspaper?\Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange?\No' but I could tell.\I'm your father after all.\I'm really ok now. response:	Ok, let's have breakfast then.
context: Thanks.\I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange?\No' but I could tell.\I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then. response:	It's pancakes today!
context: I'm glad you've cheered up again.\You seemed a little sad recently.\Did I seem strange?\No' but I could tell.\I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today! response:	He has the day off today
context: You seemed a little sad recently.\Did I seem strange?\No' but I could tell.\I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today!\He has the day off today response:	and he's been really tired lately'
context: Did I seem strange?\No' but I could tell.\I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today!\He has the day off today\and he's been really tired lately' response:	so he won't mind sleeping in.
context: No' but I could tell.\I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today!\He has the day off today\and he's been really tired lately'\so he won't mind sleeping in. response:	I see.
context: I'm your father after all.\I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today!\He has the day off today\and he's been really tired lately'\so he won't mind sleeping in.\I see. response:	Ever since he gave all of his magic to Yukito,
context: I'm really ok now.\Ok, let's have breakfast then.\It's pancakes today!\He has the day off today\and he's been really tired lately'\so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito, response:	brother has been very tired all the time.
context: Ok, let's have breakfast then.\It's pancakes today!\He has the day off today\and he's been really tired lately'\so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time. response:	Will orange juice be ok?
context: It's pancakes today!\He has the day off today\and he's been really tired lately'\so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok? response:	Yes!
context: He has the day off today\and he's been really tired lately'\so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok?\Yes! response:	It's still a little cold
context: and he's been really tired lately'\so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok?\Yes!\It's still a little cold response:	but going to school early in the morning feels nice.
context: so he won't mind sleeping in.\I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok?\Yes!\It's still a little cold\but going to school early in the morning feels nice. response:	Yukito-san isn't here'
context: I see.\Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok?\Yes!\It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here' response:	This must be the first time I haven't seen him'
context: Ever since he gave all of his magic to Yukito,\brother has been very tired all the time.\Will orange juice be ok?\Yes!\It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him' response:	It would be very nice to see him'
context: brother has been very tired all the time.\Will orange juice be ok?\Yes!\It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him' response:	but not as heart-pounding as before'
context: Will orange juice be ok?\Yes!\It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before' response:	just nice.
context: Yes!\It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before'\just nice. response:	I'll have to thank Shao Lan-kun for helping me.
context: It's still a little cold\but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me. response:	I wonder what I could for for him?
context: but going to school early in the morning feels nice.\Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him? response:	There's going to be a festival?
context: Yukito-san isn't here'\This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival? response:	I should ask him to go with me
context: This must be the first time I haven't seen him'\It would be very nice to see him'\but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me response:	But he gets cold quickly'
context: It would be very nice to see him'\but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me\But he gets cold quickly' response:	That's it!
context: but not as heart-pounding as before'\just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me\But he gets cold quickly'\That's it! response:	Shao Lan-kun!
context: just nice.\I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me\But he gets cold quickly'\That's it!\Shao Lan-kun! response:	Good morning'
context: I'll have to thank Shao Lan-kun for helping me.\I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me\But he gets cold quickly'\That's it!\Shao Lan-kun!\Good morning' response:	Want to go to the festival?
context: I wonder what I could for for him?\There's going to be a festival?\I should ask him to go with me\But he gets cold quickly'\That's it!\Shao Lan-kun!\Good morning'\Want to go to the festival? response:	A festival!
context: There's going to be a festival?\I should ask him to go with me\But he gets cold quickly'\That's it!\Shao Lan-kun!\Good morning'\Want to go to the festival?\A festival! response:	There'll be one this Sunday. At Tsukimine Shrine.
context: I should ask him to go with me\But he gets cold quickly'\That's it!\Shao Lan-kun!\Good morning'\Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine. response:	Would you like to go together?
context: But he gets cold quickly'\That's it!\Shao Lan-kun!\Good morning'\Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together? response:	Oh, or are you busy?
context: That's it!\Shao Lan-kun!\Good morning'\Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy? response:	I' I'm not doing anything.
context: Shao Lan-kun!\Good morning'\Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything. response:	Really?
context: Good morning'\Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything.\Really? response:	Yay! So, 6 o'clock Sunday then! Promise?
context: Want to go to the festival?\A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise? response:	I'll go get some water ok?
context: A festival!\There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok? response:	I'm glad. Her usual smile is back.
