context: The rain that has been falling response:	in Tomoeda since last night.
context: The rain that has been falling\in Tomoeda since last night. response:	'is not going to stop any time soon'
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon' response:	But why is this persistent rain
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain response:	only falling in Tomoeda?
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda? response:	O Key which hides the forces of darkness,
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness, response:	reveal thy true form before me.
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: The rain that has been falling\in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: in Tomoeda since last night.\'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Why won't it transform into the wand?
context: 'is not going to stop any time soon'\But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand? response:	Oh, you got up on time, monster.
context: But why is this persistent rain\only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand?\Oh, you got up on time, monster. response:	You're not fighting back.
context: only falling in Tomoeda?\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back. response:	Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)
context: O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit) response:	Yukito?
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito? response:	Why Tsukishiro?
context: I, Sakura, command thee under contract.\Release!\Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro? response:	Yue is the one I need to talk to.
context: Release!\Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro?\Yue is the one I need to talk to. response:	Um, do you know
context: Why won't it transform into the wand?\Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know response:	if Yukito is coming over today?
context: Oh, you got up on time, monster.\You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today? response:	Yuki? He didn't mention.
context: You're not fighting back.\Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention. response:	Um, Can you'
context: Invite the snow-rabbit over tomorrow. (Yukito = snow-rabbit)\Yukito?\Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you' response:	um' um'
context: Yukito?\Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you'\um' um' response:	He'll probably come
context: Why Tsukishiro?\Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you'\um' um'\He'll probably come response:	if you make something to eat.
context: Yue is the one I need to talk to.\Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you'\um' um'\He'll probably come\if you make something to eat. response:	I'll do my best at it today!
context: Um, do you know\if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you'\um' um'\He'll probably come\if you make something to eat.\I'll do my best at it today! response:	I guess I'll ask him,
context: if Yukito is coming over today?\Yuki? He didn't mention.\Um, Can you'\um' um'\He'll probably come\if you make something to eat.\I'll do my best at it today!\I guess I'll ask him, response:	since it's such a rare occasion
context: Yuki? He didn't mention.\Um, Can you'\um' um'\He'll probably come\if you make something to eat.\I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion response:	that the monster is cooking.
context: Um, Can you'\um' um'\He'll probably come\if you make something to eat.\I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking. response:	What did you say?!?
context: um' um'\He'll probably come\if you make something to eat.\I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking.\What did you say?!? response:	That aura yesterday'
context: He'll probably come\if you make something to eat.\I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking.\What did you say?!?\That aura yesterday' response:	No, that shouldn't be'
context: if you make something to eat.\I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking.\What did you say?!?\That aura yesterday'\No, that shouldn't be' response:	But'
context: I'll do my best at it today!\I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking.\What did you say?!?\That aura yesterday'\No, that shouldn't be'\But' response:	This rain isn't stopping at all.
context: I guess I'll ask him,\since it's such a rare occasion\that the monster is cooking.\What did you say?!?\That aura yesterday'\No, that shouldn't be'\But'\This rain isn't stopping at all. response:	They say it's only falling in Tomoeda and nowhere else
context: since it's such a rare occasion\that the monster is cooking.\What did you say?!?\That aura yesterday'\No, that shouldn't be'\But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else response:	Maybe this is a supernatural phenomenon!
context: that the monster is cooking.\What did you say?!?\That aura yesterday'\No, that shouldn't be'\But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon! response:	About supernatural phenomenon',
