context: Hey all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, all right?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right? response:	Previously on Fairy Tail!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail! response:	You betrayed the master.
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master. response:	We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora, response:	but the great Erza came after us!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us! response:	The great?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great? response:	Natsu barged into the moon temple by himself and challenged Lyon.
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon. response:	Will he be okay?
context: and sit back from the screen, all right?\Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay? response:	That's right, we can do it!
context: Previously on Fairy Tail!\You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: You betrayed the master.\We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: We were fighting on Galuna Island against Lyon and his gang who were scheming to resurrect Deliora,\but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: but the great Erza came after us!\The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: The great?\Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: Natsu barged into the moon temple by himself and challenged Lyon.\Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: Will he be okay?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	Ul is still alive.
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Ul is still alive. response:	What do you mean?
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Ul is still alive.\What do you mean? response:	Ten years ago...
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Ul is still alive.\What do you mean?\Ten years ago... response:	The city where I lived was attacked by Deliora.
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Ul is still alive.\What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora. response:	It didn't even take a day for it to be destroyed.
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\Ul is still alive.\What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed. response:	Deliora...
context: the way we want to!\Let's wondering!!!\Ul is still alive.\What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora... response:	I'd heard the rumors, but I'd have never imagined...
context: Let's wondering!!!\Ul is still alive.\What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined... response:	Lyon, come over here! We've got a survivor!
context: Ul is still alive.\What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor! response:	Hey, are you okay?
context: What do you mean?\Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay? response:	I was saved by Ul and Lyon who just happened to pass by.
context: Ten years ago...\The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by. response:	Deliora... I won't forgive you...
context: The city where I lived was attacked by Deliora.\It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by.\Deliora... I won't forgive you... response:	Deliora... One day I'll...
context: It didn't even take a day for it to be destroyed.\Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by.\Deliora... I won't forgive you...\Deliora... One day I'll... response:	And for me, that's how it all started.
context: Deliora...\I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by.\Deliora... I won't forgive you...\Deliora... One day I'll...\And for me, that's how it all started. response:	Eternal Magic!
context: I'd heard the rumors, but I'd have never imagined...\Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by.\Deliora... I won't forgive you...\Deliora... One day I'll...\And for me, that's how it all started.\Eternal Magic! response:	Gray, sure you can keep up?
context: Lyon, come over here! We've got a survivor!\Hey, are you okay?\I was saved by Ul and Lyon who just happened to pass by.\Deliora... I won't forgive you...\Deliora... One day I'll...\And for me, that's how it all started.\Eternal Magic!\Gray, sure you can keep up? response:	My training is harsh, you know.
