context: Okay! Let's adjust the suspension. response:	Good work.
context: Okay! Let's adjust the suspension.\Good work. response:	With this, the interlocking is complete.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete. response:	I appreciate this.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete.\I appreciate this. response:	Anyway, you've got an incredible fleet here.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here. response:	Thank you for informing us about the pirates.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates. response:	Thanks.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks. response:	I know we're in good hands.
context: Okay! Let's adjust the suspension.\Good work.\With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks.\I know we're in good hands. response:	Fleet Commander, the interlocking process is complete.
context: Good work.\With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete. response:	Good. And what about him?
context: With this, the interlocking is complete.\I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him? response:	Actually...
context: I appreciate this.\Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually... response:	The Flute of Recollection
context: Anyway, you've got an incredible fleet here.\Thank you for informing us about the pirates.\Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually...\The Flute of Recollection response:	Alright! Tighten the wire!
context: Thank you for informing us about the pirates.\Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually...\The Flute of Recollection\Alright! Tighten the wire! response:	Chief! That's in the way! Move it!
context: Thanks.\I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually...\The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it! response:	Hey! You don't just set it down wherever you feel like it!
context: I know we're in good hands.\Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually...\The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it! response:	Where... to move it?
context: Fleet Commander, the interlocking process is complete.\Good. And what about him?\Actually...\The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it? response:	Over there!
context: Good. And what about him?\Actually...\The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there! response:	See? By the other cargo!
context: Actually...\The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there!\See? By the other cargo! response:	Okay. Move it over there.
context: The Flute of Recollection\Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there!\See? By the other cargo!\Okay. Move it over there. response:	Roger.
context: Alright! Tighten the wire!\Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there!\See? By the other cargo!\Okay. Move it over there.\Roger. response:	W-What the...?!
context: Chief! That's in the way! Move it!\Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there!\See? By the other cargo!\Okay. Move it over there.\Roger.\W-What the...?! response:	I told you not to fly!
context: Hey! You don't just set it down wherever you feel like it!\Where... to move it?\Over there!\See? By the other cargo!\Okay. Move it over there.\Roger.\W-What the...?!\I told you not to fly! response:	C-Chamber!
context: Where... to move it?\Over there!\See? By the other cargo!\Okay. Move it over there.\Roger.\W-What the...?!\I told you not to fly!\C-Chamber! response:	Hey, are you alright?!
context: Over there!\See? By the other cargo!\Okay. Move it over there.\Roger.\W-What the...?!\I told you not to fly!\C-Chamber!\Hey, are you alright?! response:	Idiot! Don't cut that rope!
context: See? By the other cargo!\Okay. Move it over there.\Roger.\W-What the...?!\I told you not to fly!\C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope! response:	Hey! Can you get yourself out of this?
context: Okay. Move it over there.\Roger.\W-What the...?!\I told you not to fly!\C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this? response:	We haven't decided how to handle your right of residence yet.
context: Roger.\W-What the...?!\I told you not to fly!\C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet. response:	So if you don't mind, please use this area as your quarters for now.
