context: It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world response:	Time passes like whispering sand
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand response:	These circumstances, unchanging
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging response:	gazing out at a dreamless tomorrow
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow response:	Wanna say goodbye to the confusion of yesterday
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday response:	I try reaching out, as if to resist
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist response:	We cry millions of times and then get born again
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again response:	Let's go with these red eyes
context: Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes response:	to that pictured future
context: Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future response:	Come here right by me, I'm clapping my hands
context: These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands response:	Where are you? Who are you?
context: gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you? response:	Strain my eyes in the darkness
