context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Show me who you really are!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are! response:	Never giving up...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up... response:	is my magic!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up...\is my magic! response:	The Queen of Witches released Asta's limiter suppressing his anti-magic
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic response:	and awakened his full powers.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers. response:	What is this?
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this? response:	It feels like I'm in a cold lake.
context: He was called the Wizard King, and he became a legend.\Show me who you really are!\Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this?\It feels like I'm in a cold lake. response:	It feels cool...
context: Show me who you really are!\Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this?\It feels like I'm in a cold lake.\It feels cool... response:	My mind is unbelievably clear.
context: Never giving up...\is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this?\It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear. response:	And I can feel...
context: is my magic!\The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this?\It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear.\And I can feel... response:	the power overflowing!
context: The Queen of Witches released Asta's limiter suppressing his anti-magic\and awakened his full powers.\What is this?\It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear.\And I can feel...\the power overflowing! response:	I assumed that you might be one of their kin,
context: and awakened his full powers.\What is this?\It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear.\And I can feel...\the power overflowing!\I assumed that you might be one of their kin, response:	but apparently I was wrong.
context: What is this?\It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear.\And I can feel...\the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong. response:	A sudden mutation kept mana from dwelling in you.
context: It feels like I'm in a cold lake.\It feels cool...\My mind is unbelievably clear.\And I can feel...\the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you. response:	You're merely defective.
context: It feels cool...\My mind is unbelievably clear.\And I can feel...\the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective. response:	But because of that, you are able to wield that sword.
context: My mind is unbelievably clear.\And I can feel...\the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword. response:	You aren't special. Not in the slightest.
context: And I can feel...\the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest. response:	But that's exactly what makes you special.
context: the power overflowing!\I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special. response:	Black Meteorite!
context: I assumed that you might be one of their kin,\but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite! response:	Asta was able to defeat Ladros, thanks to this newly awakened power,
context: but apparently I was wrong.\A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power, response:	and Ladros turned over a new leaf.
context: A sudden mutation kept mana from dwelling in you.\You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf. response:	However...
context: You're merely defective.\But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However... response:	Controlling blood. That is my magic.
context: But because of that, you are able to wield that sword.\You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic. response:	From now on, you'll spend your life in my employ, working as my blade.
context: You aren't special. Not in the slightest.\But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade. response:	The Queen of Witches was after Asta's anti-magic all along.
context: But that's exactly what makes you special.\Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along. response:	She then took control of Asta...
context: Black Meteorite!\Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta... response:	Now, for your first task...
context: Asta was able to defeat Ladros, thanks to this newly awakened power,\and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task... response:	I shall force you to kill everyone here with your own two hands.
context: and Ladros turned over a new leaf.\However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands. response:	The Red Thread of Fate
context: However...\Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate response:	No... way...
context: Controlling blood. That is my magic.\From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way... response:	Asta, stop!
context: From now on, you'll spend your life in my employ, working as my blade.\The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way...\Asta, stop! response:	Asta!
context: The Queen of Witches was after Asta's anti-magic all along.\She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way...\Asta, stop!\Asta! response:	Now, then... Which one of you shall I kill first?
context: She then took control of Asta...\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way...\Asta, stop!\Asta!\Now, then... Which one of you shall I kill first? response:	I know.
context: Now, for your first task...\I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way...\Asta, stop!\Asta!\Now, then... Which one of you shall I kill first?\I know. response:	I'll start with you, little royal.
context: I shall force you to kill everyone here with your own two hands.\The Red Thread of Fate\No... way...\Asta, stop!\Asta!\Now, then... Which one of you shall I kill first?\I know.\I'll start with you, little royal. response:	Go.
context: The Red Thread of Fate\No... way...\Asta, stop!\Asta!\Now, then... Which one of you shall I kill first?\I know.\I'll start with you, little royal.\Go. response:	Stop!
