context: Accelerating pulse response:	Suppressing impulses
context: Accelerating pulse\Suppressing impulses response:	I quickly imagine the logical scenario
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario response:	The fate of two spirals trace over one another
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another response:	Just like entwining fuses
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses response:	They believed in the other's seemingly unreal existence
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence response:	The door that has been forever closed will now open
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open response:	The wish I entrusted with the stars
context: Accelerating pulse\Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars response:	Has always been that I'd find a sliver of happiness
context: Suppressing impulses\I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness response:	The twinkling grain of light
context: I quickly imagine the logical scenario\The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light response:	Exists inside of everyone's hearts
context: The fate of two spirals trace over one another\Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts response:	Your hero
context: Just like entwining fuses\They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts\Your hero response:	Wings to the Future
context: They believed in the other's seemingly unreal existence\The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts\Your hero\Wings to the Future response:	Hey, how's it look?
context: The door that has been forever closed will now open\The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts\Your hero\Wings to the Future\Hey, how's it look? response:	The monitor! Pull up the external monitor!
context: The wish I entrusted with the stars\Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts\Your hero\Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor! response:	I'm working on it!
context: Has always been that I'd find a sliver of happiness\The twinkling grain of light\Exists inside of everyone's hearts\Your hero\Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it! response:	Hurry it up!
context: The twinkling grain of light\Exists inside of everyone's hearts\Your hero\Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up! response:	What's going on?
context: Exists inside of everyone's hearts\Your hero\Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up!\What's going on? response:	The system's protected.
context: Your hero\Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up!\What's going on?\The system's protected. response:	What?! Do something!
context: Wings to the Future\Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up!\What's going on?\The system's protected.\What?! Do something! response:	Easy for you to say!
context: Hey, how's it look?\The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up!\What's going on?\The system's protected.\What?! Do something!\Easy for you to say! response:	It's on!
context: The monitor! Pull up the external monitor!\I'm working on it!\Hurry it up!\What's going on?\The system's protected.\What?! Do something!\Easy for you to say!\It's on! response:	Th-thanks...
context: I'm working on it!\Hurry it up!\What's going on?\The system's protected.\What?! Do something!\Easy for you to say!\It's on!\Th-thanks... response:	That was as easy as cracking an egg!
context: Hurry it up!\What's going on?\The system's protected.\What?! Do something!\Easy for you to say!\It's on!\Th-thanks...\That was as easy as cracking an egg! response:	No one's paying you a lick of attention.
context: What's going on?\The system's protected.\What?! Do something!\Easy for you to say!\It's on!\Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention. response:	Sei, show a bit more respect for our upperclassmen.
context: The system's protected.\What?! Do something!\Easy for you to say!\It's on!\Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen. response:	Aren't they cool?
context: What?! Do something!\Easy for you to say!\It's on!\Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool? response:	Yeah!
context: Easy for you to say!\It's on!\Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah! response:	Bullseye!
context: It's on!\Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah!\Bullseye! response:	Did it hit?!
context: Th-thanks...\That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah!\Bullseye!\Did it hit?! response:	You just had to raise a weird flag!
context: That was as easy as cracking an egg!\No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah!\Bullseye!\Did it hit?!\You just had to raise a weird flag! response:	What are you talking about?!
context: No one's paying you a lick of attention.\Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah!\Bullseye!\Did it hit?!\You just had to raise a weird flag!\What are you talking about?! response:	Hey, look!
context: Sei, show a bit more respect for our upperclassmen.\Aren't they cool?\Yeah!\Bullseye!\Did it hit?!\You just had to raise a weird flag!\What are you talking about?!\Hey, look! response:	He stopped that from striking home?
context: Aren't they cool?\Yeah!\Bullseye!\Did it hit?!\You just had to raise a weird flag!\What are you talking about?!\Hey, look!\He stopped that from striking home? response:	Incredible... He stopped that from striking home?
context: Yeah!\Bullseye!\Did it hit?!\You just had to raise a weird flag!\What are you talking about?!\Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home? response:	Don't burn out!
context: Bullseye!\Did it hit?!\You just had to raise a weird flag!\What are you talking about?!\Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out! response:	Don't lose!
context: Did it hit?!\You just had to raise a weird flag!\What are you talking about?!\Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out!\Don't lose! response:	You can do it!
context: You just had to raise a weird flag!\What are you talking about?!\Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out!\Don't lose!\You can do it! response:	It looks pissed!
context: What are you talking about?!\Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out!\Don't lose!\You can do it!\It looks pissed! response:	Crap, not good!
context: Hey, look!\He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out!\Don't lose!\You can do it!\It looks pissed!\Crap, not good! response:	Look, he nailed it!
context: He stopped that from striking home?\Incredible... He stopped that from striking home?\Don't burn out!\Don't lose!\You can do it!\It looks pissed!\Crap, not good!\Look, he nailed it! response:	It's toast!
context: Incredible... He stopped that from striking home?\Don't burn out!\Don't lose!\You can do it!\It looks pissed!\Crap, not good!\Look, he nailed it!\It's toast! response:	No, wait!
context: Don't burn out!\Don't lose!\You can do it!\It looks pissed!\Crap, not good!\Look, he nailed it!\It's toast!\No, wait! response:	Hey! So close!
context: Don't lose!\You can do it!\It looks pissed!\Crap, not good!\Look, he nailed it!\It's toast!\No, wait!\Hey! So close! response:	Strike! Now!
context: You can do it!\It looks pissed!\Crap, not good!\Look, he nailed it!\It's toast!\No, wait!\Hey! So close!\Strike! Now! response:	Take it out!
context: It looks pissed!\Crap, not good!\Look, he nailed it!\It's toast!\No, wait!\Hey! So close!\Strike! Now!\Take it out! response:	Nice!
context: Crap, not good!\Look, he nailed it!\It's toast!\No, wait!\Hey! So close!\Strike! Now!\Take it out!\Nice! response:	New entry?
context: Look, he nailed it!\It's toast!\No, wait!\Hey! So close!\Strike! Now!\Take it out!\Nice!\New entry? response:	Cool!
context: It's toast!\No, wait!\Hey! So close!\Strike! Now!\Take it out!\Nice!\New entry?\Cool! response:	Wasn't that impressive?
context: No, wait!\Hey! So close!\Strike! Now!\Take it out!\Nice!\New entry?\Cool!\Wasn't that impressive? response:	Izuru stole the show!
context: Hey! So close!\Strike! Now!\Take it out!\Nice!\New entry?\Cool!\Wasn't that impressive?\Izuru stole the show! response:	No, that honor goes to Tamaki!
context: Strike! Now!\Take it out!\Nice!\New entry?\Cool!\Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki! response:	Not only did she push her high-speed unit to the max in the atmosphere,
context: Take it out!\Nice!\New entry?\Cool!\Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere, response:	she also used it for a kinetic strike!
context: Nice!\New entry?\Cool!\Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike! response:	Oh, Man! Too cool!
context: New entry?\Cool!\Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool! response:	Lest you forget, we lost three cutting-edge units in one bout.
context: Cool!\Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout. response:	And it did a number on Asagi and Izuru's.
context: Wasn't that impressive?\Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's. response:	Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.
context: Izuru stole the show!\No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon. response:	We've taken a serious hit.
context: No, that honor goes to Tamaki!\Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit. response:	I hate to think how much we've lost in damages...
context: Not only did she push her high-speed unit to the max in the atmosphere,\she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages... response:	Stupid! If the pilots complete their mission and come back alive,
context: she also used it for a kinetic strike!\Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive, response:	you can always work out the unit issue!
context: Oh, Man! Too cool!\Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue! response:	It takes time and money to make units!
context: Lest you forget, we lost three cutting-edge units in one bout.\And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units! response:	What good are pilots if there aren't any units?!
context: And it did a number on Asagi and Izuru's.\Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?! response:	Since when did we have to worry about that?
context: Plus the sniper team in space destroyed the Mobile Assembly Extreme Range Cannon.\We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that? response:	I'm saying that pilots need to use their heads!
context: We've taken a serious hit.\I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads! response:	Guess they had to go that far to take the enemy out, huh?
context: I hate to think how much we've lost in damages...\Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh? response:	I see... So the Wulgaru are just that strong.
context: Stupid! If the pilots complete their mission and come back alive,\you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong. response:	It was pretty tough...
context: you can always work out the unit issue!\It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough... response:	Aren't Izuru and the others amazing?
context: It takes time and money to make units!\What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing? response:	Can you believe Ange? It's not fair he got a jump on us!
context: What good are pilots if there aren't any units?!\Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us! response:	I've heard she's fighting alongside Team Doberman. I'm so jealous!
context: Since when did we have to worry about that?\I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous! response:	Oh, that reminds me! She sent me a text.
context: I'm saying that pilots need to use their heads!\Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text. response:	It says she's shooting down one enemy after the next.
context: Guess they had to go that far to take the enemy out, huh?\I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next. response:	Wow, awesome!
context: I see... So the Wulgaru are just that strong.\It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome! response:	If we could pilot the new units- No, I will pilot one before you know it!
context: It was pretty tough...\Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it! response:	Yeah! But not before me!
context: Aren't Izuru and the others amazing?\Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me! response:	I'm totally gonna beat you to one, Chris!
context: Can you believe Ange? It's not fair he got a jump on us!\I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris! response:	Now then,
context: I've heard she's fighting alongside Team Doberman. I'm so jealous!\Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then, response:	the battle above school grounds yesterday is a prime example of how to successfully snipe your target.
context: Oh, that reminds me! She sent me a text.\It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target. response:	Do you know what played the greatest role?
context: It says she's shooting down one enemy after the next.\Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role? response:	I do!
context: Wow, awesome!\If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do! response:	Go ahead, Sei.
context: If we could pilot the new units- No, I will pilot one before you know it!\Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do!\Go ahead, Sei. response:	Accurate support based on Control's aerial observations.
context: Yeah! But not before me!\I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations. response:	I know! I know, Teach!
context: I'm totally gonna beat you to one, Chris!\Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach! response:	Go ahead, Chris.
context: Now then,\the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris. response:	Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,
context: the battle above school grounds yesterday is a prime example of how to successfully snipe your target.\Do you know what played the greatest role?\I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility, response:	she also used it as an anchor!
context: Do you know what played the greatest role?\I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor! response:	No, it was Control's support!
context: I do!\Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support! response:	Clearly the Booster played the biggest part!
context: Go ahead, Sei.\Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part! response:	I know, sir!
context: Accurate support based on Control's aerial observations.\I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir! response:	Yui!
context: I know! I know, Teach!\Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir!\Yui! response:	I believe it was the Forward,
context: Go ahead, Chris.\Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir!\Yui!\I believe it was the Forward, response:	who was constantly on the frontline, keeping the enemy in check.
context: Not only did the Booster confuse the enemy with her massive unit's high speed and mobility,\she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir!\Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check. response:	I'm telling ya, it was the Booster!
context: she also used it as an anchor!\No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir!\Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster! response:	Oh, please! Control was way more important!
