context: Hey all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, all right?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right? response:	Previously on Fairy Tail...
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail... response:	Let's go on an S class quest, Lucy!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy! response:	And that's how we were forced by Lucy to come to the cursed island, Galuna!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna! response:	You're the ones who invited me!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me! response:	And there were dogs, and eyebrows, and sideburns and a giant frozen monster!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster! response:	You lost me there.
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there. response:	Deliora...
context: and sit back from the screen, all right?\Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora... response:	A demon your teacher sealed?
context: Previously on Fairy Tail...\Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora...\A demon your teacher sealed? response:	Yes, it's Deliora all right.
context: Let's go on an S class quest, Lucy!\And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right. response:	So it was transported from the Northern Continent to here?
context: And that's how we were forced by Lucy to come to the cursed island, Galuna!\You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here? response:	Maybe the island's curse has to do with this demon?
context: You're the ones who invited me!\And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon? response:	Seems like the obvious conclusion.
context: And there were dogs, and eyebrows, and sideburns and a giant frozen monster!\You lost me there.\Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion. response:	This demon is still alive, after all.
context: You lost me there.\Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all. response:	All righty then!
context: Deliora...\A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then! response:	All we's gotta do is bust up this demon!
context: A demon your teacher sealed?\Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon! response:	Is force your only solution to every problem?
context: Yes, it's Deliora all right.\So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem? response:	Just watch me!
context: So it was transported from the Northern Continent to here?\Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me! response:	Gray hit him!
context: Maybe the island's curse has to do with this demon?\Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me!\Gray hit him! response:	That's not really that uncommon. but...
context: Seems like the obvious conclusion.\This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me!\Gray hit him!\That's not really that uncommon. but... response:	Hey! What's the big idea?
context: This demon is still alive, after all.\All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me!\Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea? response:	Don't get near it, you Fire Wizard!
context: All righty then!\All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me!\Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard! response:	If that ice melts, and it's freed, no one would be able to stop it!
context: All we's gotta do is bust up this demon!\Is force your only solution to every problem?\Just watch me!\Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it! response:	What? Would that ice really melt all that easily?
context: Is force your only solution to every problem?\Just watch me!\Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily? response:	No...
context: Just watch me!\Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No... response:	Are you okay?
context: Gray hit him!\That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No...\Are you okay? response:	Hey, I'm the one who got punched!
context: That's not really that uncommon. but...\Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No...\Are you okay?\Hey, I'm the one who got punched! response:	You're a barbarian!
context: Hey! What's the big idea?\Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No...\Are you okay?\Hey, I'm the one who got punched!\You're a barbarian! response:	My master, Ul, encased the demon using an Iced Shell spell.
context: Don't get near it, you Fire Wizard!\If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No...\Are you okay?\Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell. response:	That's ice that can't melt.
context: If that ice melts, and it's freed, no one would be able to stop it!\What? Would that ice really melt all that easily?\No...\Are you okay?\Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt. response:	No matter what kind of magical fire you use, you couldn't melt that ice.
context: What? Would that ice really melt all that easily?\No...\Are you okay?\Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice. response:	If they knew they couldn't melt it, then why move it here?
context: No...\Are you okay?\Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here? response:	I don't know, but maybe they're trying to melt it somehow?
context: Are you okay?\Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow? response:	But, why?!
context: Hey, I'm the one who got punched!\You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?! response:	I don't know!
context: You're a barbarian!\My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know! response:	Something isn't right here.
context: My master, Ul, encased the demon using an Iced Shell spell.\That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know!\Something isn't right here. response:	Who brought Deliora here, and for what reason?
context: That's ice that can't melt.\No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason? response:	Well, it's pretty simple.
context: No matter what kind of magical fire you use, you couldn't melt that ice.\If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple. response:	We should just chase after those guys from before.
context: If they knew they couldn't melt it, then why move it here?\I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple.\We should just chase after those guys from before. response:	Yeah.
context: I don't know, but maybe they're trying to melt it somehow?\But, why?!\I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple.\We should just chase after those guys from before.\Yeah. response:	No.
context: But, why?!\I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple.\We should just chase after those guys from before.\Yeah.\No. response:	We wait here.
context: I don't know!\Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple.\We should just chase after those guys from before.\Yeah.\No.\We wait here. response:	For what?
context: Something isn't right here.\Who brought Deliora here, and for what reason?\Well, it's pretty simple.\We should just chase after those guys from before.\Yeah.\No.\We wait here.\For what? response:	We wait until the moon comes out.
