context: Miyazawa-san? response:	She's really scary when you make her mad.
context: Miyazawa-san?\She's really scary when you make her mad. response:	She's a corrupted representative!
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative! response:	Like, all she cares about is herself.
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself. response:	But, she was really nice in the beginning.
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning. response:	Yeah, she seemed really helpful.
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful. response:	She was?
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was? response:	Yeah, don't you remember she looked over your homework?
context: Miyazawa-san?\She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework? response:	Oh yeah.
context: She's really scary when you make her mad.\She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework?\Oh yeah. response:	It feels like that was so long ago.
context: She's a corrupted representative!\Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago. response:	Was it the day before yesterday?
context: Like, all she cares about is herself.\But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday? response:	I saw her dancing wildly in the hall saying that she beat Arima...
context: But, she was really nice in the beginning.\Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima... response:	I got the feeling that that was who she really was.
context: Yeah, she seemed really helpful.\She was?\Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was. response:	She can do ten times the work of one, to be sure.
context: She was?\Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure. response:	I remember well that nobody could...
context: Yeah, don't you remember she looked over your homework?\Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could... response:	What? Oh, she was the epitome of a model student at first.
context: Oh yeah.\It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first. response:	But you can't judge people by appearances.
