context: Shuichi response:	Are we there yet?
context: Shuichi\Are we there yet? response:	Almost.
context: Shuichi\Are we there yet?\Almost. response:	You keep saying that.
context: Shuichi\Are we there yet?\Almost.\You keep saying that. response:	This time it's true.
context: Shuichi\Are we there yet?\Almost.\You keep saying that.\This time it's true. response:	You said that a lot, too.
context: Shuichi\Are we there yet?\Almost.\You keep saying that.\This time it's true.\You said that a lot, too. response:	This place.
context: Shuichi\Are we there yet?\Almost.\You keep saying that.\This time it's true.\You said that a lot, too.\This place. response:	Do you remember?
context: Shuichi\Are we there yet?\Almost.\You keep saying that.\This time it's true.\You said that a lot, too.\This place.\Do you remember? response:	Not really.
context: Are we there yet?\Almost.\You keep saying that.\This time it's true.\You said that a lot, too.\This place.\Do you remember?\Not really. response:	You were tiny.
context: Almost.\You keep saying that.\This time it's true.\You said that a lot, too.\This place.\Do you remember?\Not really.\You were tiny. response:	No wonder.
context: You keep saying that.\This time it's true.\You said that a lot, too.\This place.\Do you remember?\Not really.\You were tiny.\No wonder. response:	The city's different from how it was back then, right?
context: This time it's true.\You said that a lot, too.\This place.\Do you remember?\Not really.\You were tiny.\No wonder.\The city's different from how it was back then, right? response:	You'll be surprised.
context: You said that a lot, too.\This place.\Do you remember?\Not really.\You were tiny.\No wonder.\The city's different from how it was back then, right?\You'll be surprised. response:	I can't believe it.
context: This place.\Do you remember?\Not really.\You were tiny.\No wonder.\The city's different from how it was back then, right?\You'll be surprised.\I can't believe it. response:	Nonoka.
context: Do you remember?\Not really.\You were tiny.\No wonder.\The city's different from how it was back then, right?\You'll be surprised.\I can't believe it.\Nonoka. response:	Saucer City
context: Not really.\You were tiny.\No wonder.\The city's different from how it was back then, right?\You'll be surprised.\I can't believe it.\Nonoka.\Saucer City response:	Furumiya Shuichi Kaori Nonoka
context: You were tiny.\No wonder.\The city's different from how it was back then, right?\You'll be surprised.\I can't believe it.\Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka response:	Wait, wait.
context: No wonder.\The city's different from how it was back then, right?\You'll be surprised.\I can't believe it.\Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait. response:	I got it! Be quiet.
context: The city's different from how it was back then, right?\You'll be surprised.\I can't believe it.\Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet. response:	No
context: You'll be surprised.\I can't believe it.\Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet.\No response:	Where?
context: I can't believe it.\Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet.\No\Where? response:	Where are you?
context: Nonoka.\Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet.\No\Where?\Where are you? response:	I should have pulled out the batteries.
context: Saucer City\Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet.\No\Where?\Where are you?\I should have pulled out the batteries. response:	Umm...
context: Furumiya Shuichi Kaori Nonoka\Wait, wait.\I got it! Be quiet.\No\Where?\Where are you?\I should have pulled out the batteries.\Umm... response:	Found it!
context: Wait, wait.\I got it! Be quiet.\No\Where?\Where are you?\I should have pulled out the batteries.\Umm...\Found it! response:	Hey, this is Dad's stuff.
context: I got it! Be quiet.\No\Where?\Where are you?\I should have pulled out the batteries.\Umm...\Found it!\Hey, this is Dad's stuff. response:	Nonoka.
context: No\Where?\Where are you?\I should have pulled out the batteries.\Umm...\Found it!\Hey, this is Dad's stuff.\Nonoka. response:	Seven years, huh?
context: Where?\Where are you?\I should have pulled out the batteries.\Umm...\Found it!\Hey, this is Dad's stuff.\Nonoka.\Seven years, huh? response:	Morning, Dad.
context: Where are you?\I should have pulled out the batteries.\Umm...\Found it!\Hey, this is Dad's stuff.\Nonoka.\Seven years, huh?\Morning, Dad. response:	Morning.
context: I should have pulled out the batteries.\Umm...\Found it!\Hey, this is Dad's stuff.\Nonoka.\Seven years, huh?\Morning, Dad.\Morning. response:	Did you sleep well?
context: Umm...\Found it!\Hey, this is Dad's stuff.\Nonoka.\Seven years, huh?\Morning, Dad.\Morning.\Did you sleep well? response:	Not really.
context: Found it!\Hey, this is Dad's stuff.\Nonoka.\Seven years, huh?\Morning, Dad.\Morning.\Did you sleep well?\Not really. response:	I fell asleep while I was unpacking.
context: Hey, this is Dad's stuff.\Nonoka.\Seven years, huh?\Morning, Dad.\Morning.\Did you sleep well?\Not really.\I fell asleep while I was unpacking. response:	It was a long trip. I don't blame you.
context: Nonoka.\Seven years, huh?\Morning, Dad.\Morning.\Did you sleep well?\Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you. response:	You haven't had breakfast, have you?
context: Seven years, huh?\Morning, Dad.\Morning.\Did you sleep well?\Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you? response:	I'll make some.
context: Morning, Dad.\Morning.\Did you sleep well?\Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some. response:	I should have bought something yesterday.
context: Morning.\Did you sleep well?\Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday. response:	This'll do.
context: Did you sleep well?\Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday.\This'll do. response:	Dad.
context: Not really.\I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday.\This'll do.\Dad. response:	About today.
context: I fell asleep while I was unpacking.\It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday.\This'll do.\Dad.\About today. response:	Geez.
context: It was a long trip. I don't blame you.\You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday.\This'll do.\Dad.\About today.\Geez. response:	Huh?
context: You haven't had breakfast, have you?\I'll make some.\I should have bought something yesterday.\This'll do.\Dad.\About today.\Geez.\Huh? response:	You're stuck, Koharu.
context: I'll make some.\I should have bought something yesterday.\This'll do.\Dad.\About today.\Geez.\Huh?\You're stuck, Koharu. response:	You grew another hand.
context: I should have bought something yesterday.\This'll do.\Dad.\About today.\Geez.\Huh?\You're stuck, Koharu.\You grew another hand. response:	And I'm not a customer.
context: This'll do.\Dad.\About today.\Geez.\Huh?\You're stuck, Koharu.\You grew another hand.\And I'm not a customer. response:	Too bad.
context: Dad.\About today.\Geez.\Huh?\You're stuck, Koharu.\You grew another hand.\And I'm not a customer.\Too bad. response:	Don't you have any employees?
context: About today.\Geez.\Huh?\You're stuck, Koharu.\You grew another hand.\And I'm not a customer.\Too bad.\Don't you have any employees? response:	You know I'm the banner girl, right?
context: Geez.\Huh?\You're stuck, Koharu.\You grew another hand.\And I'm not a customer.\Too bad.\Don't you have any employees?\You know I'm the banner girl, right? response:	This is part of my job.
context: Huh?\You're stuck, Koharu.\You grew another hand.\And I'm not a customer.\Too bad.\Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job. response:	Banner girl doesn't mean you're in charge of the banners.
context: You're stuck, Koharu.\You grew another hand.\And I'm not a customer.\Too bad.\Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners. response:	Did you say something?
context: You grew another hand.\And I'm not a customer.\Too bad.\Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something? response:	Switch over.
context: And I'm not a customer.\Too bad.\Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over. response:	Thanks, Souta.
context: Too bad.\Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over.\Thanks, Souta. response:	how are they any different from the buns we were eating before?
context: Don't you have any employees?\You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before? response:	How they look, I guess.
context: You know I'm the banner girl, right?\This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess. response:	Man, that thing's giving you a ton of trouble, huh?
context: This is part of my job.\Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh? response:	Shiihara Shop
context: Banner girl doesn't mean you're in charge of the banners.\Did you say something?\Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop response:	Not really.
context: Did you say something?\Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really. response:	It brought in a lot of customers.
context: Switch over.\Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really.\It brought in a lot of customers. response:	It's fun talking to all kinds of customers.
context: Thanks, Souta.\how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers. response:	So much for your summer break.
context: how are they any different from the buns we were eating before?\How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break. response:	I've always been helping with the store.
context: How they look, I guess.\Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store. response:	It's true that things have changed since then, though.
context: Man, that thing's giving you a ton of trouble, huh?\Shiihara Shop\Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though. response:	Dad, I'm almost done washing.
context: Shiihara Shop\Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing. response:	Let's clean up together after.
context: Not really.\It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after. response:	Sorry!
context: It brought in a lot of customers.\It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after.\Sorry! response:	Now?
context: It's fun talking to all kinds of customers.\So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after.\Sorry!\Now? response:	Sorry,
context: So much for your summer break.\I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after.\Sorry!\Now?\Sorry, response:	they really want me to take over today.
context: I've always been helping with the store.\It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after.\Sorry!\Now?\Sorry,\they really want me to take over today. response:	I should be back by night.
context: It's true that things have changed since then, though.\Dad, I'm almost done washing.\Let's clean up together after.\Sorry!\Now?\Sorry,\they really want me to take over today.\I should be back by night. response:	But what about cleaning and shopping?
context: Dad, I'm almost done washing.\Let's clean up together after.\Sorry!\Now?\Sorry,\they really want me to take over today.\I should be back by night.\But what about cleaning and shopping? response:	Thanks.
context: Let's clean up together after.\Sorry!\Now?\Sorry,\they really want me to take over today.\I should be back by night.\But what about cleaning and shopping?\Thanks. response:	I'm not doing it alone.
context: Sorry!\Now?\Sorry,\they really want me to take over today.\I should be back by night.\But what about cleaning and shopping?\Thanks.\I'm not doing it alone. response:	There's no way!
context: Now?\Sorry,\they really want me to take over today.\I should be back by night.\But what about cleaning and shopping?\Thanks.\I'm not doing it alone.\There's no way! response:	Now...
