context: Hey Natsu, don't you think our guild has a whole lot of special events? response:	Yeah... There's the that big parade, the Fantasia...
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia... response:	Then there's the hanami bingo tournament...
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament... response:	And don't forget about the Miss Fairy Tail contest!
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest! response:	Wait, did you win that, Lucy?
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy? response:	Please don't ask me that... Seriously.
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously. response:	So cool!
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool! response:	It's that time of year again! This grand event is here!
context: Hey Natsu, don't you think our guild has a whole lot of special events?\Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here! response:	Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!
context: Yeah... There's the that big parade, the Fantasia...\Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race! response:	And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!
context: Then there's the hanami bingo tournament...\And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play! response:	I'll be giving you the cool scoop on this hot event!
context: And don't forget about the Miss Fairy Tail contest!\Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event! response:	24-Hour Endurance Road Race!
context: Wait, did you win that, Lucy?\Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race! response:	Here he is!
context: Please don't ask me that... Seriously.\So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is! response:	The unbeatable titleholder for this road race, Jet!
context: So cool!\It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet! response:	Rumors say he's compensating for being mostly useless on quests!
context: It's that time of year again! This grand event is here!\Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests! response:	Hey!
