context: Is the data accurate? response:	Yes... Although I don't know why.
context: Is the data accurate?\Yes... Although I don't know why. response:	Ever since then, MESS has stopped
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped response:	all harmful activity toward human society.
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society. response:	Ohhh... Is this a reaction, too?
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too? response:	Don't tell me! You love origami, too?
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too? response:	All the absorbed humans have been safely returned, as well.
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well. response:	No way!
context: Is the data accurate?\Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way! response:	That's way too awesome!
context: Yes... Although I don't know why.\Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome! response:	Case closed!
context: Ever since then, MESS has stopped\all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome!\Case closed! response:	We can't let down our guard just yet!
context: all harmful activity toward human society.\Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome!\Case closed!\We can't let down our guard just yet! response:	They just stopped doing anything;
context: Ohhh... Is this a reaction, too?\Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome!\Case closed!\We can't let down our guard just yet!\They just stopped doing anything; response:	they haven't stopped making an appearance.
context: Don't tell me! You love origami, too?\All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome!\Case closed!\We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance. response:	C'mon, can't you just be happy, Pai-Pai?
context: All the absorbed humans have been safely returned, as well.\No way!\That's way too awesome!\Case closed!\We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai? response:	Don't call me Pai-Pai!
context: No way!\That's way too awesome!\Case closed!\We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai! response:	Oh, do you prefer Pai-san, after all?
context: That's way too awesome!\Case closed!\We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all? response:	You're messing with me.
context: Case closed!\We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me. response:	So you're saying that no one's been abducted since then?
context: We can't let down our guard just yet!\They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then? response:	Yes. No one since.
context: They just stopped doing anything;\they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then?\Yes. No one since. response:	Huh? What?
context: they haven't stopped making an appearance.\C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then?\Yes. No one since.\Huh? What? response:	Not What?!
context: C'mon, can't you just be happy, Pai-Pai?\Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then?\Yes. No one since.\Huh? What?\Not What?! response:	What'd you do to it back there?
context: Don't call me Pai-Pai!\Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then?\Yes. No one since.\Huh? What?\Not What?!\What'd you do to it back there? response:	I just thought I'd make it cute.
context: Oh, do you prefer Pai-san, after all?\You're messing with me.\So you're saying that no one's been abducted since then?\Yes. No one since.\Huh? What?\Not What?!\What'd you do to it back there?\I just thought I'd make it cute. response:	Hey, doesn't it seem like it's communicating with Hajime-chan?
